#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
1,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,13.5,0,qkv_a_proj_GEMM(pdl):11.7μs,,,,
2,Attention,qkv_a_proj_GEMM,nvjet_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT,23,19.5,0,EP_AR+residual+RMSNorm(fused)(pdl):11.7μs | qkv_a_splitK_reduce(pdl):1.5μs,,,,
3,Attention,qkv_a_splitK_reduce,cublasLt::splitKreduce_kernel<...>,23,3.8,0,qkv_a_proj_GEMM(pdl):1.5μs | q/k_norm_RMSNorm(pdl):1.1μs,,,,
4,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,23,3.2,1.6,q/k_norm_RMSNorm(dual_stream):1.6μs | qkv_a_splitK_reduce(pdl):1.1μs,,,,
5,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,385,2.3,1.6,q/k_norm_RMSNorm(dual_stream):1.6μs,,,,
6,Attention,q_b_proj_GEMM,nvjet_tst_48x64_64x15_4x1_v_bz_TNN,23,6.3,0,uk_gemm(K_expansion)(pdl):1.3μs,,,,
7,Attention,uk_gemm(K_expansion),nvjet_tst_128x64_64x8_4x1_v_bz_TNT,23,4.4,0,q_b_proj_GEMM(pdl):1.3μs,,,,
8,Attention,RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,23,2.7,0,,,,,
9,Attention,set_mla_kv,set_mla_kv_buffer_kernel,23,1.7,0,,,,,
10,Attention,Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128Persist,23,20.5,0.6,,,,,
11,Attention,uv_gemm(V_expansion),nvjet_tst_64x32_64x16_2x2_2cta_h_bz_TNT,23,4.0,0,,,,,
12,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.2,0,,,,,
13,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,23,11.1,0,,,,,
14,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,10.4,8.6,router_GEMM(dual_stream):8.6μs,,,,
