timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/04 08:26:10.419, 0, 195.12 W, 35, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.425, 1, 203.32 W, 41, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.429, 2, 199.96 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.433, 3, 198.98 W, 43, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.436, 4, 201.43 W, 35, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.440, 5, 200.37 W, 42, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.443, 6, 193.85 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:10.447, 7, 199.88 W, 41, 120 MHz, 0 %, 0 MiB
2026/04/04 08:26:12.451, 0, 195.98 W, 35, 697 MHz, 0 %, 4 MiB
2026/04/04 08:26:12.518, 1, 204.40 W, 41, 870 MHz, 0 %, 4 MiB
2026/04/04 08:26:12.519, 2, 199.77 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:12.519, 3, 198.64 W, 42, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:12.519, 4, 201.33 W, 35, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:12.522, 5, 200.28 W, 42, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:12.523, 6, 193.97 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:12.526, 7, 199.79 W, 41, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:14.527, 0, 196.46 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.531, 1, 206.95 W, 40, 165 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.541, 2, 203.19 W, 36, 142 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.543, 3, 202.75 W, 42, 720 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.544, 4, 204.06 W, 35, 592 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.545, 5, 202.00 W, 42, 727 MHz, 0 %, 4 MiB
2026/04/04 08:26:14.546, 6, 193.85 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:14.556, 7, 199.41 W, 41, 120 MHz, 0 %, 1 MiB
2026/04/04 08:26:16.558, 0, 194.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.559, 1, 203.11 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.559, 2, 199.52 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.559, 3, 198.30 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.560, 4, 201.01 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.560, 5, 201.51 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.560, 6, 199.85 W, 36, 915 MHz, 0 %, 4 MiB
2026/04/04 08:26:16.560, 7, 203.63 W, 41, 757 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.561, 0, 194.52 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.561, 1, 202.88 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.562, 2, 199.41 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.562, 3, 198.01 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.562, 4, 200.86 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.563, 5, 199.67 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.563, 6, 193.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:18.563, 7, 199.78 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.564, 0, 194.37 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.564, 1, 202.60 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.565, 2, 199.39 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.565, 3, 197.90 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.565, 4, 200.75 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.565, 5, 199.59 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.566, 6, 193.46 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:20.566, 7, 199.56 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/04 08:26:22.566, 0, 194.35 W, 35, 120 MHz, 0 %, 4 MiB
