timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/14 03:38:43.551, 0, 195.48 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.555, 1, 203.31 W, 41, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.559, 2, 199.65 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.562, 3, 198.72 W, 43, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.566, 4, 197.85 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.569, 5, 195.18 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.573, 6, 190.44 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:43.580, 7, 195.43 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:45.583, 0, 195.60 W, 36, 667 MHz, 0 %, 4 MiB
2026/04/14 03:38:45.585, 1, 203.43 W, 41, 735 MHz, 0 %, 4 MiB
2026/04/14 03:38:45.586, 2, 199.38 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/14 03:38:45.587, 3, 198.46 W, 42, 120 MHz, 0 %, 1 MiB
2026/04/14 03:38:45.588, 4, 197.81 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:45.598, 5, 195.24 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:45.599, 6, 190.35 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:45.600, 7, 195.47 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:47.601, 0, 197.28 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:47.601, 1, 206.06 W, 41, 135 MHz, 0 %, 4 MiB
2026/04/14 03:38:47.602, 2, 203.73 W, 36, 772 MHz, 0 %, 4 MiB
2026/04/14 03:38:47.602, 3, 201.87 W, 42, 660 MHz, 0 %, 4 MiB
2026/04/14 03:38:47.602, 4, 197.86 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:47.603, 5, 195.19 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:47.603, 6, 190.44 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:47.603, 7, 195.45 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:49.604, 0, 195.02 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:49.604, 1, 202.76 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:49.605, 2, 199.39 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:49.605, 3, 198.01 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:49.605, 4, 197.80 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:49.606, 5, 195.13 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:49.606, 6, 190.40 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:49.606, 7, 195.45 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:51.607, 0, 195.00 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:51.607, 1, 202.94 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:51.608, 2, 199.34 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:51.608, 3, 197.76 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/14 03:38:51.608, 4, 197.85 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:38:51.609, 5, 195.15 W, 36, 120 MHz, 0 %, 0 MiB
