timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/14 03:56:00.465, 0, 195.38 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.469, 1, 203.75 W, 42, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.473, 2, 199.93 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.476, 3, 199.27 W, 43, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.480, 4, 197.70 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.483, 5, 195.31 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.487, 6, 189.99 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:00.490, 7, 195.31 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:02.494, 0, 195.33 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:02.507, 1, 203.61 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:02.517, 2, 199.55 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/14 03:56:02.518, 3, 199.02 W, 43, 120 MHz, 0 %, 1 MiB
2026/04/14 03:56:02.520, 4, 197.78 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:02.520, 5, 195.24 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:02.522, 6, 190.00 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:02.522, 7, 195.36 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:04.533, 0, 195.31 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:04.533, 1, 207.60 W, 41, 172 MHz, 0 %, 4 MiB
2026/04/14 03:56:04.534, 2, 201.97 W, 36, 607 MHz, 0 %, 4 MiB
2026/04/14 03:56:04.534, 3, 204.92 W, 43, 847 MHz, 0 %, 4 MiB
2026/04/14 03:56:04.535, 4, 197.71 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:04.535, 5, 195.29 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:04.535, 6, 189.97 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:04.536, 7, 195.33 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:06.536, 0, 195.14 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:06.537, 1, 203.08 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:06.537, 2, 199.36 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:06.537, 3, 198.59 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:06.538, 4, 197.77 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:06.538, 5, 195.33 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:06.538, 6, 189.97 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:06.539, 7, 195.29 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:08.539, 0, 195.05 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:08.540, 1, 203.30 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:08.540, 2, 199.35 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:08.540, 3, 198.29 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:08.541, 4, 197.75 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:08.541, 5, 195.28 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:08.541, 6, 190.03 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:08.542, 7, 195.29 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:10.542, 0, 194.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:10.544, 1, 203.14 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:10.545, 2, 199.39 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:10.547, 3, 197.98 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:10.549, 4, 197.70 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:10.550, 5, 195.27 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:10.552, 6, 189.99 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:10.553, 7, 195.29 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:12.557, 0, 194.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:12.557, 1, 202.95 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:12.558, 2, 199.34 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:12.558, 3, 197.92 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/14 03:56:12.558, 4, 197.75 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:12.559, 5, 195.31 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/14 03:56:12.559, 6, 189.98 W, 33, 120 MHz, 0 %, 0 MiB
