timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/05 11:43:15.995, 0, 248.84 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:16.004, 1, 258.73 W, 39, 1965 MHz, 0 %, 162587 MiB
2026/04/05 11:43:16.008, 2, 252.84 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:16.011, 3, 251.39 W, 40, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:16.014, 4, 197.62 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:16.018, 5, 195.12 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:16.022, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:16.027, 7, 195.27 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:18.031, 0, 245.61 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:18.032, 1, 254.90 W, 39, 1965 MHz, 0 %, 162587 MiB
2026/04/05 11:43:18.032, 2, 249.24 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:18.032, 3, 248.78 W, 40, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:18.033, 4, 197.60 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:18.033, 5, 195.23 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:18.033, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:18.034, 7, 195.27 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:20.034, 0, 245.59 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:20.034, 1, 254.80 W, 39, 1965 MHz, 0 %, 162587 MiB
2026/04/05 11:43:20.035, 2, 249.21 W, 35, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:20.035, 3, 248.79 W, 40, 1965 MHz, 0 %, 162717 MiB
2026/04/05 11:43:20.035, 4, 197.61 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:20.036, 5, 195.16 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:20.036, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:20.036, 7, 195.24 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:22.037, 0, 843.21 W, 47, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:22.037, 1, 918.80 W, 50, 1965 MHz, 100 %, 166527 MiB
2026/04/05 11:43:22.037, 2, 828.43 W, 47, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:22.038, 3, 902.28 W, 52, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:22.038, 4, 197.65 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:22.038, 5, 195.29 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:22.039, 6, 189.86 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:22.039, 7, 195.21 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:24.039, 0, 608.91 W, 42, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:24.040, 1, 634.66 W, 46, 1965 MHz, 100 %, 166527 MiB
2026/04/05 11:43:24.040, 2, 607.01 W, 42, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:24.041, 3, 615.87 W, 47, 1965 MHz, 100 %, 166657 MiB
2026/04/05 11:43:24.041, 4, 197.61 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:24.041, 5, 195.21 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:24.041, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:24.042, 7, 195.23 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 11:43:26.042, 0, 614.14 W, 43, 1965 MHz, 100 %, 166657 MiB
