B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,25.6,0.0,qkv_a_proj_GEMM(pdl):23.8μs,input_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 4>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",29.01,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",5.51,MI355X only (comm_pre_attn)
qkv_a_proj_GEMM,nvjet_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT,23,31.7,0.0,EP_AR+residual+RMSNorm(fused)(pdl):23.8μs | qkv_a_splitK_reduce(pdl):1.5μs,gemm_a16w16,aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean,16.07,
qkv_a_splitK_reduce,cublasLt::splitKreduce_kernel<...>,23,3.8,0.0,qkv_a_proj_GEMM(pdl):1.5μs | q/k_norm_RMSNorm(pdl):1.2μs,,,,B200 only
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,23,3.2,1.5,q/k_norm_RMSNorm(dual_stream):1.5μs | qkv_a_splitK_reduce(pdl):1.2μs,hipLaunchKernel,"void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)",5.48,
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,385,2.4,1.5,q/k_norm_RMSNorm(dual_stream):1.5μs,,"void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 64, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)",5.42,
q_b_proj_GEMM,nvjet_tst_48x64_64x15_4x1_v_bz_TNN,23,6.4,0.0,uk_gemm(K_expansion)(pdl):1.4μs,q_proj_and_k_up_proj,Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT64x32x128_MI16x16x1_SN_LDSB1_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA0_DTLB0_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LBSPPA512_LBSPPB256_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT2_1_MO40_NTn1_NTA0_NTB0_NTC0_NTD0_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW2_SK3_SKXCCM8_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA2_VWB1_WSGRA0_WSGRB0_WS64_WG32_8_1,11.79,
uk_gemm(K_expansion),nvjet_tst_128x64_64x8_4x1_v_bz_TNT,23,4.5,0.0,q_b_proj_GEMM(pdl):1.4μs,,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_32_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_1_cache_modifier_CG,5.47,
RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,23,2.7,0.0,,rope_and_kv_cache,"void aiter::fuse_qk_rope_concat_and_cache_mla_per_head_kernel<std::bfloat16_t, _BitInt(8), _BitInt(8), (vllm::Fp8KVCacheDataType)1, (vllm::Fp8KVCacheDataType)1, 8>(std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, _BitInt(8)*, _BitInt(8)*, long const*, long const*, std::bfloat16_t const*, std::bfloat16_t const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*, bool, bool)",5.28,
set_mla_kv,set_mla_kv_buffer_kernel,23,1.7,0.0,,,,,B200 only
