#,Module,Operator,Raw_Kernel,Stream,Avg_us,Min_us,Max_us,Overlap_with
1,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,25.9,8.8,43.7,qkv_a_proj_GEMM(same)
2,Attention,qkv_a_proj_GEMM,nvjet_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT,23,31.9,14.8,49.7,EP_AR+residual+RMSNorm(same) | qkv_a_splitK_reduce(same)
3,Attention,qkv_a_splitK_reduce,cublasLt::splitKreduce_kernel<...>,23,3.7,3.4,4.0,qkv_a_proj_GEMM(same) | q/k_norm_RMSNorm(same)
4,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,23,3.2,3.0,3.4,qkv_a_splitK_reduce(same) | q/k_norm_RMSNorm(cross)
5,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,385,2.4,2.2,2.6,q/k_norm_RMSNorm(cross)
6,Attention,q_b_proj_GEMM,nvjet_tst_48x64_64x15_4x1_v_bz_TNN,23,6.3,6.1,6.5,uk_gemm(same)
7,Attention,uk_gemm(K_expansion),nvjet_tst_128x64_64x8_4x1_v_bz_TNT,23,4.4,4.1,4.9,q_b_proj_GEMM(same)
8,Attention,RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,23,2.7,2.5,2.8,
9,Attention,set_mla_kv,set_mla_kv_buffer_kernel,23,1.7,1.6,1.9,
10,Attention,Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128Persist,23,20.3,19.8,20.7,
11,Attention,uv_gemm(V_expansion),nvjet_tst_64x32_64x16_2x2_2cta_h_bz_TNT,23,4.0,3.9,4.1,
12,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.1,2.0,2.2,
13,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,23,9.4,9.2,9.6,
14,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,23,11.0,10.0,13.2,router_GEMM(cross)
15,MoE_Route,router_GEMM,nvjet_tst_64x32_64x16_2x2_2cta_h_bz_splitK_TNT,385,13.5,12.5,15.7,EP_AR+residual+RMSNorm(cross) | o_proj_quant(cross) | router_splitK_reduce(same) | o_proj_GEMM(cross)
16,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,23,2.5,2.3,2.7,router_GEMM(cross) | router_splitK_reduce(cross)
17,MoE_Route,router_splitK_reduce,cublasLt::splitKreduce_kernel<...>,385,3.6,3.1,4.4,router_GEMM(same) | o_proj_GEMM(cross) | MoE_input_quant(same) | o_proj_quant(cross)
18,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,23,10.2,9.4,11.0,router_GEMM(cross) | router_splitK_reduce(cross) | MoE_input_quant(cross) | tensor_copy(cross) | TopK_select(cross)
19,MoE_Route,MoE_input_quant(BF16→FP4),tensorrt_llm::kernels::quantize_with_block_size<...>,385,3.8,3.2,4.5,router_splitK_reduce(same) | o_proj_GEMM(cross)
20,MoE_Route,tensor_copy,at::native::unrolled_elementwise_kernel<...>,385,3.2,2.8,3.5,o_proj_GEMM(cross)
21,MoE_Route,TopK_select,moe::dev::routing::routingDeepSeek::routingMainKernel<...>,385,4.5,4.2,4.7,expert_sort(same) | SiLU×Mul(cross) | o_proj_GEMM(cross) | shared_quant(cross)
