iter_idx,layer_idx,n_kernels,kernel_sum_us,walltime_us,overlap_us
0,0,16,228.9,192.3,36.6
0,1,17,238.0,201.6,36.4
0,2,17,250.9,207.6,43.3
0,3,16,197.2,161.1,36.1
0,4,17,248.9,205.3,43.6
0,5,16,202.9,166.0,37.0
0,6,16,186.4,149.6,36.8
0,7,16,204.6,161.8,42.8
0,8,16,213.2,170.1,43.1
0,9,16,220.2,181.9,38.4
0,10,16,234.8,198.0,36.8
0,11,16,250.0,211.8,38.2
0,12,16,216.4,176.8,39.6
0,13,16,197.5,159.4,38.1
0,14,16,227.9,184.4,43.5
0,15,16,244.4,199.8,44.6
0,16,17,250.3,206.5,43.9
0,17,16,229.1,190.7,38.4
0,18,16,220.1,172.1,48.0
0,19,17,232.5,195.3,37.3
0,20,16,217.0,173.4,43.6
0,21,17,242.1,205.4,36.7
0,22,16,253.5,211.1,42.5
0,23,16,221.6,183.4,38.2
0,24,16,236.1,192.5,43.6
0,25,16,237.9,200.7,37.3
0,26,16,223.6,180.9,42.7
0,27,16,223.1,179.0,44.0
0,28,16,208.8,164.8,44.0
0,29,17,247.7,210.8,36.9
0,30,16,202.9,166.4,36.5
0,31,16,233.8,189.8,44.0
0,32,17,252.3,206.4,45.9
0,33,17,258.5,215.7,42.8
0,34,16,212.9,175.4,37.5
0,35,16,226.2,188.8,37.4
0,36,16,244.8,207.8,37.0
0,37,16,252.0,213.6,38.5
0,38,16,223.1,185.4,37.6
0,39,17,249.4,210.3,39.1
0,40,16,251.1,203.0,48.0
0,41,17,270.0,222.3,47.6
0,42,16,229.1,190.5,38.6
0,43,16,216.5,178.2,38.2
0,44,16,226.6,186.8,39.8
0,45,16,229.1,188.7,40.4
0,46,16,236.8,199.0,37.8
0,47,16,214.4,175.1,39.3
0,48,16,209.9,167.4,42.5
0,49,16,221.9,186.1,35.7
0,50,16,225.9,180.4,45.5
1,0,16,219.7,177.0,42.7
1,1,16,222.1,183.2,38.9
1,2,16,224.7,182.2,42.5
1,3,16,215.8,176.6,39.2
1,4,16,201.7,161.9,39.9
1,5,16,192.8,155.2,37.6
1,6,16,209.0,173.0,36.0
1,7,16,225.5,181.7,43.8
1,8,16,228.5,190.9,37.7
1,9,16,228.4,189.4,38.9
1,10,16,208.2,169.9,38.3
1,11,16,246.9,204.6,42.3
1,12,17,226.2,187.1,39.1
1,13,16,179.8,140.3,39.5
1,14,16,226.3,181.8,44.5
1,15,16,208.6,164.9,43.7
1,16,16,194.1,152.7,41.4
1,17,16,226.6,182.8,43.8
1,18,17,242.2,203.9,38.2
1,19,16,211.1,174.0,37.2
1,20,17,236.5,200.0,36.5
1,21,16,221.1,178.2,42.8
1,22,16,237.0,197.1,39.8
1,23,16,238.8,199.6,39.2
1,24,16,231.5,192.3,39.2
1,25,16,242.2,199.6,42.6
1,26,17,270.1,227.9,42.2
1,27,16,238.7,194.8,43.9
1,28,17,245.8,208.5,37.3
1,29,16,246.7,208.8,37.9
1,30,16,231.6,183.7,47.9
1,31,17,249.1,207.9,41.2
1,32,17,240.8,197.6,43.2
1,33,16,236.0,192.1,43.9
1,34,17,240.5,204.2,36.4
1,35,16,241.3,204.4,37.0
1,36,16,245.0,197.9,47.1
1,37,16,237.2,198.7,38.6
1,38,16,221.5,182.4,39.1
1,39,16,193.3,154.9,38.4
1,40,16,223.5,184.4,39.1
1,41,16,225.4,188.3,37.1
1,42,17,241.3,204.5,36.8
1,43,16,200.1,163.2,37.0
1,44,16,225.6,187.2,38.4
1,45,16,210.1,172.3,37.8
1,46,16,237.7,193.4,44.3
1,47,16,222.0,183.4,38.6
1,48,16,212.1,175.5,36.6
1,49,16,252.3,207.9,44.4
1,50,16,204.1,165.0,39.1
2,0,16,236.6,198.9,37.7
2,1,16,250.4,211.4,39.0
2,2,17,230.6,187.1,43.5
2,3,17,275.0,233.0,42.1
2,4,16,220.1,182.9,37.2
2,5,17,237.0,194.9,42.1
2,6,17,228.9,191.4,37.5
2,7,16,197.0,158.8,38.2
2,8,16,213.1,174.2,38.9
2,9,16,210.5,171.8,38.7
2,10,17,245.6,205.1,40.5
2,11,17,252.0,209.1,42.9
2,12,16,254.8,216.4,38.4
2,13,17,246.8,198.6,48.3
2,14,16,204.2,165.9,38.3
2,15,16,204.2,166.8,37.4
2,16,16,213.9,175.0,38.9
2,17,16,210.3,166.1,44.1
2,18,16,232.5,188.7,43.8
2,19,16,199.9,163.6,36.4
2,20,17,252.4,215.6,36.9
2,21,16,228.1,186.6,41.5
2,22,16,216.5,173.6,42.9
2,23,17,248.6,210.4,38.2
2,24,16,237.5,195.5,42.0
2,25,16,239.5,193.9,45.5
2,26,16,219.7,183.6,36.1
2,27,16,239.5,196.8,42.7
2,28,16,236.2,197.9,38.3
2,29,16,226.2,190.2,36.0
2,30,16,253.3,205.4,47.9
2,31,16,228.4,188.2,40.3
2,32,16,226.1,185.5,40.6
2,33,17,245.1,199.4,45.7
2,34,16,241.8,202.6,39.1
2,35,16,229.6,191.3,38.3
2,36,16,232.2,193.9,38.2
2,37,16,240.8,203.7,37.1
2,38,16,240.4,197.5,42.9
2,39,16,211.9,173.4,38.4
2,40,16,197.2,158.7,38.5
2,41,16,232.9,195.6,37.4
2,42,16,230.9,192.2,38.7
2,43,16,246.3,200.3,46.0
2,44,16,225.7,181.1,44.6
2,45,16,245.4,207.1,38.3
2,46,16,227.6,188.6,39.0
2,47,16,219.9,181.7,38.2
2,48,17,242.7,204.5,38.2
2,49,16,214.6,171.9,42.8
2,50,16,233.1,195.0,38.1
3,0,16,248.8,209.4,39.5
3,1,16,230.5,194.2,36.3
3,2,16,236.0,189.9,46.1
3,3,16,219.2,181.6,37.6
3,4,16,211.4,174.3,37.0
3,5,16,197.2,154.1,43.1
3,6,16,227.2,177.5,49.7
3,7,17,238.2,195.4,42.8
3,8,16,208.5,171.2,37.3
3,9,16,222.4,184.5,37.9
3,10,16,230.1,191.8,38.3
3,11,16,235.6,199.3,36.3
3,12,16,230.0,184.1,45.9
3,13,16,203.2,158.4,44.8
3,14,16,201.1,159.4,41.7
3,15,16,226.0,184.1,41.9
3,16,17,256.7,216.9,39.9
3,17,16,226.4,188.6,37.8
3,18,17,266.1,226.4,39.6
3,19,17,236.8,199.1,37.7
3,20,17,238.5,201.8,36.7
3,21,16,218.1,179.9,38.2
3,22,16,245.1,204.7,40.4
3,23,16,234.7,192.3,42.4
3,24,16,240.2,195.4,44.8
3,25,16,237.8,200.4,37.4
3,26,17,256.6,218.1,38.5
3,27,16,227.9,181.4,46.5
3,28,16,215.0,178.6,36.4
3,29,17,254.9,216.3,38.7
3,30,16,229.2,190.9,38.3
3,31,16,232.5,194.9,37.6
3,32,16,212.4,173.4,39.0
3,33,16,243.1,197.5,45.6
3,34,16,217.4,180.3,37.2
3,35,16,232.2,195.3,36.9
3,36,16,248.6,210.8,37.8
3,37,16,240.6,201.2,39.4
