timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/05 02:31:23.496, 0, 191.67 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.501, 1, 198.49 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.504, 2, 196.13 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.508, 3, 193.38 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.511, 4, 197.54 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.514, 5, 195.06 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.518, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:23.522, 7, 195.24 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:25.528, 0, 193.21 W, 33, 862 MHz, 0 %, 4 MiB
2026/04/05 02:31:25.541, 1, 198.51 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:25.542, 2, 196.14 W, 33, 120 MHz, 0 %, 1 MiB
2026/04/05 02:31:25.543, 3, 193.38 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/05 02:31:25.544, 4, 197.54 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:25.554, 5, 195.08 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:25.556, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:25.556, 7, 195.24 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:27.560, 0, 195.10 W, 33, 142 MHz, 0 %, 4 MiB
2026/04/05 02:31:27.560, 1, 202.78 W, 36, 172 MHz, 0 %, 4 MiB
2026/04/05 02:31:27.561, 2, 198.50 W, 33, 577 MHz, 0 %, 4 MiB
2026/04/05 02:31:27.561, 3, 197.98 W, 37, 750 MHz, 0 %, 4 MiB
2026/04/05 02:31:27.561, 4, 197.53 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:27.562, 5, 195.08 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:27.562, 6, 189.87 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:27.562, 7, 195.23 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:29.563, 0, 191.67 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:29.563, 1, 198.51 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:29.564, 2, 196.15 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:29.564, 3, 193.40 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:29.565, 4, 197.54 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:29.565, 5, 195.09 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:29.565, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:29.565, 7, 195.22 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:31.566, 0, 191.67 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:31.566, 1, 198.50 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:31.567, 2, 196.18 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:31.567, 3, 193.37 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:31.567, 4, 197.54 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:31.568, 5, 195.07 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:31.568, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:31.568, 7, 195.20 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:33.569, 0, 191.71 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:33.569, 1, 198.53 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:33.570, 2, 196.21 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:33.570, 3, 193.37 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:33.570, 4, 197.58 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:33.570, 5, 195.05 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:33.571, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:33.571, 7, 195.21 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:35.572, 0, 191.68 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:35.572, 1, 198.58 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:35.572, 2, 196.16 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:35.573, 3, 193.40 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/05 02:31:35.573, 4, 197.54 W, 32, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:35.573, 5, 195.05 W, 36, 120 MHz, 0 %, 0 MiB
2026/04/05 02:31:35.574, 6, 189.88 W, 32, 120 MHz, 0 %, 0 MiB
