timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/14 09:56:47.269, 0, 192.96 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.276, 1, 200.14 W, 37, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.280, 2, 197.87 W, 34, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.283, 3, 195.47 W, 38, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.286, 4, 199.46 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.290, 5, 197.63 W, 38, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.293, 6, 191.85 W, 33, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:47.297, 7, 197.10 W, 37, 120 MHz, 0 %, 0 MiB
2026/04/14 09:56:49.300, 0, 193.72 W, 33, 600 MHz, 0 %, 4 MiB
2026/04/14 09:56:49.382, 1, 200.20 W, 36, 637 MHz, 0 %, 4 MiB
2026/04/14 09:56:49.382, 2, 197.87 W, 34, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:49.383, 3, 195.40 W, 38, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:49.383, 4, 199.46 W, 33, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:49.383, 5, 197.49 W, 38, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:49.384, 6, 191.85 W, 33, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:49.384, 7, 196.96 W, 37, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:51.386, 0, 194.41 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.412, 1, 202.08 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.422, 2, 200.08 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.424, 3, 199.94 W, 38, 750 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.425, 4, 204.53 W, 33, 795 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.426, 5, 198.54 W, 38, 652 MHz, 0 %, 4 MiB
2026/04/14 09:56:51.426, 6, 191.87 W, 33, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:51.427, 7, 196.83 W, 37, 120 MHz, 0 %, 1 MiB
2026/04/14 09:56:53.428, 0, 192.91 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.428, 1, 200.04 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.429, 2, 197.85 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.429, 3, 195.39 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.430, 4, 199.43 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.430, 5, 199.09 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.431, 6, 196.38 W, 33, 787 MHz, 0 %, 4 MiB
2026/04/14 09:56:53.431, 7, 199.86 W, 37, 622 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.431, 0, 192.91 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.432, 1, 199.95 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.432, 2, 197.74 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.433, 3, 195.32 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.433, 4, 199.37 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.434, 5, 197.42 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.434, 6, 191.77 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:55.434, 7, 196.90 W, 37, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.435, 0, 192.92 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.435, 1, 199.92 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.436, 2, 197.69 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.436, 3, 195.32 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.437, 4, 199.42 W, 33, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.437, 5, 197.37 W, 38, 120 MHz, 0 %, 4 MiB
2026/04/14 09:56:57.437, 6, 191.79 W, 33, 120 MHz, 0 %, 4 MiB
