timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/29 04:43:39.778, 0, 197.36 W, 37, 150 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.782, 1, 197.66 W, 44, 120 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.785, 2, 195.54 W, 37, 337 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.789, 3, 202.32 W, 44, 150 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.793, 4, 197.98 W, 37, 232 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.796, 5, 199.46 W, 44, 217 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.800, 6, 193.07 W, 38, 195 MHz, 0 %, 0 MiB
2026/04/29 04:43:39.803, 7, 199.29 W, 45, 225 MHz, 0 %, 0 MiB
2026/04/29 04:43:41.807, 0, 197.33 W, 36, 570 MHz, 0 %, 4 MiB
2026/04/29 04:43:41.868, 1, 197.10 W, 43, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:41.868, 2, 193.83 W, 37, 127 MHz, 0 %, 1 MiB
2026/04/29 04:43:41.869, 3, 201.37 W, 44, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:41.869, 4, 196.99 W, 36, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:41.869, 5, 198.29 W, 43, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:41.870, 6, 192.10 W, 37, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:41.870, 7, 198.10 W, 44, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:43.871, 0, 197.74 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.874, 1, 199.24 W, 43, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.884, 2, 198.76 W, 36, 165 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.885, 3, 205.12 W, 43, 652 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.889, 4, 199.36 W, 36, 592 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.890, 5, 199.24 W, 43, 690 MHz, 0 %, 4 MiB
2026/04/29 04:43:43.892, 6, 191.64 W, 37, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:43.958, 7, 197.56 W, 44, 120 MHz, 0 %, 1 MiB
2026/04/29 04:43:45.968, 0, 196.25 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.969, 1, 196.31 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.969, 2, 193.48 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.969, 3, 200.48 W, 43, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.970, 4, 196.68 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.970, 5, 199.51 W, 43, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.971, 6, 194.17 W, 37, 585 MHz, 0 %, 4 MiB
2026/04/29 04:43:45.971, 7, 201.47 W, 43, 720 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.971, 0, 196.23 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.972, 1, 195.97 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.972, 2, 193.15 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.973, 3, 200.00 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.973, 4, 196.48 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.973, 5, 197.04 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.974, 6, 191.52 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:47.974, 7, 197.07 W, 43, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.974, 0, 196.29 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.975, 1, 195.72 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.975, 2, 193.02 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.976, 3, 199.75 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.976, 4, 196.13 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.976, 5, 196.92 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.977, 6, 191.16 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:49.977, 7, 196.69 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.978, 0, 200.21 W, 35, 1950 MHz, 0 %, 700 MiB
2026/04/29 04:43:51.978, 1, 195.33 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.978, 2, 192.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.979, 3, 199.24 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.979, 4, 195.75 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.980, 5, 196.39 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.980, 6, 190.97 W, 36, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:51.980, 7, 196.35 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:53.981, 0, 251.01 W, 36, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:43:53.996, 1, 195.19 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.013, 2, 192.51 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.021, 3, 199.12 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.036, 4, 195.61 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.039, 5, 196.31 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.040, 6, 190.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:54.045, 7, 196.07 W, 42, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.050, 0, 250.90 W, 36, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:43:56.051, 1, 194.77 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.051, 2, 192.38 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.051, 3, 198.57 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.052, 4, 195.54 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.052, 5, 195.98 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.052, 6, 190.95 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:56.053, 7, 195.88 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.053, 0, 250.63 W, 36, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:43:58.054, 1, 194.55 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.054, 2, 192.33 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.055, 3, 198.48 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.055, 4, 195.41 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.055, 5, 195.75 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.056, 6, 190.77 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:43:58.056, 7, 195.66 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.056, 0, 250.40 W, 36, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:00.057, 1, 194.55 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.057, 2, 192.11 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.058, 3, 198.07 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.058, 4, 195.20 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.058, 5, 196.02 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.059, 6, 190.77 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:00.059, 7, 195.48 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.060, 0, 250.34 W, 35, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:02.063, 1, 194.52 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.065, 2, 191.98 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.066, 3, 198.10 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.067, 4, 195.04 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.068, 5, 195.70 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.070, 6, 190.66 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:02.070, 7, 195.30 W, 41, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.071, 0, 250.35 W, 35, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:04.071, 1, 194.29 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.072, 2, 191.77 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.072, 3, 197.83 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.072, 4, 194.93 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.073, 5, 195.68 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.073, 6, 190.53 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:04.074, 7, 195.09 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.075, 0, 250.30 W, 35, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:06.075, 1, 194.06 W, 39, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.076, 2, 191.74 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.076, 3, 197.69 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.076, 4, 194.88 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.077, 5, 195.52 W, 39, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.077, 6, 190.41 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:06.077, 7, 194.92 W, 40, 120 MHz, 0 %, 4 MiB
2026/04/29 04:44:08.078, 0, 250.33 W, 35, 1965 MHz, 0 %, 1396 MiB
2026/04/29 04:44:08.078, 1, 250.39 W, 40, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:08.079, 2, 245.46 W, 35, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:08.079, 3, 252.31 W, 40, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:08.080, 4, 249.63 W, 35, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:08.080, 5, 251.49 W, 40, 1965 MHz, 0 %, 630 MiB
2026/04/29 04:44:08.080, 6, 244.54 W, 36, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:08.080, 7, 251.35 W, 41, 1965 MHz, 0 %, 700 MiB
2026/04/29 04:44:10.081, 0, 250.26 W, 35, 1965 MHz, 0 %, 51516 MiB
2026/04/29 04:44:10.082, 1, 250.33 W, 40, 1965 MHz, 0 %, 4976 MiB
2026/04/29 04:44:10.082, 2, 245.49 W, 35, 1965 MHz, 0 %, 49952 MiB
2026/04/29 04:44:10.083, 3, 252.35 W, 40, 1965 MHz, 1 %, 51156 MiB
2026/04/29 04:44:10.083, 4, 249.65 W, 35, 1965 MHz, 0 %, 4976 MiB
2026/04/29 04:44:10.083, 5, 251.57 W, 40, 1965 MHz, 1 %, 50960 MiB
2026/04/29 04:44:10.084, 6, 244.67 W, 36, 1965 MHz, 1 %, 50876 MiB
2026/04/29 04:44:10.084, 7, 251.24 W, 41, 1965 MHz, 0 %, 50204 MiB
2026/04/29 04:44:12.085, 0, 250.13 W, 35, 1965 MHz, 0 %, 55380 MiB
2026/04/29 04:44:12.085, 1, 250.38 W, 40, 1965 MHz, 2 %, 52472 MiB
2026/04/29 04:44:12.086, 2, 245.62 W, 35, 1965 MHz, 2 %, 54152 MiB
2026/04/29 04:44:12.087, 3, 252.16 W, 40, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:12.088, 4, 249.72 W, 35, 1965 MHz, 2 %, 51408 MiB
2026/04/29 04:44:12.088, 5, 251.29 W, 40, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:12.088, 6, 244.46 W, 36, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:12.089, 7, 251.33 W, 41, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.090, 0, 250.08 W, 35, 1965 MHz, 0 %, 55380 MiB
2026/04/29 04:44:14.091, 1, 250.45 W, 40, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.091, 2, 245.39 W, 35, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.092, 3, 251.99 W, 40, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.092, 4, 249.78 W, 35, 1965 MHz, 2 %, 53004 MiB
2026/04/29 04:44:14.092, 5, 251.01 W, 40, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.093, 6, 244.17 W, 36, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:14.093, 7, 250.99 W, 41, 1965 MHz, 0 %, 54684 MiB
2026/04/29 04:44:16.094, 0, 250.07 W, 35, 1965 MHz, 0 %, 55380 MiB
2026/04/29 04:44:16.094, 1, 249.93 W, 40, 1965 MHz, 0 %, 54684 MiB
