timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/14 06:16:56.869, 0, 247.92 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.893, 1, 257.15 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.907, 2, 251.51 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.917, 3, 251.15 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.928, 4, 253.57 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.937, 5, 252.05 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.946, 6, 246.86 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:56.956, 7, 253.59 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.966, 0, 245.40 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.966, 1, 254.35 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.967, 2, 249.15 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.967, 3, 248.50 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.967, 4, 251.53 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.968, 5, 250.16 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.968, 6, 244.26 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:16:58.968, 7, 251.29 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:17:00.969, 0, 416.36 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/14 06:17:00.969, 1, 427.49 W, 41, 1965 MHz, 100 %, 165003 MiB
2026/04/14 06:17:00.970, 2, 420.79 W, 38, 1965 MHz, 100 %, 165003 MiB
