timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/14 06:34:35.264, 0, 247.98 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.289, 1, 255.50 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.307, 2, 250.79 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.321, 3, 250.73 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.334, 4, 253.29 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.344, 5, 251.97 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.355, 6, 244.81 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:35.365, 7, 253.16 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.375, 0, 245.45 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.375, 1, 254.16 W, 38, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.376, 2, 249.37 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.376, 3, 248.73 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.377, 4, 251.67 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.377, 5, 250.46 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.377, 6, 244.70 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:37.378, 7, 251.63 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/14 06:34:39.378, 0, 321.08 W, 37, 1965 MHz, 18 %, 167441 MiB
2026/04/14 06:34:39.379, 1, 330.80 W, 40, 1965 MHz, 6 %, 167441 MiB
2026/04/14 06:34:39.379, 2, 329.65 W, 38, 1965 MHz, 44 %, 167441 MiB
2026/04/14 06:34:39.380, 3, 325.75 W, 42, 1965 MHz, 99 %, 167441 MiB
2026/04/14 06:34:39.380, 4, 328.85 W, 38, 1965 MHz, 36 %, 167441 MiB
2026/04/14 06:34:39.381, 5, 354.43 W, 45, 1965 MHz, 83 %, 167441 MiB
2026/04/14 06:34:39.381, 6, 343.17 W, 37, 1965 MHz, 27 %, 167441 MiB
2026/04/14 06:34:39.381, 7, 372.00 W, 45, 1965 MHz, 0 %, 167441 MiB
2026/04/14 06:34:41.382, 0, 434.43 W, 38, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.382, 1, 447.53 W, 41, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.383, 2, 428.47 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.383, 3, 436.05 W, 43, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.383, 4, 437.08 W, 38, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.384, 5, 434.07 W, 42, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.384, 6, 437.05 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:41.384, 7, 435.74 W, 42, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.385, 0, 430.07 W, 38, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.385, 1, 447.21 W, 42, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.386, 2, 427.86 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.386, 3, 435.78 W, 43, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.386, 4, 438.82 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.387, 5, 439.02 W, 43, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.387, 6, 440.45 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:43.387, 7, 436.64 W, 43, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.388, 0, 431.70 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.388, 1, 445.47 W, 42, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.389, 2, 427.13 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.389, 3, 439.88 W, 44, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.390, 4, 443.13 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.390, 5, 440.39 W, 43, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.390, 6, 438.12 W, 39, 1965 MHz, 100 %, 167441 MiB
2026/04/14 06:34:45.391, 7, 438.65 W, 43, 1965 MHz, 100 %, 167441 MiB
