timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/09 02:47:07.839, 0, 248.70 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.866, 1, 255.74 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.883, 2, 251.87 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.898, 3, 251.68 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.910, 4, 253.78 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.923, 5, 250.64 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.935, 6, 244.39 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:07.947, 7, 251.57 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.959, 0, 246.13 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.964, 1, 254.64 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.968, 2, 249.57 W, 36, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.973, 3, 249.10 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.977, 4, 251.81 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.981, 5, 250.69 W, 40, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.985, 6, 244.09 W, 35, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:09.988, 7, 251.33 W, 39, 1965 MHz, 0 %, 163549 MiB
2026/04/09 02:47:11.992, 0, 414.74 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:11.997, 1, 426.88 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.001, 2, 414.01 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.005, 3, 419.95 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.009, 4, 426.38 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.013, 5, 418.82 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.017, 6, 418.22 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:12.021, 7, 417.25 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.024, 0, 408.67 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.029, 1, 429.32 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.034, 2, 414.96 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.038, 3, 419.97 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.042, 4, 426.42 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.046, 5, 419.16 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.051, 6, 423.31 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:14.055, 7, 421.49 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.059, 0, 410.85 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.065, 1, 431.64 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.069, 2, 414.07 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.073, 3, 422.72 W, 44, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.077, 4, 427.21 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.081, 5, 422.29 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.085, 6, 420.55 W, 38, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:16.089, 7, 425.61 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.093, 0, 443.96 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.099, 1, 450.55 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.104, 2, 437.56 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.109, 3, 442.83 W, 44, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.114, 4, 446.18 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.119, 5, 437.82 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.123, 6, 438.88 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:18.127, 7, 438.92 W, 42, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.131, 0, 412.30 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.136, 1, 429.56 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.140, 2, 417.42 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.145, 3, 422.15 W, 44, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.150, 4, 428.95 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.153, 5, 421.27 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.157, 6, 419.76 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:20.162, 7, 422.10 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.166, 0, 411.98 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.175, 1, 430.92 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.184, 2, 415.97 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.188, 3, 421.02 W, 44, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.192, 4, 428.99 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.196, 5, 421.97 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.200, 6, 423.84 W, 39, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:22.204, 7, 421.99 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:24.209, 0, 448.28 W, 40, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:24.214, 1, 462.74 W, 43, 1965 MHz, 100 %, 165003 MiB
2026/04/09 02:47:24.218, 2, 444.12 W, 40, 1965 MHz, 100 %, 165003 MiB
