index,timestamp_us,duration_us,type
0,1096473439513.5,98.1,big
1,1096473439975.4,102.3,big
2,1096473440748.4,98.1,big
3,1096473441115.3,102.4,big
4,1096473441884.8,100.5,big
5,1096473442251.1,102.0,big
6,1096473442935.5,98.0,big
7,1096473443909.5,101.6,big
8,1096473444816.7,97.9,big
9,1096473445682.0,99.3,big
10,1096473446335.5,98.3,big
11,1096473447142.1,100.7,big
12,1096473447742.3,99.3,big
13,1096473448522.3,101.2,big
14,1096473449152.4,97.0,big
15,1096473449952.2,98.6,big
16,1096473450548.7,97.8,big
17,1096473451306.1,99.6,big
18,1096473451923.1,96.5,big
19,1096473452730.0,102.1,big
20,1096473453317.8,98.4,big
21,1096473454107.4,101.1,big
22,1096473454723.6,99.4,big
23,1096473455477.7,101.6,big
24,1096473456088.0,98.9,big
25,1096473456848.8,100.2,big
26,1096473457427.7,96.8,big
27,1096473458176.6,102.8,big
28,1096473458770.6,96.2,big
29,1096473459544.7,102.5,big
30,1096473460120.4,98.3,big
31,1096473460891.6,102.5,big
32,1096473461491.8,99.2,big
33,1096473462215.4,99.8,big
34,1096473462842.7,96.8,big
35,1096473463599.7,100.0,big
36,1096473464172.8,99.4,big
37,1096473464919.0,102.0,big
38,1096473465516.3,98.8,big
39,1096473466287.0,102.3,big
40,1096473466845.5,98.3,big
41,1096473467586.7,99.7,big
42,1096473468153.7,100.0,big
43,1096473468877.2,102.7,big
44,1096473469523.9,98.1,big
45,1096473470224.9,101.8,big
46,1096473470847.2,100.3,big
47,1096473471581.9,100.8,big
48,1096473472181.4,97.1,big
49,1096473472939.8,100.1,big
50,1096473473510.4,99.5,big
51,1096473474217.6,101.5,big
52,1096473474804.5,97.6,big
53,1096473475528.4,102.7,big
54,1096473476128.8,96.9,big
55,1096473476900.5,100.3,big
56,1096473477487.9,97.1,big
57,1096473478195.0,100.5,big
58,1096473478816.6,98.5,big
59,1096473479717.5,99.7,big
60,1096473480277.3,97.9,big
61,1096473481004.7,101.4,big
62,1096473481601.4,97.5,big
63,1096473482335.0,102.4,big
64,1096473482931.1,96.8,big
65,1096473483660.9,100.5,big
66,1096473484226.7,98.5,big
67,1096473484972.6,102.9,big
68,1096473485590.1,97.9,big
69,1096473486292.5,100.6,big
70,1096473486884.9,98.6,big
71,1096473487643.4,98.8,big
72,1096473488185.7,98.5,big
73,1096473488978.6,89.6,big
74,1096473489560.2,96.9,big
75,1096473490281.0,100.3,big
76,1096473490860.6,98.5,big
77,1096473491585.5,102.2,big
78,1096473492253.7,99.2,big
79,1096473492992.7,99.8,big
80,1096473493568.8,97.9,big
81,1096473494294.4,99.2,big
82,1096473494867.2,97.6,big
83,1096473495637.4,103.6,big
84,1096473496185.2,99.3,big
85,1096473496917.6,100.6,big
86,1096473497507.0,99.6,big
87,1096473498207.9,101.6,big
88,1096473498822.6,96.9,big
89,1096473499586.3,98.7,big
90,1096473500134.4,97.0,big
91,1096473500881.3,100.2,big
92,1096473501505.0,95.8,big
93,1096473502209.3,102.3,big
94,1096473502792.9,99.8,big
95,1096473503516.3,103.2,big
96,1096473504084.7,98.3,big
97,1096473504865.9,98.6,big
98,1096473505442.1,98.3,big
99,1096473506202.0,98.5,big
100,1096473506761.0,95.8,big
101,1096473507480.0,103.0,big
102,1096473508084.5,95.4,big
103,1096473508815.3,102.0,big
104,1096473509404.0,99.2,big
105,1096473510109.8,101.1,big
106,1096473510708.1,97.6,big
107,1096473511474.7,99.0,big
108,1096473512022.2,97.8,big
109,1096473512758.5,100.9,big
110,1096473513356.4,100.1,big
111,1096473514276.6,103.1,big
112,1096473514910.7,99.3,big
113,1096473515636.2,100.2,big
114,1096473516194.2,98.0,big
115,1096473516913.9,103.1,big
116,1096473517519.2,98.0,big
117,1096473518222.7,101.2,big
118,1096473518850.8,96.7,big
119,1096473519581.9,101.6,big
120,1096473520164.4,98.5,big
121,1096473612579.4,8.3,small
122,1096473612613.4,10.5,small
123,1096473612667.6,8.6,small
124,1096473612700.2,11.4,small
125,1096473612755.9,9.4,small
126,1096473612789.8,10.8,small
127,1096473612844.8,14.9,small
128,1096473612899.8,31.2,big
129,1096473612977.2,8.6,small
130,1096473613042.8,10.9,small
131,1096473613098.9,10.3,small
132,1096473613164.0,22.9,big
133,1096473613233.8,8.9,small
134,1096473613289.5,14.8,small
135,1096473613351.2,7.8,small
136,1096473613416.5,7.7,small
137,1096473613470.3,8.0,small
138,1096473613540.1,8.5,small
139,1096473613595.4,7.4,small
140,1096473613653.0,10.5,small
141,1096473613709.2,9.4,small
142,1096473613761.0,24.3,big
143,1096473613831.2,8.2,small
144,1096473613885.0,22.7,big
145,1096473613953.6,8.3,small
146,1096473614002.4,21.5,big
147,1096473614070.3,8.1,small
148,1096473614119.0,30.3,big
149,1096473614194.4,8.2,small
150,1096473614246.6,29.8,big
151,1096473614322.9,8.0,small
152,1096473614375.0,17.6,big
153,1096473614438.1,8.9,small
154,1096473614480.2,29.2,big
155,1096473614552.8,10.0,small
156,1096473614618.8,7.8,small
157,1096473614673.2,7.9,small
158,1096473614727.9,15.5,big
159,1096473614788.9,8.8,small
160,1096473614845.0,14.4,small
161,1096473614905.0,7.5,small
162,1096473614950.4,27.7,big
163,1096473615021.7,11.3,small
164,1096473615066.2,36.5,big
165,1096473615145.6,10.7,small
166,1096473615201.0,22.3,big
167,1096473615268.7,8.0,small
168,1096473615315.7,28.4,big
169,1096473615390.0,9.1,small
170,1096473615444.9,17.8,big
171,1096473615507.6,8.3,small
172,1096473615559.9,10.0,small
173,1096473615615.9,9.0,small
174,1096473615672.0,22.8,big
175,1096473615741.9,9.1,small
176,1096473615787.8,36.3,big
177,1096473615868.6,10.4,small
178,1096473615934.1,9.6,small
179,1096473615990.2,7.1,small
180,1096473616044.0,16.7,big
181,1096473616107.8,8.7,small
182,1096473616169.5,7.7,small
183,1096473616222.9,7.7,small
184,1096473616271.2,26.4,big
185,1096473616343.4,9.5,small
186,1096473616388.0,43.7,big
187,1096473616477.5,9.7,small
188,1096473616522.4,38.8,big
189,1096473616604.3,11.4,small
190,1096473616648.5,37.0,big
191,1096473616729.0,11.6,small
192,1096473616788.9,14.6,small
193,1096473616849.8,8.6,small
194,1096473616901.7,25.5,big
195,1096473616972.3,9.3,small
196,1096473617015.2,20.5,big
197,1096473617079.6,11.2,small
198,1096473617127.2,27.8,big
199,1096473617202.4,8.5,small
200,1096473617246.8,32.1,big
201,1096473617323.3,9.8,small
202,1096473617370.6,22.6,big
203,1096473617438.0,9.9,small
204,1096473617479.8,31.7,big
205,1096473617555.6,10.3,small
206,1096473617608.0,19.2,big
207,1096473617673.8,7.8,small
208,1096473617727.6,21.7,big
209,1096473617795.2,8.4,small
210,1096473617854.2,9.0,small
211,1096473617909.4,8.7,small
212,1096473617954.3,19.1,big
213,1096473618017.3,10.8,small
214,1096473618069.1,20.8,big
215,1096473618135.3,8.2,small
216,1096473618204.1,7.6,small
217,1096473618258.9,7.4,small
218,1096473618324.9,8.2,small
219,1096473618378.0,6.8,small
220,1096473618443.0,7.6,small
221,1096473618497.2,6.6,small
222,1096473618550.9,20.8,big
223,1096473618618.3,8.8,small
224,1096473618669.7,20.4,big
225,1096473618735.8,8.9,small
226,1096473618790.4,16.5,big
227,1096473618853.0,7.8,small
228,1096473618903.9,23.0,big
229,1096473618973.1,7.9,small
230,1096473619022.8,23.2,big
231,1096473619090.1,10.1,small
232,1096473619147.4,11.0,small
233,1096473619204.8,7.4,small
234,1096473619255.5,17.2,big
235,1096473619318.9,8.2,small
236,1096473619369.6,30.2,big
237,1096473619445.7,9.2,small
238,1096473619497.8,17.1,big
239,1096473619560.4,7.8,small
240,1096473619623.1,8.7,small
241,1096473619677.6,8.6,small
242,1096473620004.7,8.9,small
243,1096473620039.3,10.4,small
244,1096473620094.6,8.0,small
245,1096473620127.1,10.2,small
246,1096473620182.1,9.1,small
247,1096473620215.8,10.8,small
248,1096473620272.4,16.2,big
249,1096473620329.3,40.2,big
250,1096473620418.7,6.8,small
251,1096473620464.3,33.8,big
252,1096473620543.8,9.2,small
253,1096473620608.8,9.6,small
254,1096473620664.9,9.2,small
255,1096473620727.0,7.9,small
256,1096473620781.0,8.3,small
257,1096473620842.7,12.2,small
258,1096473620901.3,8.1,small
259,1096473620955.0,20.8,big
260,1096473621022.1,8.7,small
261,1096473621072.7,31.6,big
262,1096473621148.2,10.9,small
263,1096473621201.9,20.3,big
264,1096473621267.4,9.2,small
265,1096473621316.1,28.2,big
266,1096473621388.4,10.6,small
267,1096473621442.0,22.6,big
268,1096473621511.3,7.6,small
269,1096473621569.8,12.0,small
270,1096473621627.6,8.1,small
271,1096473621689.0,11.7,small
272,1096473621747.6,7.8,small
273,1096473621795.5,21.2,big
274,1096473621861.8,9.4,small
275,1096473621910.8,14.9,small
276,1096473621971.2,8.6,small
277,1096473622035.1,10.1,small
278,1096473622091.5,6.6,small
279,1096473622137.9,27.3,big
280,1096473622210.5,9.6,small
281,1096473622264.7,17.3,big
282,1096473622327.1,8.6,small
283,1096473622382.0,22.1,big
284,1096473622450.7,8.4,small
285,1096473622496.5,27.7,big
286,1096473622566.8,12.1,small
287,1096473622624.2,20.7,big
288,1096473622690.4,8.5,small
289,1096473622738.8,24.4,big
290,1096473622809.9,8.4,small
291,1096473622864.8,36.7,big
