B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,27,26.7,25.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):25.1μs",input_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 8>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",13.98,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",5.70,(input_layernorm cont.)
"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv",fused_a_gemm_kernel<...>,stream 27 27_overlap,29.6,26.7,EP_AR+residual+RMSNorm(fused)(cross):25.1μs | q/k_norm_RMSNorm(cross):1.6μs,,,,B200 only
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,27,3.6,3.1,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):1.6μs | q/k_norm_RMSNorm(cross):1.5μs",gemm_a16w16,aiter::bf16gemm_fp32bf16_tn_32x64_splitk_clean,14.51,
q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,470,2.3,1.5,q/k_norm_RMSNorm(cross):1.5μs,hipLaunchKernel,"void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 256, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)",5.65,
,,,,,,,"void aiter::add_rmsnorm_quant_kernel<std::bfloat16_t, std::bfloat16_t, 64, 8, false, false, true, 1>(std::bfloat16_t*, std::bfloat16_t*, float*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, double, int, int, int, int, int, int, int, bool)",5.64,(hipLaunchKernel cont.)
q_b_proj_GEMM,nvjet_tst_24x64_64x16_4x1_v_bz_TNN,27,6.6,2.0,uk_gemm(K_expansion)(cross):2.0μs,q_proj_and_k_up_proj,aiter::bf16gemm_fp32bf16_tn_64x64_splitk_clean,9.26,
,,,,,,,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_16_BLOCK_SIZE_N_128_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_0_cache_modifier_CG,5.82,(q_proj_and_k_up_proj cont.)
uk_gemm(K_expansion),nvjet_tst_64x8_64x16_4x1_v_bz_TNT,stream 27 27_overlap,4.2,2.0,q_b_proj_GEMM(cross):2.0μs,rope_and_kv_cache,"void aiter::fuse_qk_rope_concat_and_cache_mla_per_head_kernel<std::bfloat16_t, _BitInt(8), _BitInt(8), (vllm::Fp8KVCacheDataType)1, (vllm::Fp8KVCacheDataType)1, 8>(std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, std::bfloat16_t const*, _BitInt(8)*, _BitInt(8)*, long const*, long const*, std::bfloat16_t const*, std::bfloat16_t const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, float const*, float const*, bool, bool)",5.70,
RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,27,2.4,0.0,,mla_decode,aiter::mla_a8w8_qh16_qseqlen1_gqaratio16_ps,8.86,
,,,,,,,"void kn_mla_reduce_v1_ps<MlaReduceKernelV1Traits<512, 16, 1>, float, std::bfloat16_t>(MlaReduceKernelV1Params)",8.45,(mla_decode cont.)
set_mla_kv,set_mla_kv_buffer_kernel,27,1.6,0.0,,,,,B200 only
Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ16K,stream 27 27_overlap,13.3,0.4,q_b_proj_GEMM(cross):0.4μs,v_up_proj_and_o_proj,_batched_gemm_a8w8_a_per_token_group_prequant_w_per_batched_tensor_quant_kernel_HAS_BIAS_0_BLOCK_SIZE_M_16_BLOCK_SIZE_N_32_BLOCK_SIZE_K_128_GROUP_SIZE_M_1_EVEN_K_1_EVEN_MN_0_cache_modifier_CG,7.04,
,,,,,,,aiter::bf16gemm_fp32bf16_tn_32x64_splitk_clean,11.78,(v_up_proj_and_o_proj cont.)
q_b_proj_GEMM,nvjet_tst_16x64_64x16_4x1_v_bz_TNN,27,3.9,0.4,Attention(FMHA)(cross):0.4μs,triton_poi_fused_as_strided_clone_copy__0,triton_poi_fused_as_strided_clone_copy__0,5.91,
o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,1.9,0.0,,,,,B200 only
o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,27,6.6,0.1,EP_AR+residual+RMSNorm(fused)(cross):0.2μs,post_attn_layernorm,"void aiter::reduce_scatter_cross_device_store<std::bfloat16_t, 8>(aiter::RankData*, aiter::RankSignals, aiter::Signal*, int, int)",10.20,
,,,,,,,"void aiter::local_device_load_rmsnorm<std::bfloat16_t, 512, 2>(aiter::RankSignals, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, std::bfloat16_t*, float, int, int, int)",5.73,(post_attn_layernorm cont.)
EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,stream 27 27_overlap,8.8,7.4,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):7.2μs | o_proj_GEMM(cross):0.2μs",triton_poi_fused_as_strided_clone_1,triton_poi_fused_as_strided_clone_1,5.64,
"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8,",router_gemm_kernel_float_output<...>,470,10.4,10.2,EP_AR+residual+RMSNorm(fused)(cross):7.2μs | o_proj_quant(BF16→FP4)(cross):2.5μs | o_proj_GEMM(cross):0.4μs,gemm_a16w16,aiter::bf16gemm_fp32bf16_tn_48x64_splitk_clean,8.79,
o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,2.5,2.7,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):2.5μs | o_proj_GEMM(cross):0.3μs",,,,B200 only
o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloa,stream 27 27_overlap,9.3,12.1,"MoE_input_quant(BF16→FP4)(cross):4.5μs | TopK_select(cross):4.0μs | expert_sort(cross):2.9μs | other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):0.4μs | o_proj_quant(BF16→FP4)(cross):0.3μs",rocm_aiter_biased_grouped_topk_impl,"void aiter::grouped_topk_opt_sort_kernel<c10::BFloat16, float __vector(4), 8, true, true, false>(c10::BFloat16*, c10::BFloat16 const*, float*, int*, unsigned long, int, int, int, int, float)",5.77,
MoE_input_quant(BF16→FP4),tensorrt_llm::kernels::quantize_with_block_size<...>,470,4.5,5.0,o_proj_GEMM(cross):4.5μs | TopK_select(cross):0.4μs,,,,B200 only
