#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_module,MI355X_kernel,MI355X_avg_us,Notes
1,EP_AR,EP_AR+residual+RMSNorm(fused),allreduce_fusion_kernel_oneshot_lamport,27,26.7,25.1,other:fused_a_gemm_kernel(cross):25.1μs,input_layernorm,reduce_scatter_cross_device_store,13.98,B200 fuses AR+residual+RMSNorm; MI355X splits into reduce_scatter + load_rmsnorm
,,,,,,,,(input_layernorm),local_device_load_rmsnorm,5.70,MI355X cont.: RMSNorm after device load
2,Other,other:fused_a_gemm_kernel,fused_a_gemm_kernel,27_overlap,29.6,26.7,EP_AR(cross):25.1μs | q/k_norm_RMSNorm(cross):1.6μs,(gemm_a16w16),bf16gemm_splitk_clean,14.51,"B200 shared expert runs parallel with EP_AR; MI355X: dense MLP GEMM (sequential)"
3,Attention,q/k_norm_RMSNorm,RMSNormKernel,27,3.6,3.1,other:fused_a_gemm_kernel(cross):1.6μs | q/k_norm_RMSNorm#2(cross):1.5μs,(hipLaunchKernel),add_rmsnorm_quant (256-wide),5.65,"MI355X: combined add+rmsnorm+quant; B200: pure RMSNorm"
4,Attention,q/k_norm_RMSNorm,RMSNormKernel,470,2.3,1.5,q/k_norm_RMSNorm(cross):1.5μs,(hipLaunchKernel),add_rmsnorm_quant (64-wide),5.64,MI355X: second norm variant
5,Attention,q_b_proj_GEMM,nvjet_tst_24x64_64x16_4x1_v_bz_TNN,27,6.6,2.0,uk_gemm(cross):2.0μs,(q_proj_and_k_up_proj),bf16gemm_splitk_clean,9.26,B200: nvjet FP4; MI355X: BF16 GEMM
6,Attention,uk_gemm(K_expansion),nvjet_tst_64x8_64x16_4x1_v_bz_TNT,27_overlap,4.2,2.0,q_b_proj_GEMM(cross):2.0μs,(q_proj_and_k_up_proj),batched_gemm_a8w8,5.82,B200: K expansion GEMM; MI355X: INT8 batched GEMM
7,Attention,RoPE+KV_cache_write,RopeQuantizeKernel,27,2.4,0,,(rope_and_kv_cache),fuse_qk_rope_concat_cache,5.70,MI355X fuses rope+concat+cache write
8,Attention,set_mla_kv,set_mla_kv_buffer_kernel,27,1.6,0,,,,,"B200 only: MLA KV buffer management"
9,Attention,Attention(FMHA),fmhaSm100fKernel,27_overlap,13.3,0.4,q_b_proj_GEMM#2(cross):0.4μs,(mla_decode),mla_a8w8_qh16,8.86,"B200: Hopper FMHA; MI355X: MXFP4 MLA decode"
,,,,,,,,(mla_decode),mla_reduce_v1,8.45,MI355X only: MLA output reduction
