index,timestamp_us,duration_us,type
0,1073480276133.1,98.6,big
1,1073480276637.2,102.6,big
2,1073480277469.8,99.0,big
3,1073480277851.5,101.6,big
4,1073480278593.6,96.2,big
5,1073480278963.6,103.4,big
6,1073480279638.4,98.6,big
7,1073480280644.2,100.5,big
8,1073480281509.2,99.8,big
9,1073480282324.6,102.4,big
10,1073480282952.8,97.8,big
11,1073480283725.6,95.2,big
12,1073480284276.1,96.4,big
13,1073480285034.2,100.1,big
14,1073480285627.6,98.9,big
15,1073480286376.9,101.2,big
16,1073480286939.7,99.8,big
17,1073480287704.3,97.0,big
18,1073480288261.4,98.7,big
19,1073480289061.9,97.5,big
20,1073480289617.7,97.7,big
21,1073480290370.6,101.7,big
22,1073480290945.2,97.4,big
23,1073480291709.2,103.6,big
24,1073480292296.8,99.2,big
25,1073480293050.7,99.8,big
26,1073480293608.5,98.0,big
27,1073480294356.3,100.2,big
28,1073480294927.9,95.5,big
29,1073480295701.1,101.3,big
30,1073480296260.0,94.9,big
31,1073480297009.1,98.0,big
32,1073480297559.5,99.6,big
33,1073480298272.5,102.5,big
34,1073480298868.3,95.8,big
35,1073480299593.3,99.3,big
36,1073480300143.7,99.0,big
37,1073480300860.1,101.6,big
38,1073480301428.9,100.0,big
39,1073480302197.8,99.2,big
40,1073480302716.5,99.3,big
41,1073480303433.8,101.3,big
42,1073480303992.1,98.9,big
43,1073480304691.1,101.4,big
44,1073480305288.8,99.2,big
45,1073480306006.1,102.2,big
46,1073480306592.6,100.0,big
47,1073480307298.5,103.9,big
48,1073480307885.7,99.6,big
49,1073480308615.6,99.7,big
50,1073480309157.9,96.3,big
51,1073480309878.9,101.3,big
52,1073480310441.4,98.6,big
53,1073480311151.1,101.7,big
54,1073480311721.1,99.7,big
55,1073480312444.3,101.2,big
56,1073480313001.9,97.2,big
57,1073480313712.6,90.7,big
58,1073480314294.9,97.5,big
59,1073480315134.5,100.1,big
60,1073480315681.5,98.0,big
61,1073480316376.8,101.8,big
62,1073480316949.8,97.2,big
63,1073480317678.5,101.4,big
64,1073480318233.2,99.9,big
65,1073480318957.4,100.3,big
66,1073480319515.7,97.7,big
67,1073480320226.1,99.1,big
68,1073480320847.7,98.1,big
69,1073480321554.2,101.7,big
70,1073480322101.1,99.7,big
71,1073480322840.9,95.3,big
72,1073480323369.4,101.3,big
73,1073480324116.8,99.8,big
74,1073480324666.4,96.8,big
75,1073480325377.2,101.0,big
76,1073480325933.8,96.6,big
77,1073480326633.7,102.8,big
78,1073480327220.3,99.5,big
79,1073480327947.9,98.3,big
80,1073480328489.7,100.5,big
81,1073480329215.6,99.3,big
82,1073480329773.3,100.0,big
83,1073480330500.9,102.2,big
84,1073480331056.0,97.9,big
85,1073480331763.4,104.7,big
86,1073480332310.4,140.3,big
87,1073480333028.3,179.9,big
88,1073480333639.1,145.9,big
89,1073480334375.0,135.6,big
90,1073480334920.0,167.0,big
91,1073480335624.0,197.3,big
92,1073480336202.3,209.3,big
93,1073480336925.7,212.7,big
94,1073480337469.6,247.5,big
95,1073480338175.3,234.1,big
96,1073480338712.2,283.5,big
97,1073480339445.0,329.9,big
98,1073480339997.4,314.3,big
99,1073480340751.7,299.5,big
100,1073480341241.4,375.9,big
101,1073480341976.2,411.1,big
102,1073480342555.5,397.8,big
103,1073480343255.6,401.4,big
104,1073480343817.5,409.0,big
105,1073480344499.8,452.8,big
106,1073480345085.5,425.6,big
107,1073480345826.0,479.9,big
108,1073480346439.1,410.5,big
109,1073480347074.9,488.3,big
110,1073480347696.8,440.4,big
111,1073480348454.8,531.0,big
112,1073480349119.7,493.6,big
113,1073480349844.5,480.3,big
114,1073480350458.1,455.5,big
115,1073480351135.5,498.4,big
116,1073480351767.5,441.3,big
117,1073480352414.6,545.0,big
118,1073480353092.9,470.8,big
119,1073480353797.4,483.8,big
120,1073480354414.2,465.7,big
121,1073480446564.9,8.8,small
122,1073480446601.1,9.4,small
123,1073480446654.1,7.8,small
124,1073480446687.4,9.3,small
125,1073480446741.4,8.7,small
126,1073480446776.4,8.7,small
127,1073480446829.2,9.0,small
128,1073480446885.6,19.4,big
