#,B200_Module,B200_Operator,B200_Raw_Kernel,B200_Stream,B200_Avg_us,B200_Overlap_us,B200_Overlap_With,MI355X_Module,MI355X_Kernel,MI355X_Avg_us,Notes
1,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,27,17.4,15.7,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):15.7μs",,,,
2,Other,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv",fused_a_gemm_kernel<...>,stream 27 27_overlap,20.2,17.1,EP_AR+residual+RMSNorm(fused)(cross):15.7μs | q/k_norm_RMSNorm(cross):1.4μs,,,,
3,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,27,3.4,2.8,"other:void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv(cross):1.4μs | q/k_norm_RMSNorm(cross):1.4μs",,,,
4,Attention,q/k_norm_RMSNorm,flashinfer::norm::RMSNormKernel<...>,470,2.4,1.3,q/k_norm_RMSNorm(cross):1.4μs,,,,
5,Attention,q_b_proj_GEMM,nvjet_tst_24x64_64x16_4x1_v_bz_TNN,27,6.4,2.0,uk_gemm(K_expansion)(cross):2.0μs,,,,
6,Attention,uk_gemm(K_expansion),nvjet_tst_64x8_64x16_4x1_v_bz_TNT,stream 27 27_overlap,4.1,2.0,q_b_proj_GEMM(cross):2.0μs,,,,
7,Attention,RoPE+KV_cache_write,flashinfer::RopeQuantizeKernel<...>,27,2.4,0,,,,,
8,Attention,set_mla_kv,set_mla_kv_buffer_kernel,27,1.5,0,,,,,
9,Attention,Attention(FMHA),fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ16K,27,13.9,0.3,q_b_proj_GEMM(cross):0.3μs,,,,
10,Attention,q_b_proj_GEMM,nvjet_tst_16x64_64x16_4x1_v_bz_TNN,stream 27 27_overlap,3.8,0.3,Attention(FMHA)(cross):0.3μs,,,,
11,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,1.9,0,,,,,
12,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,27,6.9,0.1,EP_AR+residual+RMSNorm(fused)(cross):0.2μs,,,,
13,EP_AR,EP_AR+residual+RMSNorm(fused),flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<...,stream 27 27_overlap,8.5,7.0,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):6.9μs | o_proj_GEMM(cross):0.2μs",,,,
14,Other,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, ",router_gemm_kernel_float_output<...>,470,9.9,9.5,EP_AR+residual+RMSNorm(fused)(cross):6.9μs | o_proj_quant(BF16→FP4)(cross):2.5μs | o_proj_GEMM(cross):0.3μs,,,,
15,Proj,o_proj_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,2.6,2.7,"other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):2.5μs | o_proj_GEMM(cross):0.3μs",,,,
16,Proj,o_proj_GEMM,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloa,stream 27 27_overlap,9.2,12.1,"MoE_input_quant(BF16→FP4)(cross):4.9μs | TopK_select(cross):4.1μs | expert_sort(cross):2.7μs | other:void router_gemm_kernel_float_output<__nv_bfloat16, 128, 8, (cross):0.3μs | o_proj_quant(BF16→FP4)(cross):0.3μs",,,,
17,MoE_Route,MoE_input_quant(BF16→FP4),tensorrt_llm::kernels::quantize_with_block_size<...>,stream 470 470_overlap,4.9,5.6,o_proj_GEMM(cross):4.9μs | TopK_select(cross):0.6μs,,,,
18,MoE_Route,TopK_select,moe::dev::routing::routingDeepSeek::routingMainKernel<...>,470,4.2,7.1,o_proj_GEMM(cross):4.1μs | expert_sort(cross):2.3μs | MoE_input_quant(BF16→FP4)(cross):0.6μs,,,,
19,MoE_Route,expert_sort,moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<...>,stream 470 470_overlap,4.8,6.6,o_proj_GEMM(cross):2.7μs | TopK_select(cross):2.3μs | SiLU×Mul(cross):1.5μs,,,,
20,Shared_Exp,SiLU×Mul,flashinfer::activation::act_and_mul_kernel<...>,27,2.1,2.1,expert_sort(cross):1.5μs | gate_up_GEMM(+SwiGLU)(cross):0.8μs,,,,
21,MoE_Expert,gate_up_GEMM(+SwiGLU),bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_cga1x1x1_1,470,16.3,2.0,shared_quant(BF16→FP4)(cross):1.3μs | SiLU×Mul(cross):0.8μs,,,,
22,Shared_Exp,shared_quant(BF16→FP4),cvt_fp16_to_fp4<...>,27,2.3,2.1,gate_up_GEMM(+SwiGLU)(cross):1.3μs | down_GEMM(cross):0.9μs,,,,
23,MoE_Expert,down_GEMM,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256u2_s6_et128x8_m128x8x64_cga1x1x1_,stream 470 470_overlap,11.4,2.2,shared_GEMM(FP4)(cross):0.9μs | shared_quant(BF16→FP4)(cross):0.9μs | other:void moe::dev::finalize::finalizeKernel<moe::dev::finalize::(cross):0.3μs,,,,
