timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 18:41:39.218, 0, 145.37 W, 40, 180 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.222, 1, 144.54 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.226, 2, 145.41 W, 35, 322 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.229, 3, 149.84 W, 41, 210 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.233, 4, 142.93 W, 36, 262 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.237, 5, 146.81 W, 41, 172 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.240, 6, 141.93 W, 35, 195 MHz, 0 %, 0 MiB
2026/03/21 18:41:39.244, 7, 142.88 W, 41, 142 MHz, 0 %, 0 MiB
2026/03/21 18:41:41.248, 0, 146.84 W, 40, 810 MHz, 0 %, 4 MiB
2026/03/21 18:41:41.301, 1, 145.26 W, 35, 795 MHz, 0 %, 4 MiB
2026/03/21 18:41:41.301, 2, 144.32 W, 35, 127 MHz, 0 %, 1 MiB
2026/03/21 18:41:41.302, 3, 148.96 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:41.302, 4, 142.39 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:41.302, 5, 146.98 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:41.306, 6, 141.61 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:41.306, 7, 143.04 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:43.310, 0, 147.22 W, 40, 135 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.313, 1, 147.38 W, 35, 150 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.324, 2, 149.95 W, 35, 187 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.336, 3, 152.04 W, 41, 652 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.337, 4, 147.48 W, 35, 840 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.338, 5, 148.21 W, 40, 607 MHz, 0 %, 4 MiB
2026/03/21 18:41:43.339, 6, 141.55 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:43.341, 7, 142.68 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/21 18:41:45.404, 0, 144.66 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.405, 1, 144.33 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.405, 2, 143.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.405, 3, 148.51 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.406, 4, 142.33 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.406, 5, 148.20 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.407, 6, 145.97 W, 34, 795 MHz, 0 %, 4 MiB
2026/03/21 18:41:45.407, 7, 148.83 W, 41, 915 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.407, 0, 144.65 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.408, 1, 144.19 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.408, 2, 143.62 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.409, 3, 148.33 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.409, 4, 142.22 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.410, 5, 146.59 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.410, 6, 141.19 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:47.410, 7, 143.07 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:49.411, 0, 144.24 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:49.411, 1, 144.20 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:49.412, 2, 143.70 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:49.412, 3, 148.15 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:41:49.413, 4, 142.01 W, 34, 120 MHz, 0 %, 4 MiB
