timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 19:58:28.852, 0, 150.25 W, 46, 172 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.856, 1, 147.60 W, 39, 120 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.860, 2, 147.01 W, 38, 165 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.863, 3, 157.75 W, 49, 345 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.867, 4, 145.71 W, 39, 150 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.871, 5, 152.52 W, 47, 195 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.875, 6, 145.10 W, 38, 255 MHz, 0 %, 0 MiB
2026/03/21 19:58:28.878, 7, 149.03 W, 49, 195 MHz, 0 %, 0 MiB
2026/03/21 19:58:30.882, 0, 151.57 W, 46, 855 MHz, 0 %, 4 MiB
2026/03/21 19:58:30.883, 1, 149.17 W, 39, 952 MHz, 0 %, 4 MiB
2026/03/21 19:58:30.885, 2, 146.21 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:30.885, 3, 154.76 W, 48, 135 MHz, 0 %, 1 MiB
2026/03/21 19:58:30.887, 4, 145.20 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:30.888, 5, 151.33 W, 46, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:30.888, 6, 143.82 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:30.889, 7, 148.09 W, 48, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:32.889, 0, 151.61 W, 45, 135 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.897, 1, 151.19 W, 38, 165 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.899, 2, 150.35 W, 38, 157 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.900, 3, 157.08 W, 47, 637 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.912, 4, 148.83 W, 38, 772 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.924, 5, 152.49 W, 46, 585 MHz, 0 %, 4 MiB
2026/03/21 19:58:32.927, 6, 143.25 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:32.928, 7, 147.68 W, 47, 120 MHz, 0 %, 1 MiB
2026/03/21 19:58:34.930, 0, 150.87 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.930, 1, 148.95 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.931, 2, 148.02 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.931, 3, 156.08 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.932, 4, 147.13 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.932, 5, 154.60 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.932, 6, 150.03 W, 37, 787 MHz, 0 %, 4 MiB
2026/03/21 19:58:34.933, 7, 154.48 W, 47, 885 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.933, 0, 148.25 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.934, 1, 146.39 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.934, 2, 145.51 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.935, 3, 153.51 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.935, 4, 144.25 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.935, 5, 150.37 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.936, 6, 142.80 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:36.936, 7, 146.91 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.937, 0, 148.19 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.938, 1, 146.13 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.940, 2, 145.07 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.941, 3, 153.23 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.943, 4, 144.08 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.945, 5, 150.07 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.947, 6, 142.59 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:38.948, 7, 146.46 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.950, 0, 147.87 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.951, 1, 145.96 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.951, 2, 144.90 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.951, 3, 152.72 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.952, 4, 143.75 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.952, 5, 149.67 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.952, 6, 142.44 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:40.953, 7, 146.15 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:42.953, 0, 200.87 W, 44, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:42.976, 1, 145.70 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:42.977, 2, 144.71 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:42.996, 3, 152.51 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:43.009, 4, 143.58 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:43.028, 5, 149.58 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:43.041, 6, 142.13 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:43.041, 7, 145.77 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.056, 0, 200.44 W, 44, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:45.057, 1, 145.47 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.057, 2, 144.61 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.058, 3, 152.04 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.058, 4, 143.36 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.058, 5, 149.18 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.059, 6, 142.20 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:45.059, 7, 145.42 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.059, 0, 200.03 W, 44, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:47.060, 1, 145.29 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.061, 2, 144.52 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.061, 3, 151.75 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.062, 4, 143.27 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.062, 5, 148.85 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.062, 6, 141.99 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:47.063, 7, 145.41 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.063, 0, 200.32 W, 43, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:49.064, 1, 145.53 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.064, 2, 144.15 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.065, 3, 151.49 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.065, 4, 143.37 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.065, 5, 150.94 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.066, 6, 142.05 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:49.066, 7, 146.41 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.067, 0, 199.84 W, 43, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:51.075, 1, 145.35 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.076, 2, 144.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.077, 3, 151.13 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.078, 4, 143.15 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.080, 5, 148.39 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.081, 6, 141.91 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:51.083, 7, 144.66 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.084, 0, 199.46 W, 43, 1965 MHz, 0 %, 700 MiB
2026/03/21 19:58:53.085, 1, 144.94 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.085, 2, 144.50 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.086, 3, 150.77 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.086, 4, 142.85 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.087, 5, 148.26 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.087, 6, 141.76 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:53.087, 7, 144.64 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 19:58:55.088, 0, 199.21 W, 43, 1965 MHz, 0 %, 724 MiB
2026/03/21 19:58:55.092, 1, 174.28 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.114, 2, 178.29 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.121, 3, 186.92 W, 44, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.127, 4, 176.78 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.134, 5, 180.41 W, 43, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.142, 6, 173.71 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:55.148, 7, 181.04 W, 44, 1965 MHz, 0 %, 28 MiB
2026/03/21 19:58:57.156, 0, 198.96 W, 42, 1965 MHz, 0 %, 43532 MiB
2026/03/21 19:58:57.156, 1, 196.61 W, 36, 1965 MHz, 0 %, 42836 MiB
2026/03/21 19:58:57.157, 2, 193.72 W, 36, 1965 MHz, 0 %, 42836 MiB
2026/03/21 19:58:57.157, 3, 206.97 W, 44, 1965 MHz, 0 %, 86538 MiB
