timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 21:17:15.447, 0, 144.71 W, 39, 172 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.451, 1, 145.22 W, 35, 157 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.454, 2, 144.61 W, 35, 157 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.458, 3, 151.02 W, 40, 345 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.462, 4, 143.52 W, 36, 270 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.465, 5, 147.70 W, 40, 270 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.469, 6, 142.42 W, 35, 210 MHz, 0 %, 0 MiB
2026/03/21 21:17:15.473, 7, 142.36 W, 40, 120 MHz, 0 %, 0 MiB
2026/03/21 21:17:17.476, 0, 146.20 W, 39, 772 MHz, 0 %, 4 MiB
2026/03/21 21:17:17.510, 1, 145.51 W, 35, 577 MHz, 0 %, 4 MiB
2026/03/21 21:17:17.510, 2, 144.37 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:17.511, 3, 148.85 W, 40, 135 MHz, 0 %, 1 MiB
2026/03/21 21:17:17.511, 4, 142.89 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:17.511, 5, 146.94 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:17.512, 6, 141.78 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:17.512, 7, 142.70 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:19.513, 0, 146.33 W, 38, 135 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.524, 1, 146.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.536, 2, 149.65 W, 34, 180 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.538, 3, 151.41 W, 39, 652 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.539, 4, 148.20 W, 35, 900 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.551, 5, 147.52 W, 39, 675 MHz, 0 %, 4 MiB
2026/03/21 21:17:19.562, 6, 141.35 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:19.563, 7, 142.60 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 21:17:21.566, 0, 143.95 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.567, 1, 144.34 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.567, 2, 143.94 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.568, 3, 147.98 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.568, 4, 142.51 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.569, 5, 147.82 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.569, 6, 144.20 W, 34, 622 MHz, 0 %, 4 MiB
2026/03/21 21:17:21.569, 7, 146.93 W, 39, 817 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.570, 0, 143.86 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.570, 1, 144.16 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.571, 2, 143.68 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.571, 3, 147.67 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.571, 4, 142.12 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.572, 5, 146.10 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.572, 6, 141.12 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:23.572, 7, 142.42 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:25.573, 0, 143.77 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:25.574, 1, 144.05 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:25.574, 2, 143.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:25.575, 3, 147.65 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 21:17:25.575, 4, 141.98 W, 34, 120 MHz, 0 %, 4 MiB
