timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 22:02:22.153, 0, 147.23 W, 43, 120 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.158, 1, 147.42 W, 38, 262 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.162, 2, 145.60 W, 37, 172 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.169, 3, 152.34 W, 44, 195 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.173, 4, 144.94 W, 38, 217 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.176, 5, 152.64 W, 44, 442 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.180, 6, 143.02 W, 37, 142 MHz, 0 %, 0 MiB
2026/03/21 22:02:22.186, 7, 145.95 W, 44, 210 MHz, 0 %, 0 MiB
2026/03/21 22:02:24.190, 0, 147.78 W, 42, 652 MHz, 0 %, 4 MiB
2026/03/21 22:02:24.213, 1, 147.18 W, 37, 907 MHz, 0 %, 4 MiB
2026/03/21 22:02:24.214, 2, 145.35 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:24.214, 3, 151.60 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:24.215, 4, 144.06 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:24.215, 5, 149.64 W, 43, 180 MHz, 0 %, 1 MiB
2026/03/21 22:02:24.219, 6, 142.64 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:24.221, 7, 145.15 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:26.222, 0, 148.30 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.240, 1, 149.61 W, 37, 157 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.268, 2, 149.05 W, 36, 150 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.268, 3, 157.68 W, 43, 922 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.270, 4, 146.60 W, 37, 622 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.349, 5, 151.13 W, 43, 802 MHz, 0 %, 4 MiB
2026/03/21 22:02:26.352, 6, 142.28 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:26.354, 7, 144.66 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/21 22:02:28.356, 0, 146.24 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.358, 1, 145.61 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.360, 2, 144.71 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.361, 3, 150.66 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.363, 4, 143.55 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.364, 5, 150.32 W, 42, 127 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.366, 6, 148.67 W, 36, 915 MHz, 0 %, 4 MiB
2026/03/21 22:02:28.367, 7, 149.58 W, 43, 885 MHz, 0 %, 4 MiB
2026/03/21 22:02:30.367, 0, 145.95 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:02:30.368, 1, 145.38 W, 36, 120 MHz, 0 %, 4 MiB
