timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 01:51:13.380, 0, 146.34 W, 42, 120 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.383, 1, 146.74 W, 37, 270 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.387, 2, 147.24 W, 37, 360 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.391, 3, 150.96 W, 43, 172 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.394, 4, 143.97 W, 37, 165 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.398, 5, 149.14 W, 43, 270 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.402, 6, 142.95 W, 36, 225 MHz, 0 %, 0 MiB
2026/03/22 01:51:13.405, 7, 144.61 W, 43, 157 MHz, 0 %, 0 MiB
2026/03/22 01:51:15.409, 0, 146.93 W, 41, 607 MHz, 0 %, 4 MiB
2026/03/22 01:51:15.430, 1, 146.80 W, 37, 847 MHz, 0 %, 4 MiB
2026/03/22 01:51:15.430, 2, 145.23 W, 36, 127 MHz, 0 %, 1 MiB
2026/03/22 01:51:15.430, 3, 150.47 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:15.431, 4, 143.77 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:15.431, 5, 148.60 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:15.432, 6, 142.47 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:15.434, 7, 144.58 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:17.435, 0, 147.45 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.470, 1, 148.62 W, 36, 142 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.482, 2, 148.87 W, 36, 150 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.484, 3, 155.65 W, 42, 847 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.485, 4, 146.16 W, 36, 622 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.497, 5, 149.11 W, 41, 600 MHz, 0 %, 4 MiB
2026/03/22 01:51:17.509, 6, 142.22 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:17.510, 7, 143.92 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/22 01:51:19.513, 0, 147.91 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.514, 1, 147.26 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.514, 2, 147.37 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.515, 3, 152.00 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.515, 4, 145.41 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.515, 5, 151.57 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.516, 6, 147.46 W, 35, 660 MHz, 0 %, 4 MiB
2026/03/22 01:51:19.516, 7, 149.55 W, 42, 757 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.517, 0, 145.46 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.517, 1, 144.78 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.518, 2, 144.42 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.518, 3, 149.33 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.519, 4, 142.65 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.519, 5, 147.21 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.519, 6, 141.81 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:21.520, 7, 143.55 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.520, 0, 145.20 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.521, 1, 145.12 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.523, 2, 144.41 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.525, 3, 149.42 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.526, 4, 142.57 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.528, 5, 147.05 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.530, 6, 141.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:23.531, 7, 143.22 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.533, 0, 144.93 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.533, 1, 144.80 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.534, 2, 144.22 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.534, 3, 149.22 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.534, 4, 142.39 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.535, 5, 147.27 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.535, 6, 141.62 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:25.535, 7, 143.15 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.536, 0, 196.65 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:27.549, 1, 144.54 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.550, 2, 144.21 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.565, 3, 149.07 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.577, 4, 142.63 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.578, 5, 147.12 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.591, 6, 141.53 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:27.616, 7, 142.86 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.630, 0, 196.37 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:29.631, 1, 144.52 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.631, 2, 144.20 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.632, 3, 148.72 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.632, 4, 142.44 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.633, 5, 146.93 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.633, 6, 141.43 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:29.633, 7, 142.70 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.634, 0, 196.16 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:31.634, 1, 144.38 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.636, 2, 143.86 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.637, 3, 148.63 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.638, 4, 142.29 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.638, 5, 146.76 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.638, 6, 141.39 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:31.639, 7, 142.51 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.639, 0, 196.34 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:33.640, 1, 144.39 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.641, 2, 143.71 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.641, 3, 148.27 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.641, 4, 142.16 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.642, 5, 146.57 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.642, 6, 141.36 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:33.643, 7, 142.41 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.643, 0, 196.23 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:35.644, 1, 144.16 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.644, 2, 143.62 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.645, 3, 148.15 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.645, 4, 142.12 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.645, 5, 146.60 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.646, 6, 141.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:35.646, 7, 142.26 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.647, 0, 196.23 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:51:37.647, 1, 143.90 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.648, 2, 143.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.648, 3, 148.01 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.649, 4, 142.11 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.649, 5, 146.31 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.649, 6, 141.11 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:37.650, 7, 142.53 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:51:39.650, 0, 195.89 W, 40, 1965 MHz, 0 %, 723 MiB
2026/03/22 01:51:39.658, 1, 158.84 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.668, 2, 157.62 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.677, 3, 165.54 W, 40, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.685, 4, 157.90 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.691, 5, 165.17 W, 39, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.696, 6, 160.33 W, 34, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:39.701, 7, 161.04 W, 40, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:51:41.708, 0, 195.98 W, 39, 1965 MHz, 0 %, 26704 MiB
2026/03/22 01:51:41.709, 1, 194.91 W, 35, 1965 MHz, 1 %, 26008 MiB
2026/03/22 01:51:41.709, 2, 192.52 W, 35, 1965 MHz, 1 %, 26008 MiB
2026/03/22 01:51:41.710, 3, 202.97 W, 40, 1965 MHz, 0 %, 26008 MiB
