timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 05:22:59.831, 0, 147.14 W, 43, 172 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.835, 1, 146.43 W, 38, 165 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.839, 2, 145.35 W, 37, 157 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.842, 3, 151.14 W, 44, 150 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.846, 4, 144.72 W, 38, 300 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.850, 5, 148.53 W, 43, 135 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.854, 6, 142.37 W, 37, 157 MHz, 0 %, 0 MiB
2026/03/22 05:22:59.857, 7, 146.69 W, 44, 322 MHz, 0 %, 0 MiB
2026/03/22 05:23:01.861, 0, 147.84 W, 42, 742 MHz, 0 %, 4 MiB
2026/03/22 05:23:01.892, 1, 146.25 W, 37, 652 MHz, 0 %, 4 MiB
2026/03/22 05:23:01.892, 2, 144.77 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:01.893, 3, 150.92 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:01.893, 4, 143.71 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:01.893, 5, 148.53 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:01.894, 6, 142.36 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:01.894, 7, 144.93 W, 44, 127 MHz, 0 %, 1 MiB
2026/03/22 05:23:03.896, 0, 148.19 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/22 05:23:03.904, 1, 147.68 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/22 05:23:03.987, 2, 150.26 W, 36, 180 MHz, 0 %, 4 MiB
2026/03/22 05:23:03.989, 3, 153.32 W, 43, 615 MHz, 0 %, 4 MiB
2026/03/22 05:23:03.991, 4, 147.94 W, 37, 802 MHz, 0 %, 4 MiB
2026/03/22 05:23:04.002, 5, 149.90 W, 42, 772 MHz, 0 %, 4 MiB
2026/03/22 05:23:04.014, 6, 141.98 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:04.015, 7, 144.27 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/22 05:23:06.016, 0, 146.10 W, 41, 120 MHz, 0 %, 4 MiB
