timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 05:08:35.995, 0, 148.07 W, 45, 142 MHz, 0 %, 0 MiB
2026/03/22 05:08:35.998, 1, 147.01 W, 38, 195 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.002, 2, 144.97 W, 37, 142 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.006, 3, 152.13 W, 46, 150 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.009, 4, 146.41 W, 38, 442 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.013, 5, 150.64 W, 45, 240 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.017, 6, 143.95 W, 38, 262 MHz, 0 %, 0 MiB
2026/03/22 05:08:36.020, 7, 146.38 W, 46, 165 MHz, 0 %, 0 MiB
2026/03/22 05:08:38.024, 0, 149.61 W, 44, 817 MHz, 0 %, 4 MiB
2026/03/22 05:08:38.041, 1, 146.28 W, 38, 720 MHz, 0 %, 4 MiB
2026/03/22 05:08:38.132, 2, 144.86 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:38.132, 3, 152.12 W, 45, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:38.133, 4, 144.34 W, 38, 157 MHz, 0 %, 1 MiB
2026/03/22 05:08:38.133, 5, 149.84 W, 45, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:38.133, 6, 142.92 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:38.134, 7, 145.75 W, 46, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:40.137, 0, 149.73 W, 44, 127 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.144, 1, 148.53 W, 37, 135 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.146, 2, 149.93 W, 37, 172 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.147, 3, 155.83 W, 45, 705 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.159, 4, 148.79 W, 37, 840 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.170, 5, 150.83 W, 44, 742 MHz, 0 %, 4 MiB
2026/03/22 05:08:40.171, 6, 142.40 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:40.174, 7, 145.53 W, 45, 120 MHz, 0 %, 1 MiB
2026/03/22 05:08:42.176, 0, 147.30 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.177, 1, 145.51 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.177, 2, 144.47 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.177, 3, 151.30 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.178, 4, 143.75 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.178, 5, 151.57 W, 44, 127 MHz, 0 %, 4 MiB
2026/03/22 05:08:42.179, 6, 146.95 W, 37, 787 MHz, 0 %, 4 MiB
