timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/29 05:37:42.491, 0, 896.02 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:42.507, 1, 918.93 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:42.510, 2, 893.91 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:42.514, 3, 919.11 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:42.517, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:42.521, 5, 180.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:42.526, 6, 180.63 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:42.529, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:44.533, 0, 897.22 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:44.542, 1, 919.20 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:44.542, 2, 893.77 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:44.542, 3, 919.99 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:44.542, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:44.542, 5, 179.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:44.542, 6, 180.76 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:44.542, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:46.542, 0, 899.22 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:46.542, 1, 920.81 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:46.542, 2, 895.17 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:46.542, 3, 924.75 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:46.542, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:46.542, 5, 179.97 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:46.542, 6, 180.75 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:46.542, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:48.542, 0, 898.76 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:48.542, 1, 920.39 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:48.542, 2, 896.11 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:48.542, 3, 926.65 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:48.542, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:48.542, 5, 179.96 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:48.542, 6, 180.83 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:48.542, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:50.542, 0, 899.75 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:50.543, 1, 921.76 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:50.543, 2, 896.08 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:50.543, 3, 927.55 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:50.543, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:50.543, 5, 180.01 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:50.543, 6, 180.91 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:50.543, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:52.543, 0, 899.37 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:52.543, 1, 923.77 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:52.543, 2, 898.88 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:52.543, 3, 926.73 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:52.543, 4, 179.11 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:52.543, 5, 179.96 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:52.543, 6, 180.75 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:52.543, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:54.543, 0, 902.82 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:54.543, 1, 923.63 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:54.544, 2, 897.26 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:54.545, 3, 930.14 W, 65, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:54.547, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:54.547, 5, 179.66 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:54.548, 6, 180.68 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:54.549, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:56.550, 0, 902.15 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:56.550, 1, 923.72 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:56.550, 2, 898.86 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:56.550, 3, 928.39 W, 66, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:56.550, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:56.550, 5, 179.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:56.550, 6, 180.29 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:56.550, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:37:58.550, 0, 903.53 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:37:58.563, 1, 926.21 W, 64, 2032 MHz, 100 %, 254868 MiB
