timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/29 05:47:14.143, 0, 889.46 W, 52, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:14.156, 1, 909.32 W, 63, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:14.159, 2, 883.82 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:14.163, 3, 911.66 W, 64, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:14.166, 4, 179.15 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:14.169, 5, 180.26 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:14.173, 6, 180.79 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:14.176, 7, 181.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:16.180, 0, 884.69 W, 53, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:16.180, 1, 907.59 W, 64, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:16.180, 2, 884.53 W, 52, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:16.180, 3, 907.80 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:16.180, 4, 179.19 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:16.180, 5, 180.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:16.180, 6, 180.94 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:16.180, 7, 181.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:18.180, 0, 886.94 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:18.180, 1, 907.02 W, 63, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:18.180, 2, 882.99 W, 51, 2032 MHz, 99 %, 254868 MiB
2026/04/29 05:47:18.180, 3, 910.08 W, 64, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:18.180, 4, 179.11 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:18.180, 5, 180.13 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:18.180, 6, 180.71 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:18.180, 7, 181.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/29 05:47:20.181, 0, 880.32 W, 52, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:20.181, 1, 899.79 W, 63, 2032 MHz, 100 %, 254868 MiB
2026/04/29 05:47:20.181, 2, 876.78 W, 51, 2032 MHz, 100 %, 254868 MiB
