timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/29 08:40:49.169, 0, 1018.80 W, 58, 2032 MHz, 99 %, 254870 MiB
2026/04/29 08:40:49.184, 1, 1037.35 W, 69, 2032 MHz, 99 %, 254870 MiB
2026/04/29 08:40:49.189, 2, 1009.99 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:49.193, 3, 1043.76 W, 69, 2032 MHz, 99 %, 254870 MiB
2026/04/29 08:40:49.196, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:49.199, 5, 180.24 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:49.203, 6, 180.95 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:49.206, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:51.210, 0, 1007.78 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:51.210, 1, 1024.11 W, 67, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:51.210, 2, 995.22 W, 55, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:51.210, 3, 1032.12 W, 68, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:51.210, 4, 179.16 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:51.210, 5, 180.60 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:51.210, 6, 180.98 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:51.210, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:53.210, 0, 1026.81 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:53.210, 1, 1047.93 W, 68, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:53.210, 2, 1012.83 W, 55, 2032 MHz, 99 %, 254870 MiB
2026/04/29 08:40:53.210, 3, 1045.85 W, 69, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:53.210, 4, 179.11 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:53.210, 5, 180.29 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:53.210, 6, 180.99 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:53.210, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:55.211, 0, 987.24 W, 57, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:55.211, 1, 1003.29 W, 67, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:55.211, 2, 974.91 W, 55, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:55.211, 3, 1013.43 W, 69, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:55.211, 4, 179.15 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:55.211, 5, 180.21 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:55.211, 6, 181.02 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:55.211, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:57.211, 0, 1007.47 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:57.211, 1, 1023.43 W, 67, 2032 MHz, 100 %, 254872 MiB
2026/04/29 08:40:57.211, 2, 998.41 W, 55, 2032 MHz, 100 %, 254872 MiB
2026/04/29 08:40:57.211, 3, 1032.16 W, 68, 2032 MHz, 100 %, 254872 MiB
2026/04/29 08:40:57.211, 4, 179.11 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:57.211, 5, 180.26 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:57.211, 6, 181.06 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:57.211, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/29 08:40:59.211, 0, 972.69 W, 55, 2032 MHz, 100 %, 254870 MiB
2026/04/29 08:40:59.211, 1, 993.40 W, 67, 2032 MHz, 100 %, 254872 MiB
