timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/30 00:43:58.095, 0, 965.74 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:43:58.115, 1, 983.25 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:43:58.121, 2, 960.67 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:43:58.125, 3, 987.62 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:43:58.130, 4, 179.16 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:43:58.134, 5, 180.76 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:43:58.139, 6, 181.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:43:58.144, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:00.153, 0, 957.83 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:00.153, 1, 975.98 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:00.153, 2, 949.70 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:00.153, 3, 981.83 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:00.153, 4, 179.15 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:00.153, 5, 180.55 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:00.153, 6, 181.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:00.153, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:02.153, 0, 970.07 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:02.153, 1, 986.14 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:02.153, 2, 959.36 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:02.153, 3, 993.59 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:02.153, 4, 179.11 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:02.153, 5, 180.80 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:02.153, 6, 181.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:02.153, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:04.153, 0, 1003.55 W, 57, 2032 MHz, 99 %, 254874 MiB
2026/04/30 00:44:04.153, 1, 1023.86 W, 68, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:04.153, 2, 997.37 W, 56, 2032 MHz, 99 %, 254874 MiB
2026/04/30 00:44:04.153, 3, 1024.52 W, 68, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:04.153, 4, 179.11 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:04.153, 5, 180.87 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:04.153, 6, 181.07 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:04.153, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:06.154, 0, 956.52 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:06.154, 1, 973.59 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:06.154, 2, 949.73 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:06.154, 3, 986.45 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:06.154, 4, 179.19 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:06.154, 5, 181.02 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:06.154, 6, 181.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:06.154, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:08.154, 0, 953.44 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:08.154, 1, 972.61 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:08.154, 2, 946.43 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:08.154, 3, 982.15 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:08.154, 4, 179.11 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:08.154, 5, 180.83 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:08.154, 6, 181.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:08.154, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:10.154, 0, 954.26 W, 55, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:10.155, 1, 971.97 W, 65, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:10.155, 2, 944.49 W, 54, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:10.155, 3, 980.69 W, 66, 2032 MHz, 100 %, 254874 MiB
2026/04/30 00:44:10.156, 4, 179.91 W, 32, 2032 MHz, 0 %, 28 MiB
2026/04/30 00:44:10.156, 5, 180.75 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:10.156, 6, 181.05 W, 32, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:10.157, 7, 181.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/04/30 00:44:12.157, 0, 953.02 W, 55, 2032 MHz, 100 %, 254874 MiB
