timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/04/30 06:03:18.761, 0, 1035.86 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:18.786, 1, 1034.48 W, 65, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:18.792, 2, 1038.23 W, 55, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:18.797, 3, 1046.27 W, 65, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:18.811, 4, 179.12 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:18.822, 5, 179.27 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:18.827, 6, 180.87 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:18.833, 7, 181.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:20.841, 0, 1041.22 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:20.841, 1, 1043.47 W, 65, 2017 MHz, 100 %, 254870 MiB
2026/04/30 06:03:20.841, 2, 1053.44 W, 56, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:20.841, 3, 1051.06 W, 67, 2025 MHz, 100 %, 254870 MiB
2026/04/30 06:03:20.841, 4, 179.13 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:20.841, 5, 179.27 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:20.841, 6, 181.07 W, 31, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:20.841, 7, 181.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/04/30 06:03:22.841, 0, 1043.67 W, 57, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:22.841, 1, 1039.48 W, 66, 2032 MHz, 100 %, 254870 MiB
2026/04/30 06:03:22.841, 2, 1029.69 W, 54, 2032 MHz, 100 %, 254870 MiB
