bs,count,avg_ms,min_ms,max_ms,p50_ms,p99_ms
1,990,0.09,0.08,9.01,0.08,0.09
4,8,9.33,4.44,10.04,10.03,10.04
5,24,10.89,10.81,10.95,10.9,10.95
7,25,11.29,11.21,11.38,11.29,11.38
8,2,11.27,11.25,11.29,11.29,11.29
9,5,13.49,13.42,13.52,13.5,13.52
10,4,13.47,13.4,13.52,13.51,13.52
11,38,13.4,13.24,13.52,13.41,13.52
12,2,13.33,13.27,13.39,13.39,13.39
13,5,13.35,13.23,13.49,13.38,13.49
14,1,13.51,13.51,13.51,13.51,13.51
15,48,13.64,13.43,13.81,13.65,13.81
17,17,16.62,16.39,16.75,16.65,16.75
18,4,16.67,16.58,16.76,16.67,16.76
19,8,16.76,16.69,16.86,16.77,16.86
20,4,16.75,16.45,16.88,16.86,16.88
21,15,16.7,16.44,16.86,16.7,16.86
22,12,16.75,16.5,16.92,16.77,16.92
23,2,16.78,16.77,16.79,16.79,16.79
25,2,16.78,16.77,16.78,16.78,16.78
26,15,16.78,16.57,16.94,16.77,16.94
27,12,16.56,16.34,16.71,16.56,16.71
28,3,16.67,16.62,16.71,16.68,16.71
29,4,16.83,16.6,17.05,16.93,17.05
30,4,16.94,16.77,17.15,16.97,17.15
32,12,16.82,16.47,17.04,16.86,17.04
33,6,18.23,18.11,18.37,18.24,18.37
34,7,18.33,18.26,18.45,18.31,18.45
35,5,18.36,18.29,18.46,18.38,18.46
36,3,18.38,18.33,18.4,18.39,18.4
38,5,18.46,18.37,18.56,18.45,18.56
39,6,18.54,18.42,18.64,18.55,18.64
40,18,18.58,18.35,18.74,18.6,18.74
41,3,18.68,18.6,18.72,18.71,18.72
42,8,18.7,18.55,18.82,18.74,18.82
43,4,18.82,18.64,18.88,18.87,18.88
44,3,18.85,18.8,18.92,18.85,18.92
45,2,18.78,18.78,18.79,18.79,18.79
46,22,18.79,18.66,18.94,18.78,18.94
47,4,18.73,18.67,18.84,18.74,18.84
48,3,18.72,18.66,18.79,18.73,18.79
49,9,19.44,19.37,19.56,19.42,19.56
50,21,19.47,19.33,19.58,19.49,19.58
51,7,19.51,19.44,19.64,19.49,19.64
52,2,19.55,19.53,19.57,19.57,19.57
53,6,19.56,19.47,19.68,19.55,19.68
54,4,19.67,19.51,19.81,19.69,19.81
55,19,19.88,19.56,20.19,19.94,20.19
56,10,20.03,19.57,20.26,20.13,20.26
57,11,19.76,19.53,20.13,19.75,20.13
58,6,19.68,19.58,19.87,19.64,19.87
59,31,19.81,19.49,20.2,19.79,20.2
60,3,19.76,19.74,19.79,19.75,19.79
61,15,20.12,19.73,20.44,20.21,20.44
62,92,20.16,19.58,21.01,20.22,21.01
63,477,20.22,19.62,22.04,20.19,21.32
64,8396,19.99,17.74,22.68,19.95,20.96
