bs,count,avg_ms,min_ms,max_ms,p50_ms,p99_ms
1,1159,12.43,11.97,34.52,12.41,12.63
2,22,12.6,12.5,12.84,12.6,12.84
3,40,13.53,13.23,13.71,13.58,13.71
4,14,13.44,13.27,13.76,13.45,13.76
5,23,14.76,14.59,15.08,14.73,15.08
6,11,15.06,14.85,15.27,15.07,15.27
7,14,15.35,15.13,15.59,15.39,15.59
8,13,14.88,14.66,15.08,14.87,15.08
9,1,16.36,16.36,16.36,16.36,16.36
10,5,16.51,16.42,16.65,16.49,16.65
11,42,16.7,16.42,17.0,16.69,17.0
12,3,16.86,16.78,16.97,16.83,16.97
13,1,17.27,17.27,17.27,17.27,17.27
14,4,17.28,17.18,17.36,17.34,17.36
15,43,17.61,17.27,17.95,17.63,17.95
16,12,17.18,16.92,17.43,17.16,17.43
17,6,20.27,20.12,20.5,20.27,20.5
18,4,20.21,20.05,20.3,20.29,20.3
19,7,20.34,20.24,20.49,20.26,20.49
20,5,20.06,19.84,20.14,20.11,20.14
21,21,20.16,19.75,20.47,20.2,20.47
22,7,20.15,19.9,20.39,20.09,20.39
23,2,20.01,19.8,20.22,20.22,20.22
24,2,20.32,20.21,20.43,20.43,20.43
25,1,20.49,20.49,20.49,20.49,20.49
26,14,20.14,19.9,20.44,20.17,20.44
27,14,20.1,19.79,20.38,20.12,20.38
28,1,19.78,19.78,19.78,19.78,19.78
29,3,19.93,19.73,20.09,19.95,20.09
30,8,19.78,19.49,20.0,19.81,20.0
31,3,19.5,19.45,19.59,19.47,19.59
32,8,19.45,19.22,19.75,19.45,19.75
33,4,22.44,22.29,22.57,22.56,22.57
34,7,22.48,22.24,22.62,22.57,22.62
35,8,22.47,22.3,22.63,22.5,22.63
36,2,22.49,22.39,22.59,22.59,22.59
37,1,22.37,22.37,22.37,22.37,22.37
38,5,22.42,22.22,22.53,22.42,22.53
39,3,22.55,22.47,22.67,22.5,22.67
40,24,22.82,22.57,23.1,22.82,23.1
41,5,22.75,22.59,22.92,22.69,22.92
42,4,22.81,22.68,23.05,22.8,23.05
44,3,22.85,22.79,22.98,22.8,22.98
45,4,22.73,22.56,22.84,22.79,22.84
46,21,22.73,22.37,23.04,22.74,23.04
47,5,22.7,22.53,22.81,22.7,22.81
48,1,22.64,22.64,22.64,22.64,22.64
49,1,24.09,24.09,24.09,24.09,24.09
50,35,24.41,23.91,24.83,24.45,24.83
51,3,24.46,24.4,24.52,24.45,24.52
52,2,24.16,24.11,24.2,24.2,24.2
53,6,24.33,23.81,24.63,24.42,24.63
54,2,24.18,23.97,24.39,24.39,24.39
55,10,24.04,23.91,24.21,24.05,24.21
56,11,23.96,23.77,24.26,23.99,24.26
57,6,24.0,23.75,24.31,24.0,24.31
58,7,24.03,23.84,24.3,23.95,24.3
59,27,23.91,23.67,24.12,23.91,24.12
60,18,23.64,23.29,24.21,23.6,24.21
61,34,23.89,23.36,24.55,23.84,24.55
62,73,24.04,23.49,24.83,23.98,24.83
63,481,23.9,23.23,24.87,23.86,24.73
64,8393,23.73,21.21,242.32,23.64,24.57
