rank,name,category,count,total_ms,pct,avg_us,min_us,max_us
1,MoE/Expert (fused GEMM+SwiGLU),MoE/Expert (fused GEMM+SwiGLU),9591,1165.6256290000008,23.19550666461097,121.53327379835271,54.176,1090.915
2,Communication,Communication,20509,928.9589700000057,18.48593016805163,45.29518601589574,8.704,6750.39
3,MoE/Expert (nvjet),MoE/Expert (nvjet),49991,719.8606529999468,14.324953191511764,14.399805024903417,3.584,292.385
4,MoE/Expert (BMM),MoE/Expert (BMM),9591,636.5983509999993,12.668065051013757,66.37455437389212,32.288,513.121
5,GEMM/MatMul,GEMM/MatMul,49236,438.9362550000053,8.734664522541992,8.914945466731767,2.24,361.313
6,Attention,Attention,21032,311.8424959999896,6.205547059292287,14.827049068086229,1.472,225.057
7,Activation/Elementwise,Activation/Elementwise,35554,256.5192689999825,5.10463588450338,7.214920093378592,1.056,213.856
8,MoE/Expert,MoE/Expert,28773,210.09686199999234,4.1808476422361425,7.301875438779145,3.936,188.481
9,Quantization,Quantization,49581,167.70742600002862,3.337313988905448,3.3824938181970636,1.471,65.025
10,Normalization,Normalization,21114,161.59663200000873,3.2157115125810996,7.653529980108398,2.112,183.873
11,Other,Other,1623,11.51956400000002,0.22923494206681763,7.097698089956882,1.12,2156.359
12,Embedding/RoPE,Embedding/RoPE,366,7.706272,0.15335188167461336,21.055387978142075,3.68,29.696
13,Sampling,Sampling,165,4.926931000000002,0.09804405291313165,29.860187878787894,28.8,30.816
14,Memory,Memory,1680,3.326367000000016,0.06619343809696064,1.9799803571428665,0.703,8.96
