rank,name,category,count,total_ms,pct,avg_us,min_us,max_us
1,bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x16x512_s5_et128x16_m128x16x64_cga1x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_ldgsts_tmaOpt_clmp_swiGlu_dynBatch_sm100f,Activation/Elementwise,9243,988.2127719999983,19.665058290323024,106.91472162717713,54.176,141.247
2,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x16x512_s5_et128x16_m128x16x64_cga1x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tmaOpt_clmp_dynBatch_sm100f,Other,9243,545.3904219999985,10.853061955380054,59.005779725197286,32.288,77.312
3,ncclSymkDevKernel_AllReduce_RSxLDMC_AGxSTMC_sum_bf16(ncclSymkDevWorkArgs4K),Communication,936,509.45816899999943,10.138023787721542,544.2929155982899,15.328,6750.39
4,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)",Communication,19287,326.6521610000006,6.500253759850216,16.936390366568187,8.704,82.816
5,nvjet_sm100_tst_64x32_64x16_2x1_2cta_v_bz_splitK_TNT,Other,9724,276.9683389999976,5.5115645995808995,28.4829636980664,8.96,88.832
6,fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ16Kv128PersistentSwapsAbForGen,Attention,9723,198.1286300000025,3.9426843776229794,20.377314614831068,19.36,29.824
7,bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x128x256u2_s6_et128x32_m256x128x64_cga2x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tma_tmaOpt_clmp_swiGlu_dynBatch_sm100f,Activation/Elementwise,348,177.41285699999997,3.530448374287707,509.80706034482745,141.888,1090.915
8,nvjet_sm100_tst_64x32_64x16_2x2_2cta_h_bz_splitK_TNT,Other,9243,126.90904099999966,2.5254416453079322,13.730286811641205,11.424,27.84
9,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi5ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi128EEESI_NSE_ILi256EEEEEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi128ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_23SM90_TMA_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESJ_EEENS9_IJSJ_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_SR_EEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S26_vS27_EENS_8epilogue10collective18CollectiveEpilogueINS29_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJSK_NS9_IJNSP_ISI_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS29_6fusion15FusionCallbacksIS2D_NS2I_17LinearCombinationIS2H_fvfLNS_15FloatRoundStyleE2EEESK_S2G_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_INS1O_ILi2ELi4ELi3EEENS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Y_S30_S30_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE,GEMM/MatMul,9723,124.26441900000007,2.4728146734053036,12.780460660290043,10.432,19.552
10,"void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)",MoE/Expert,9591,106.83638700000036,2.126003465458671,11.13923334375981,5.952,188.481
11,"void cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)",Quantization,30267,94.9723050000058,1.8899127462313896,3.137816929329164,1.471,65.025
12,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_1_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi5ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi128EEESI_NSE_ILi256EEEEEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi128ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_23SM90_TMA_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESJ_EEENS9_IJSJ_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_SR_EEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S26_vS27_EENS_8epilogue10collective18CollectiveEpilogueINS29_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJSK_NS9_IJNSP_ISI_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS29_6fusion15FusionCallbacksIS2D_NS2I_17LinearCombinationIS2H_fvfLNS_15FloatRoundStyleE2EEESK_S2G_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_INS1O_ILi2ELi4ELi3EEENS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Y_S30_S30_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE,GEMM/MatMul,9723,92.56902099999937,1.8420883087343125,9.52062336727341,8.96,14.08
13,bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x128x256u2_s6_et128x128_m256x128x64_cga2x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tmaOpt_clmp_dynBatch_sm100f,Other,348,91.20792900000005,1.8150030956335867,262.09175000000016,70.816,513.121
14,"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",Normalization,770,91.12486200000016,1.8133500939286058,118.34397662337685,4.705,183.873
15,"void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 4>, std::array<int, 4>)",Communication,121,82.89873200000001,1.6496532357850051,685.1134876033058,531.906,2186.023
16,_ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_2_4_1_2SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi7ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi256EEENSE_ILi128EEESI_EEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_23SM100_MMA_MXF4_2x1SM_SSISL_SL_fSM_Li256ELi128ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_28SM100_TMA_2SM_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi3ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESI_EEENS9_IJSI_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_SR_EEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S26_vS27_EENS_8epilogue10collective18CollectiveEpilogueINS29_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJNS9_IJSJ_SJ_SI_EEENS9_IJNSP_ISJ_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS29_6fusion15FusionCallbacksIS2D_NS2J_17LinearCombinationIS2I_fvfLNS_15FloatRoundStyleE2EEES2E_S2H_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_INS1O_ILi2ELi4ELi3EEENS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Z_S31_S31_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE,GEMM/MatMul,1098,77.312721,1.5384937415567863,70.41231420765027,7.52,361.313
17,nvjet_sm100_tst_176x128_64x8_1x2_2cta_h_bz_TNN,Other,305,72.84708100000002,1.4496292040889407,238.84288852459022,56.544,292.385
18,_ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloat16_128_64_128_1_4_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13CollectiveMmaINS5_46MainloopSm100TmaUmmaWarpSpecializedBlockScaledILi14ELi2ELi2ENS9_IJiiNS8_1CILi1EEEEEEEENS9_IJNSE_ILi128EEENSE_ILi64EEESI_EEENS9_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS9_IJNS9_IJlSF_lEEENS8_6LayoutINS9_IJNS9_IJNS9_IJNSE_ILi32EEENSE_ILi4EEEEEEiEEENS9_IJNS9_IJNSE_ILi16EEESR_EEEiEEENS9_IJSF_iEEEEEENS9_IJSW_NS9_IJNS9_IJNSE_ILi0EEESF_EEENSE_ILi512EEEEEENS9_IJSZ_iEEEEEEEEEEESN_S16_NS8_8TiledMMAINS8_8MMA_AtomIJNS8_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi64ELi16ELNS8_4UMMA5MajorE0ELS1B_0ELNS1A_7ScaleInE0ELS1C_0EEEEEENSP_INS9_IJSF_SF_SF_EEENS9_IJSZ_SZ_SZ_EEEEENS9_IJNS8_10UnderscoreES1I_S1I_EEEEENS9_IJNS8_23SM90_TMA_LOAD_MULTICASTES1L_EEENS9_IJNS8_14ComposedLayoutINS8_7SwizzleILi2ELi4ELi3EEENS8_18smem_ptr_flag_bitsILi4EEENSP_INS9_IJNSE_ILi8EEESI_EEENS9_IJSI_SF_EEEEEEENSP_INS9_IJNS9_IJNS9_IJSS_SF_EEESV_EEESF_NS9_IJSF_NSE_ILi2EEEEEEEEENS9_IJNS9_IJNS9_IJSV_S11_EEES10_EEESZ_NS9_IJSR_S11_EEEEEEEEEEEvNS8_8identityES1M_S27_vS28_EENS_8epilogue10collective18CollectiveEpilogueINS2A_23Sm100TmaWarpSpecializedILi2ELi2ELi32ELb0ELb1EEEJSK_NS9_IJNSP_ISI_SF_EENSP_ISQ_SF_EEEEEvSO_NS_10bfloat16_tESO_NS2A_6fusion15FusionCallbacksIS2E_NS2J_17LinearCombinationIS2I_fvfLNS_15FloatRoundStyleE2EEESK_S2H_JEEENS8_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS8_13SM90_TMA_LOADENS1N_IS1P_NS1Q_ILi16EEENSP_INS9_IJS1S_SQ_EEENS9_IJSQ_SF_EEEEEEENS8_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS8_14SM90_TMA_STOREES2Y_S30_S30_EEENS5_19PersistentSchedulerEvEEEEEEvNT_6ParamsE,GEMM/MatMul,9243,72.0595170000001,1.4339569800434915,7.796117818889981,4.448,24.351
19,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",Normalization,20344,70.47177000000016,1.4023614186523012,3.4640075697994575,2.112,148.481
20,"void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)",GEMM/MatMul,18969,67.9367550000005,1.351915584360011,3.5814621224102745,2.24,7.584
21,nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT,Other,549,66.5191980000001,1.323706739236055,121.16429508196741,36.416,181.825
22,nvjet_sm100_tst_48x64_64x15_4x1_v_bz_TNN,Other,9723,62.53015399999935,1.2443262808921325,6.431158490177862,6.048,9.728
23,"void at::native::vectorized_elementwise_kernel<4, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul> >(int, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}, std::array<char*, 2ul>)",Activation/Elementwise,1586,60.88045800000002,1.2114979579636167,38.38616519546029,2.112,84.448
24,fmhaSm100fKernel_QkvE4m3OBfloat16HQk192HV128SeparateQkvCausalVarSeqQ128Kv128PersistentContext,Attention,366,56.13356700000002,1.1170366325712247,153.37040163934432,25.792,225.057
25,"void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true>)",MoE/Expert,9591,51.4501089999993,1.0238375997517073,5.36441549369193,3.936,39.297
26,"void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true> >(moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 256, 8, true, true, true>)",MoE/Expert,9243,49.50948999999963,0.9852200197774404,5.356430812506722,4.32,9.92
27,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",Activation/Elementwise,10089,43.54886299999989,0.8666058096366022,4.31646971949647,2.335,115.584
28,nvjet_sm100_tst_128x64_64x8_4x1_v_bz_TNT,Other,9723,42.843749999999396,0.852574329130424,4.4064331996296815,3.872,7.808
29,"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1}>(at::TensorIteratorBase&, at::native::float8_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(c10::BFloat16)#1} const&)::{lambda(int)#1})",Activation/Elementwise,976,42.572123999999945,0.8471690750449644,43.61897950819667,3.007,158.625
30,"void at::native::vectorized_elementwise_kernel<8, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul> >(int, at::native::CUDAFunctor_add<c10::BFloat16>, std::array<char*, 3ul>)",Activation/Elementwise,9591,42.500446999999795,0.8457427300077253,4.431284224794057,1.728,97.889
