timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 15:06:40.934, 0, 152.22 W, 50, 120 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.938, 1, 148.60 W, 41, 150 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.941, 2, 147.06 W, 40, 180 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.945, 3, 159.07 W, 53, 247 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.948, 4, 148.23 W, 41, 442 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.954, 5, 154.87 W, 51, 187 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.959, 6, 144.85 W, 40, 210 MHz, 0 %, 0 MiB
2026/03/21 15:06:40.964, 7, 151.44 W, 53, 210 MHz, 0 %, 0 MiB
2026/03/21 15:06:42.968, 0, 152.82 W, 49, 585 MHz, 0 %, 4 MiB
2026/03/21 15:06:42.982, 1, 148.31 W, 40, 682 MHz, 0 %, 4 MiB
2026/03/21 15:06:42.982, 2, 146.76 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:42.982, 3, 157.95 W, 52, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:42.983, 4, 146.61 W, 40, 180 MHz, 0 %, 1 MiB
2026/03/21 15:06:42.983, 5, 154.05 W, 50, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:42.985, 6, 144.41 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:42.989, 7, 150.46 W, 52, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:44.989, 0, 152.92 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.012, 1, 150.19 W, 40, 127 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.024, 2, 150.47 W, 39, 142 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.026, 3, 163.39 W, 52, 885 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.027, 4, 149.30 W, 40, 720 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.039, 5, 155.37 W, 50, 772 MHz, 0 %, 4 MiB
2026/03/21 15:06:45.050, 6, 144.02 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:45.051, 7, 149.84 W, 52, 120 MHz, 0 %, 1 MiB
2026/03/21 15:06:47.054, 0, 150.85 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.055, 1, 147.50 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.055, 2, 146.17 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.056, 3, 156.74 W, 51, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.056, 4, 145.31 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.056, 5, 155.46 W, 49, 135 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.057, 6, 148.19 W, 39, 757 MHz, 0 %, 4 MiB
2026/03/21 15:06:47.057, 7, 152.02 W, 51, 667 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.057, 0, 150.43 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.058, 1, 147.07 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.058, 2, 145.82 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.059, 3, 155.99 W, 50, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.059, 4, 144.95 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.060, 5, 152.52 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.060, 6, 143.67 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:49.060, 7, 149.61 W, 50, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.061, 0, 149.91 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.061, 1, 146.76 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.062, 2, 145.61 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.062, 3, 155.46 W, 50, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.062, 4, 144.67 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.063, 5, 152.16 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.063, 6, 143.32 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:51.063, 7, 148.98 W, 50, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.064, 0, 152.22 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.064, 1, 148.98 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.065, 2, 148.10 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.065, 3, 157.73 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.065, 4, 147.26 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.066, 5, 154.26 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.066, 6, 145.60 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:53.066, 7, 150.93 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.067, 0, 204.97 W, 47, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:06:55.169, 1, 146.39 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.185, 2, 145.18 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.198, 3, 154.46 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.211, 4, 144.21 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.224, 5, 151.18 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.236, 6, 142.65 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:55.236, 7, 147.91 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.237, 0, 204.65 W, 47, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:06:57.238, 1, 145.97 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.238, 2, 144.83 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.238, 3, 154.03 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.239, 4, 144.06 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.239, 5, 150.77 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.239, 6, 142.40 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:57.240, 7, 147.54 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.240, 0, 204.07 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:06:59.241, 1, 145.94 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.241, 2, 144.70 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.242, 3, 153.43 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.242, 4, 143.72 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.242, 5, 150.64 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.243, 6, 142.41 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:06:59.243, 7, 147.16 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.244, 0, 203.57 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:07:01.245, 1, 145.39 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.246, 2, 144.42 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.246, 3, 152.94 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.246, 4, 143.49 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.247, 5, 150.52 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.247, 6, 142.12 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:01.247, 7, 146.92 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.248, 0, 203.01 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:07:03.249, 1, 145.38 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.252, 2, 144.30 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.252, 3, 153.13 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.254, 4, 143.30 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.255, 5, 150.05 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.257, 6, 141.97 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:03.257, 7, 146.44 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.258, 0, 202.69 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/21 15:07:05.263, 1, 145.16 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.268, 2, 144.33 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.270, 3, 152.71 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.270, 4, 143.17 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.271, 5, 149.65 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.274, 6, 141.79 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:05.275, 7, 146.07 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 15:07:07.275, 0, 202.58 W, 45, 1965 MHz, 0 %, 724 MiB
2026/03/21 15:07:07.280, 1, 177.67 W, 37, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.285, 2, 175.87 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.292, 3, 190.33 W, 46, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.313, 4, 176.73 W, 37, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.318, 5, 187.15 W, 45, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.326, 6, 177.38 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:07.326, 7, 182.19 W, 46, 1965 MHz, 0 %, 28 MiB
2026/03/21 15:07:09.334, 0, 201.71 W, 44, 1965 MHz, 2 %, 86944 MiB
2026/03/21 15:07:09.334, 1, 196.65 W, 37, 1965 MHz, 2 %, 86248 MiB
2026/03/21 15:07:09.335, 2, 194.30 W, 37, 1965 MHz, 0 %, 27336 MiB
2026/03/21 15:07:09.335, 3, 211.12 W, 46, 1965 MHz, 1 %, 86248 MiB
2026/03/21 15:07:09.336, 4, 195.13 W, 37, 1965 MHz, 0 %, 86248 MiB
2026/03/21 15:07:09.336, 5, 203.22 W, 45, 1965 MHz, 2 %, 86248 MiB
2026/03/21 15:07:09.336, 6, 192.41 W, 36, 1965 MHz, 1 %, 86248 MiB
2026/03/21 15:07:09.337, 7, 200.80 W, 46, 1965 MHz, 0 %, 27336 MiB
2026/03/21 15:07:11.338, 0, 200.32 W, 44, 1965 MHz, 0 %, 86944 MiB
2026/03/21 15:07:11.339, 1, 195.85 W, 37, 1965 MHz, 0 %, 86248 MiB
