timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 18:29:58.252, 0, 145.35 W, 41, 120 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.256, 1, 145.16 W, 36, 187 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.260, 2, 143.85 W, 35, 165 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.263, 3, 149.76 W, 42, 157 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.267, 4, 144.48 W, 36, 405 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.271, 5, 148.04 W, 41, 202 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.274, 6, 142.32 W, 35, 202 MHz, 0 %, 0 MiB
2026/03/21 18:29:58.278, 7, 144.23 W, 42, 247 MHz, 0 %, 0 MiB
2026/03/21 18:30:00.281, 0, 146.98 W, 40, 615 MHz, 0 %, 4 MiB
2026/03/21 18:30:00.329, 1, 145.28 W, 35, 630 MHz, 0 %, 4 MiB
2026/03/21 18:30:00.330, 2, 143.98 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:00.330, 3, 149.53 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:00.330, 4, 142.85 W, 35, 165 MHz, 0 %, 1 MiB
2026/03/21 18:30:00.331, 5, 149.46 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:00.333, 6, 143.95 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:00.334, 7, 144.20 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:02.342, 0, 146.57 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.352, 1, 146.04 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.354, 2, 148.20 W, 35, 165 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.355, 3, 153.07 W, 41, 727 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.367, 4, 148.17 W, 35, 915 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.379, 5, 148.06 W, 41, 765 MHz, 0 %, 4 MiB
2026/03/21 18:30:02.380, 6, 141.31 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:02.382, 7, 143.06 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/21 18:30:04.384, 0, 145.09 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.385, 1, 144.50 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.385, 2, 143.76 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.386, 3, 148.57 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.386, 4, 142.31 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.386, 5, 148.73 W, 40, 127 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.387, 6, 143.93 W, 34, 592 MHz, 0 %, 4 MiB
2026/03/21 18:30:04.387, 7, 146.13 W, 41, 720 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.387, 0, 144.79 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.388, 1, 144.21 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.388, 2, 143.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.389, 3, 148.65 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.389, 4, 142.06 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.390, 5, 146.54 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.390, 6, 141.12 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:06.390, 7, 142.70 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.391, 0, 144.58 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.392, 1, 144.01 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.393, 2, 143.35 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.395, 3, 148.33 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.396, 4, 141.95 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.398, 5, 146.59 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.400, 6, 141.15 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:08.402, 7, 142.52 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.403, 0, 145.10 W, 39, 1965 MHz, 0 %, 27 MiB
2026/03/21 18:30:10.404, 1, 143.86 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.405, 2, 143.29 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.405, 3, 148.15 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.407, 4, 141.80 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.408, 5, 146.63 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.409, 6, 140.94 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:10.409, 7, 142.49 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.410, 0, 196.12 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/21 18:30:12.478, 1, 143.79 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.562, 2, 143.15 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.562, 3, 148.09 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.570, 4, 141.83 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.585, 5, 146.33 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.598, 6, 140.84 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:12.623, 7, 142.60 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:14.624, 0, 195.81 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/21 18:30:14.625, 1, 143.75 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:14.625, 2, 143.23 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 18:30:14.626, 3, 147.67 W, 40, 120 MHz, 0 %, 4 MiB
