timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 03:20:13.092, 0, 142.07 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.096, 1, 142.49 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.100, 2, 142.19 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.103, 3, 145.19 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.107, 4, 140.67 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.111, 5, 144.21 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.114, 6, 139.86 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:13.118, 7, 140.04 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 03:20:15.124, 0, 143.09 W, 34, 645 MHz, 0 %, 4 MiB
2026/03/22 03:20:15.167, 1, 142.77 W, 32, 907 MHz, 0 %, 4 MiB
2026/03/22 03:20:15.168, 2, 142.07 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:15.168, 3, 145.02 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:15.168, 4, 140.51 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:15.172, 5, 144.02 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:15.172, 6, 139.80 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:15.176, 7, 140.05 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:17.176, 0, 142.97 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.177, 1, 146.61 W, 32, 165 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.179, 2, 145.12 W, 32, 142 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.180, 3, 149.39 W, 34, 780 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.230, 4, 146.26 W, 32, 900 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.242, 5, 145.72 W, 34, 765 MHz, 0 %, 4 MiB
2026/03/22 03:20:17.254, 6, 139.66 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:17.255, 7, 139.96 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 03:20:19.257, 0, 141.70 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.257, 1, 142.22 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.258, 2, 141.96 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.258, 3, 144.96 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.258, 4, 140.59 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.259, 5, 145.82 W, 34, 127 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.259, 6, 143.95 W, 31, 757 MHz, 0 %, 4 MiB
2026/03/22 03:20:19.259, 7, 145.59 W, 35, 915 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.260, 0, 141.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.261, 1, 142.33 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.261, 2, 142.00 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.262, 3, 144.80 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.262, 4, 140.28 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.262, 5, 143.80 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.263, 6, 139.60 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:21.263, 7, 140.01 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.264, 0, 143.89 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.264, 1, 144.53 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.265, 2, 144.15 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.265, 3, 147.09 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.265, 4, 142.71 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.266, 5, 146.37 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.266, 6, 142.04 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:23.266, 7, 142.27 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.267, 0, 141.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.268, 1, 141.98 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.268, 2, 141.84 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.269, 3, 144.68 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.269, 4, 140.26 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.269, 5, 143.80 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.270, 6, 139.72 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 03:20:25.270, 7, 139.82 W, 35, 120 MHz, 0 %, 4 MiB
