timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 04:16:28.414, 0, 142.16 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.417, 1, 142.64 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.421, 2, 142.37 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.425, 3, 145.10 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.428, 4, 140.65 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.432, 5, 144.31 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.436, 6, 139.74 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:28.439, 7, 140.13 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:16:30.443, 0, 143.09 W, 34, 712 MHz, 0 %, 4 MiB
2026/03/22 04:16:30.446, 1, 142.80 W, 32, 817 MHz, 0 %, 4 MiB
2026/03/22 04:16:30.536, 2, 142.12 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:30.536, 3, 145.12 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:30.548, 4, 140.65 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:30.551, 5, 144.01 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:30.552, 6, 139.73 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:30.555, 7, 139.92 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:32.555, 0, 143.56 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.562, 1, 145.59 W, 32, 150 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.573, 2, 146.22 W, 32, 165 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.575, 3, 149.00 W, 34, 765 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.577, 4, 146.26 W, 32, 900 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.589, 5, 145.14 W, 34, 742 MHz, 0 %, 4 MiB
2026/03/22 04:16:32.601, 6, 139.62 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:32.604, 7, 139.78 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 04:16:34.606, 0, 141.60 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.625, 1, 142.28 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.654, 2, 141.94 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.654, 3, 144.75 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.694, 4, 140.47 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.723, 5, 145.20 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.751, 6, 144.75 W, 32, 165 MHz, 0 %, 4 MiB
2026/03/22 04:16:34.782, 7, 142.78 W, 35, 622 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.811, 0, 141.59 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.811, 1, 142.25 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.812, 2, 141.90 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.812, 3, 144.71 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.813, 4, 140.39 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.813, 5, 143.85 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.813, 6, 139.69 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:36.814, 7, 139.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.814, 0, 141.58 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.815, 1, 142.17 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.815, 2, 142.02 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.816, 3, 144.68 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.816, 4, 140.36 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.816, 5, 143.93 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.817, 6, 139.63 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:38.817, 7, 139.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.818, 0, 143.95 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.818, 1, 144.48 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.819, 2, 144.51 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.819, 3, 147.24 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.820, 4, 142.83 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.820, 5, 146.30 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.820, 6, 141.94 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:40.821, 7, 142.23 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.821, 0, 191.44 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:42.828, 1, 142.16 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.841, 2, 142.03 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.878, 3, 144.62 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.895, 4, 140.32 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.922, 5, 143.66 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.948, 6, 139.54 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:42.949, 7, 139.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.967, 0, 191.43 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:44.967, 1, 142.17 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.968, 2, 141.93 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.968, 3, 144.69 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.968, 4, 140.37 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.969, 5, 143.73 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.969, 6, 139.47 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:44.969, 7, 139.73 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.970, 0, 190.81 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:46.974, 1, 142.38 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.981, 2, 141.84 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.982, 3, 144.90 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.983, 4, 140.26 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.988, 5, 143.64 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.995, 6, 139.59 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:46.998, 7, 139.78 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.000, 0, 190.96 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:49.000, 1, 142.18 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.001, 2, 141.83 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.001, 3, 144.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.001, 4, 140.28 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.002, 5, 143.74 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.002, 6, 139.49 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:49.002, 7, 139.85 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.003, 0, 191.46 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:51.004, 1, 142.24 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.004, 2, 141.91 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.004, 3, 144.71 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.005, 4, 140.37 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.005, 5, 143.63 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.005, 6, 139.51 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:51.006, 7, 139.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.006, 0, 191.40 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/22 04:16:53.007, 1, 142.07 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.007, 2, 141.93 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.008, 3, 144.54 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.008, 4, 140.32 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.009, 5, 143.64 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.009, 6, 139.56 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:53.009, 7, 139.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:16:55.010, 0, 191.51 W, 35, 1965 MHz, 0 %, 723 MiB
2026/03/22 04:16:55.011, 1, 156.66 W, 32, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.017, 2, 157.25 W, 32, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.028, 3, 158.00 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.039, 4, 156.68 W, 33, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.047, 5, 161.06 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.054, 6, 154.01 W, 32, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:55.057, 7, 154.68 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/22 04:16:57.065, 0, 191.87 W, 35, 1965 MHz, 0 %, 3370 MiB
2026/03/22 04:16:57.072, 1, 192.00 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/22 04:16:57.084, 2, 191.00 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/22 04:16:57.095, 3, 197.00 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/22 04:16:57.107, 4, 190.34 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/22 04:16:57.118, 5, 194.16 W, 35, 1965 MHz, 0 %, 2674 MiB
