timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 04:46:35.293, 0, 142.20 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.296, 1, 142.60 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.300, 2, 142.27 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.306, 3, 145.48 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.310, 4, 140.80 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.314, 5, 144.33 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.317, 6, 139.97 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:35.321, 7, 139.97 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/22 04:46:37.325, 0, 143.78 W, 35, 742 MHz, 0 %, 4 MiB
2026/03/22 04:46:37.340, 1, 143.17 W, 33, 877 MHz, 0 %, 4 MiB
2026/03/22 04:46:37.348, 2, 142.23 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:37.348, 3, 145.38 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:37.348, 4, 140.72 W, 33, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:37.352, 5, 144.40 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:37.354, 6, 139.99 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:37.355, 7, 140.07 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:39.358, 0, 144.04 W, 35, 127 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.369, 1, 146.26 W, 33, 150 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.380, 2, 146.65 W, 33, 165 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.382, 3, 149.75 W, 35, 780 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.382, 4, 146.56 W, 33, 900 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.383, 5, 146.06 W, 35, 742 MHz, 0 %, 4 MiB
2026/03/22 04:46:39.384, 6, 139.91 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:39.445, 7, 140.11 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/22 04:46:41.457, 0, 142.32 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 04:46:41.457, 1, 142.50 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 04:46:41.458, 2, 142.15 W, 32, 120 MHz, 0 %, 4 MiB
