timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 22:59:32.536, 0, 151.10 W, 49, 142 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.540, 1, 149.99 W, 40, 330 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.544, 2, 146.93 W, 40, 180 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.547, 3, 156.76 W, 51, 135 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.551, 4, 145.71 W, 41, 225 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.555, 5, 154.28 W, 50, 240 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.558, 6, 144.47 W, 40, 172 MHz, 0 %, 0 MiB
2026/03/21 22:59:32.562, 7, 149.54 W, 51, 165 MHz, 0 %, 0 MiB
2026/03/21 22:59:34.566, 0, 151.92 W, 48, 690 MHz, 0 %, 4 MiB
2026/03/21 22:59:34.626, 1, 148.96 W, 40, 907 MHz, 0 %, 4 MiB
2026/03/21 22:59:34.626, 2, 146.51 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:34.627, 3, 156.29 W, 51, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:34.627, 4, 145.69 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:34.628, 5, 153.03 W, 49, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:34.630, 6, 144.23 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:34.634, 7, 149.05 W, 51, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:36.634, 0, 152.29 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.641, 1, 151.96 W, 39, 172 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.653, 2, 149.94 W, 39, 142 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.655, 3, 162.04 W, 50, 885 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.656, 4, 147.77 W, 40, 637 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.668, 5, 154.50 W, 48, 772 MHz, 0 %, 4 MiB
2026/03/21 22:59:36.679, 6, 143.86 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:36.681, 7, 148.42 W, 50, 120 MHz, 0 %, 1 MiB
2026/03/21 22:59:38.683, 0, 149.91 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.684, 1, 147.31 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.684, 2, 145.60 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.685, 3, 155.43 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.685, 4, 145.18 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.685, 5, 154.23 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.686, 6, 149.43 W, 38, 885 MHz, 0 %, 4 MiB
2026/03/21 22:59:38.686, 7, 151.52 W, 50, 727 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.687, 0, 149.39 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.687, 1, 146.85 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.688, 2, 145.31 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.688, 3, 154.59 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.688, 4, 144.63 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.689, 5, 151.49 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.689, 6, 143.12 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:40.690, 7, 148.35 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.690, 0, 149.77 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.691, 1, 146.70 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.691, 2, 146.53 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.692, 3, 154.96 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.692, 4, 144.71 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.692, 5, 153.64 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.693, 6, 144.47 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:42.693, 7, 147.83 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.694, 0, 149.11 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.695, 1, 146.30 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.695, 2, 145.05 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.696, 3, 153.48 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.696, 4, 144.16 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.696, 5, 150.72 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.697, 6, 142.83 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:44.697, 7, 147.19 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.698, 0, 203.76 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:46.699, 1, 146.04 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.711, 2, 144.98 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.712, 3, 153.20 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.724, 4, 144.01 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.725, 5, 150.46 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.725, 6, 142.53 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:46.725, 7, 146.88 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.726, 0, 203.37 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:48.727, 1, 145.69 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.727, 2, 144.86 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.728, 3, 152.77 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.728, 4, 143.90 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.728, 5, 150.02 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.729, 6, 142.38 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:48.729, 7, 146.58 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.730, 0, 202.58 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:50.736, 1, 145.57 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.744, 2, 144.64 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.751, 3, 152.68 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.751, 4, 143.53 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.752, 5, 149.91 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.752, 6, 142.21 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:50.753, 7, 146.08 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.754, 0, 202.46 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:52.754, 1, 145.23 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.755, 2, 144.40 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.755, 3, 152.28 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.756, 4, 143.30 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.756, 5, 149.56 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.756, 6, 142.11 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:52.757, 7, 145.75 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.757, 0, 201.83 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:54.758, 1, 145.32 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.758, 2, 144.26 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.759, 3, 152.10 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.759, 4, 143.11 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.759, 5, 149.24 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.760, 6, 142.01 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:54.760, 7, 145.42 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.761, 0, 203.81 W, 44, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:59:56.761, 1, 147.26 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.762, 2, 146.47 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.762, 3, 154.29 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.762, 4, 145.30 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.763, 5, 151.79 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.763, 6, 144.31 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:56.765, 7, 147.61 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 22:59:58.766, 0, 201.35 W, 44, 1965 MHz, 0 %, 723 MiB
2026/03/21 22:59:58.769, 1, 164.48 W, 37, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.775, 2, 167.35 W, 36, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.782, 3, 178.22 W, 45, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.791, 4, 167.62 W, 37, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.798, 5, 170.46 W, 44, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.805, 6, 163.26 W, 36, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:59:58.813, 7, 171.22 W, 45, 1965 MHz, 0 %, 27 MiB
2026/03/21 23:00:00.820, 0, 200.51 W, 44, 1965 MHz, 0 %, 26704 MiB
2026/03/21 23:00:00.820, 1, 196.83 W, 37, 1965 MHz, 1 %, 26008 MiB
2026/03/21 23:00:00.821, 2, 194.14 W, 36, 1965 MHz, 1 %, 26008 MiB
2026/03/21 23:00:00.821, 3, 209.01 W, 45, 1965 MHz, 0 %, 26008 MiB
2026/03/21 23:00:00.822, 4, 194.53 W, 37, 1965 MHz, 0 %, 26008 MiB
2026/03/21 23:00:00.822, 5, 202.25 W, 44, 1965 MHz, 0 %, 26008 MiB
2026/03/21 23:00:00.822, 6, 192.13 W, 36, 1965 MHz, 1 %, 26008 MiB
2026/03/21 23:00:00.823, 7, 199.34 W, 45, 1965 MHz, 0 %, 26008 MiB
2026/03/21 23:00:02.824, 0, 199.59 W, 43, 1965 MHz, 0 %, 88660 MiB
2026/03/21 23:00:02.832, 1, 195.74 W, 37, 1965 MHz, 0 %, 87964 MiB
2026/03/21 23:00:02.840, 2, 193.26 W, 36, 1965 MHz, 0 %, 87964 MiB
2026/03/21 23:00:02.848, 3, 208.15 W, 45, 1965 MHz, 0 %, 87964 MiB
