timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 00:49:24.108, 0, 153.69 W, 51, 150 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.112, 1, 148.61 W, 42, 120 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.116, 2, 147.51 W, 41, 150 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.120, 3, 160.72 W, 55, 300 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.123, 4, 147.28 W, 42, 255 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.129, 5, 159.10 W, 53, 480 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.133, 6, 145.21 W, 41, 195 MHz, 0 %, 0 MiB
2026/03/22 00:49:24.136, 7, 152.36 W, 55, 210 MHz, 0 %, 0 MiB
2026/03/22 00:49:26.144, 0, 154.56 W, 51, 622 MHz, 0 %, 4 MiB
2026/03/22 00:49:26.165, 1, 149.54 W, 41, 765 MHz, 0 %, 4 MiB
2026/03/22 00:49:26.165, 2, 147.35 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:26.166, 3, 159.22 W, 54, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:26.166, 4, 146.47 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:26.167, 5, 155.76 W, 52, 195 MHz, 0 %, 1 MiB
2026/03/22 00:49:26.169, 6, 144.62 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:26.173, 7, 151.30 W, 54, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:28.174, 0, 153.90 W, 50, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.175, 1, 151.66 W, 41, 142 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.176, 2, 150.95 W, 40, 150 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.177, 3, 162.96 W, 53, 742 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.178, 4, 149.89 W, 41, 742 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.179, 5, 156.73 W, 51, 877 MHz, 0 %, 4 MiB
2026/03/22 00:49:28.245, 6, 144.76 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:28.246, 7, 151.03 W, 53, 120 MHz, 0 %, 1 MiB
2026/03/22 00:49:30.257, 0, 152.17 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.262, 1, 148.24 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.274, 2, 146.89 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.276, 3, 157.68 W, 52, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.277, 4, 145.67 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.278, 5, 156.70 W, 50, 135 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.278, 6, 148.87 W, 40, 757 MHz, 0 %, 4 MiB
2026/03/22 00:49:30.279, 7, 153.58 W, 52, 795 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.279, 0, 153.85 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.280, 1, 150.29 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.280, 2, 149.12 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.281, 3, 159.28 W, 51, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.281, 4, 148.14 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.282, 5, 155.87 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.282, 6, 146.73 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:32.282, 7, 152.97 W, 52, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.283, 0, 150.85 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.284, 1, 147.48 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.286, 2, 146.26 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.287, 3, 156.61 W, 51, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.288, 4, 145.40 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.289, 5, 153.14 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.289, 6, 143.78 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:34.289, 7, 149.31 W, 51, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:36.290, 0, 150.43 W, 47, 120 MHz, 0 %, 26 MiB
2026/03/22 00:49:36.295, 1, 147.14 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 00:49:36.295, 2, 146.00 W, 38, 120 MHz, 0 %, 4 MiB
