timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/17 08:38:20.780, 0, 147.21 W, 42, 217 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.784, 1, 145.76 W, 37, 127 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.788, 2, 145.66 W, 37, 255 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.792, 3, 151.62 W, 44, 217 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.795, 4, 145.49 W, 37, 337 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.799, 5, 148.75 W, 43, 187 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.803, 6, 142.26 W, 36, 150 MHz, 0 %, 0 MiB
2026/03/17 08:38:20.806, 7, 144.58 W, 44, 142 MHz, 0 %, 0 MiB
2026/03/17 08:38:22.810, 0, 146.45 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:22.875, 1, 146.36 W, 37, 750 MHz, 0 %, 4 MiB
2026/03/17 08:38:22.875, 2, 144.73 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:22.876, 3, 150.80 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:22.876, 4, 143.69 W, 37, 127 MHz, 0 %, 1 MiB
2026/03/17 08:38:22.876, 5, 148.03 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:22.879, 6, 142.12 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:22.881, 7, 144.29 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:24.882, 0, 146.17 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.900, 1, 148.31 W, 36, 142 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.911, 2, 149.94 W, 36, 180 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.913, 3, 154.93 W, 43, 750 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.916, 4, 146.65 W, 36, 675 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.927, 5, 148.97 W, 42, 675 MHz, 0 %, 4 MiB
2026/03/17 08:38:24.939, 6, 141.85 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:24.940, 7, 144.04 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/17 08:38:26.941, 0, 146.05 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.942, 1, 145.11 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.943, 2, 144.32 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.943, 3, 150.16 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.943, 4, 143.05 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.944, 5, 149.14 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.944, 6, 146.28 W, 36, 757 MHz, 0 %, 4 MiB
2026/03/17 08:38:26.944, 7, 146.60 W, 43, 757 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.945, 0, 145.69 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.946, 1, 145.15 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.946, 2, 143.97 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.947, 3, 149.77 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.947, 4, 142.74 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.947, 5, 147.33 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.948, 6, 141.97 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:28.948, 7, 144.24 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.948, 0, 145.65 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.949, 1, 144.91 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.949, 2, 143.94 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.950, 3, 149.52 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.950, 4, 142.61 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.951, 5, 147.19 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.952, 6, 141.65 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:30.952, 7, 143.44 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:32.953, 0, 145.39 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:32.953, 1, 144.78 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/17 08:38:32.954, 2, 143.73 W, 35, 120 MHz, 0 %, 4 MiB
