timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/17 11:49:46.558, 0, 151.06 W, 49, 127 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.562, 1, 147.84 W, 40, 120 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.565, 2, 146.92 W, 40, 210 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.569, 3, 156.91 W, 51, 127 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.572, 4, 146.36 W, 40, 270 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.576, 5, 154.06 W, 49, 217 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.580, 6, 146.04 W, 40, 337 MHz, 0 %, 0 MiB
2026/03/17 11:49:46.583, 7, 149.74 W, 51, 172 MHz, 0 %, 0 MiB
2026/03/17 11:49:48.587, 0, 152.41 W, 48, 750 MHz, 0 %, 4 MiB
2026/03/17 11:49:48.630, 1, 148.12 W, 40, 765 MHz, 0 %, 4 MiB
2026/03/17 11:49:48.631, 2, 146.54 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:48.631, 3, 156.39 W, 51, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:48.631, 4, 145.61 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:48.632, 5, 152.80 W, 49, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:48.632, 6, 144.47 W, 39, 127 MHz, 0 %, 1 MiB
2026/03/17 11:49:48.632, 7, 148.88 W, 51, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:50.633, 0, 152.37 W, 47, 127 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.652, 1, 150.44 W, 39, 142 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.663, 2, 151.63 W, 39, 165 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.665, 3, 159.17 W, 50, 675 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.668, 4, 151.26 W, 39, 900 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.679, 5, 154.14 W, 48, 645 MHz, 0 %, 4 MiB
2026/03/17 11:49:50.691, 6, 143.70 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:50.692, 7, 148.36 W, 50, 120 MHz, 0 %, 1 MiB
2026/03/17 11:49:52.694, 0, 149.51 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.694, 1, 147.14 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.694, 2, 145.91 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.695, 3, 155.33 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.695, 4, 144.96 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.695, 5, 152.95 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.696, 6, 149.40 W, 38, 885 MHz, 0 %, 4 MiB
2026/03/17 11:49:52.696, 7, 152.53 W, 49, 795 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.696, 0, 149.16 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.697, 1, 146.71 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.697, 2, 145.61 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.698, 3, 154.92 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.698, 4, 144.54 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.698, 5, 151.33 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.698, 6, 143.11 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:54.699, 7, 148.10 W, 49, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.699, 0, 148.73 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.700, 1, 146.43 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.700, 2, 145.40 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.700, 3, 154.14 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.701, 4, 144.23 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.701, 5, 150.99 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.701, 6, 142.96 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:56.702, 7, 147.50 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.702, 0, 150.14 W, 46, 1965 MHz, 0 %, 27 MiB
2026/03/17 11:49:58.703, 1, 146.29 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.704, 2, 145.24 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.705, 3, 153.58 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.706, 4, 144.00 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.707, 5, 150.46 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.707, 6, 142.82 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:49:58.708, 7, 147.18 W, 48, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.708, 0, 203.71 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:00.754, 1, 145.94 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.853, 2, 144.95 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.865, 3, 153.24 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.877, 4, 143.96 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.889, 5, 150.52 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.901, 6, 142.52 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:00.901, 7, 146.91 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.913, 0, 203.27 W, 46, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:02.914, 1, 145.76 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.914, 2, 144.71 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.914, 3, 153.28 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.915, 4, 143.66 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.915, 5, 150.09 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.915, 6, 142.25 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:02.915, 7, 146.48 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.916, 0, 203.09 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:04.916, 1, 145.44 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.917, 2, 144.56 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.917, 3, 152.97 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.918, 4, 143.45 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.918, 5, 149.99 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.918, 6, 142.04 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:04.918, 7, 146.14 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.919, 0, 202.75 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:06.920, 1, 145.22 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.920, 2, 144.28 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.921, 3, 152.41 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.921, 4, 143.22 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.921, 5, 149.33 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.922, 6, 141.97 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:06.922, 7, 145.89 W, 46, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.922, 0, 202.03 W, 45, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:08.924, 1, 145.24 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.925, 2, 144.23 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.926, 3, 152.22 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.928, 4, 143.09 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.929, 5, 149.03 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.929, 6, 142.07 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:08.931, 7, 145.55 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.932, 0, 203.43 W, 44, 1965 MHz, 0 %, 700 MiB
2026/03/17 11:50:10.936, 1, 147.37 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.940, 2, 146.64 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.942, 3, 154.19 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.944, 4, 145.44 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.946, 5, 151.20 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.948, 6, 144.34 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:10.948, 7, 147.76 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/17 11:50:12.950, 0, 200.61 W, 44, 1965 MHz, 0 %, 724 MiB
2026/03/17 11:50:12.953, 1, 189.57 W, 37, 1965 MHz, 0 %, 28 MiB
2026/03/17 11:50:12.961, 2, 189.21 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/17 11:50:12.967, 3, 207.29 W, 45, 1965 MHz, 0 %, 28 MiB
2026/03/17 11:50:12.972, 4, 189.11 W, 37, 1965 MHz, 0 %, 40 MiB
2026/03/17 11:50:12.979, 5, 196.62 W, 44, 1965 MHz, 0 %, 36 MiB
2026/03/17 11:50:12.983, 6, 189.97 W, 36, 1965 MHz, 0 %, 28 MiB
2026/03/17 11:50:12.983, 7, 194.63 W, 45, 1965 MHz, 0 %, 40 MiB
2026/03/17 11:50:14.985, 0, 200.04 W, 44, 1965 MHz, 2 %, 87234 MiB
2026/03/17 11:50:14.987, 1, 196.06 W, 37, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:14.992, 2, 193.46 W, 36, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:14.994, 3, 208.32 W, 45, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:15.001, 4, 194.00 W, 37, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:15.008, 5, 201.76 W, 44, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:15.013, 6, 191.61 W, 36, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:15.019, 7, 198.75 W, 45, 1965 MHz, 2 %, 86538 MiB
2026/03/17 11:50:17.019, 0, 199.44 W, 43, 1965 MHz, 0 %, 87234 MiB
2026/03/17 11:50:17.020, 1, 195.67 W, 37, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:17.020, 2, 193.30 W, 36, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:17.021, 3, 207.63 W, 45, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:17.021, 4, 193.78 W, 37, 1965 MHz, 0 %, 86538 MiB
2026/03/17 11:50:17.022, 5, 201.18 W, 43, 1965 MHz, 0 %, 86538 MiB
