timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 09:54:33.732, 0, 148.99 W, 45, 202 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.736, 1, 146.66 W, 39, 120 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.740, 2, 146.30 W, 38, 232 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.744, 3, 153.16 W, 47, 172 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.750, 4, 147.47 W, 39, 442 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.754, 5, 150.91 W, 46, 172 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.760, 6, 144.43 W, 38, 270 MHz, 0 %, 0 MiB
2026/03/19 09:54:33.764, 7, 146.78 W, 47, 127 MHz, 0 %, 0 MiB
2026/03/19 09:54:35.768, 0, 152.09 W, 45, 622 MHz, 0 %, 4 MiB
2026/03/19 09:54:35.771, 1, 149.79 W, 38, 750 MHz, 0 %, 4 MiB
2026/03/19 09:54:35.773, 2, 148.18 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/19 09:54:35.774, 3, 155.57 W, 46, 120 MHz, 0 %, 1 MiB
2026/03/19 09:54:35.774, 4, 147.66 W, 39, 180 MHz, 0 %, 1 MiB
2026/03/19 09:54:35.775, 5, 153.10 W, 46, 120 MHz, 0 %, 1 MiB
2026/03/19 09:54:35.779, 6, 145.69 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/19 09:54:35.781, 7, 148.86 W, 47, 120 MHz, 0 %, 1 MiB
2026/03/19 09:54:37.782, 0, 149.19 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.790, 1, 148.64 W, 38, 127 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.801, 2, 148.82 W, 37, 135 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.803, 3, 158.26 W, 46, 862 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.806, 4, 149.29 W, 39, 802 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.818, 5, 151.08 W, 45, 645 MHz, 0 %, 4 MiB
2026/03/19 09:54:37.829, 6, 142.90 W, 37, 120 MHz, 0 %, 1 MiB
