timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 12:13:47.360, 0, 140.82 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.364, 1, 141.50 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.367, 2, 141.45 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.371, 3, 143.88 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.375, 4, 139.85 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.378, 5, 143.29 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.382, 6, 139.65 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:47.386, 7, 139.07 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/19 12:13:49.389, 0, 141.80 W, 33, 645 MHz, 0 %, 4 MiB
2026/03/19 12:13:49.435, 1, 141.79 W, 31, 780 MHz, 0 %, 4 MiB
2026/03/19 12:13:49.443, 2, 141.37 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:49.444, 3, 144.06 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:49.444, 4, 139.95 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:49.445, 5, 143.31 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:49.445, 6, 139.63 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:49.446, 7, 138.99 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:51.447, 0, 142.54 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.471, 1, 144.45 W, 31, 142 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.482, 2, 146.59 W, 32, 172 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.484, 3, 147.53 W, 34, 682 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.485, 4, 143.58 W, 32, 772 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.497, 5, 145.18 W, 34, 862 MHz, 0 %, 4 MiB
2026/03/19 12:13:51.508, 6, 139.73 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:51.512, 7, 139.16 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 12:13:53.513, 0, 141.07 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.514, 1, 141.56 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.514, 2, 141.34 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.514, 3, 143.93 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.515, 4, 139.90 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.515, 5, 146.13 W, 34, 135 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.516, 6, 142.97 W, 31, 690 MHz, 0 %, 4 MiB
2026/03/19 12:13:53.516, 7, 142.50 W, 34, 757 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.517, 0, 140.87 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.517, 1, 141.51 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.518, 2, 141.47 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.518, 3, 143.85 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.518, 4, 139.87 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.519, 5, 143.32 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.519, 6, 139.63 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:55.519, 7, 139.21 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.520, 0, 141.15 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.521, 1, 142.83 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.521, 2, 142.40 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.522, 3, 143.96 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.522, 4, 139.86 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.522, 5, 143.31 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.523, 6, 141.57 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:57.523, 7, 139.25 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.523, 0, 141.00 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.524, 1, 141.53 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.525, 2, 141.49 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.525, 3, 144.01 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.525, 4, 139.96 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.526, 5, 143.24 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.526, 6, 139.64 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:13:59.526, 7, 139.16 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.527, 0, 190.37 W, 34, 1965 MHz, 0 %, 700 MiB
2026/03/19 12:14:01.599, 1, 141.57 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.602, 2, 141.45 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.603, 3, 143.89 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.616, 4, 139.86 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.629, 5, 143.30 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.633, 6, 139.77 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:01.726, 7, 139.15 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.728, 0, 190.23 W, 34, 1965 MHz, 0 %, 700 MiB
2026/03/19 12:14:03.737, 1, 141.52 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.744, 2, 141.47 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.752, 3, 143.96 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.761, 4, 139.97 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.765, 5, 143.44 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.770, 6, 139.69 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:03.778, 7, 139.17 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.785, 0, 190.04 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/19 12:14:05.786, 1, 141.60 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.787, 2, 141.59 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.787, 3, 143.90 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.789, 4, 139.88 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.789, 5, 143.23 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.796, 6, 139.60 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:05.804, 7, 139.07 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.811, 0, 190.35 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/19 12:14:07.812, 1, 141.66 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.813, 2, 141.37 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.813, 3, 143.87 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.813, 4, 140.05 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.814, 5, 143.26 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.814, 6, 139.62 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:07.815, 7, 139.07 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:09.815, 0, 190.44 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/19 12:14:09.822, 1, 141.66 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:09.828, 2, 141.40 W, 31, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:09.832, 3, 143.84 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:09.841, 4, 140.05 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 12:14:09.845, 5, 143.21 W, 34, 120 MHz, 0 %, 4 MiB
