timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 10:48:29.516, 0, 147.82 W, 44, 180 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.520, 1, 146.59 W, 38, 120 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.523, 2, 148.44 W, 38, 405 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.527, 3, 153.27 W, 45, 255 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.531, 4, 145.04 W, 38, 225 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.534, 5, 149.49 W, 44, 135 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.538, 6, 143.83 W, 37, 270 MHz, 0 %, 0 MiB
2026/03/21 10:48:29.542, 7, 145.21 W, 45, 135 MHz, 0 %, 0 MiB
2026/03/21 10:48:31.545, 0, 148.66 W, 43, 742 MHz, 0 %, 4 MiB
2026/03/21 10:48:31.547, 1, 146.27 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:31.547, 2, 145.71 W, 37, 165 MHz, 0 %, 1 MiB
2026/03/21 10:48:31.550, 3, 152.08 W, 45, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:31.554, 4, 144.11 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:31.557, 5, 149.18 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:31.574, 6, 142.82 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:31.665, 7, 145.23 W, 45, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:33.666, 0, 149.08 W, 43, 127 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.681, 1, 149.01 W, 37, 150 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.692, 2, 151.03 W, 37, 187 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.694, 3, 154.48 W, 44, 622 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.696, 4, 149.34 W, 37, 870 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.707, 5, 149.71 W, 43, 667 MHz, 0 %, 4 MiB
2026/03/21 10:48:33.720, 6, 142.50 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:33.723, 7, 145.12 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 10:48:35.724, 0, 146.80 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.725, 1, 145.62 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.725, 2, 144.55 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.725, 3, 151.37 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.726, 4, 143.68 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.726, 5, 150.35 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 10:48:35.726, 6, 148.08 W, 36, 885 MHz, 0 %, 4 MiB
