timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 13:15:04.946, 0, 150.83 W, 46, 307 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.950, 1, 146.59 W, 38, 120 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.953, 2, 145.87 W, 38, 202 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.957, 3, 154.11 W, 48, 150 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.962, 4, 145.29 W, 39, 225 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.965, 5, 150.99 W, 47, 120 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.969, 6, 143.75 W, 38, 262 MHz, 0 %, 0 MiB
2026/03/21 13:15:04.973, 7, 147.46 W, 48, 165 MHz, 0 %, 0 MiB
2026/03/21 13:15:06.976, 0, 150.80 W, 46, 877 MHz, 0 %, 4 MiB
2026/03/21 13:15:07.023, 1, 146.82 W, 38, 780 MHz, 0 %, 4 MiB
2026/03/21 13:15:07.023, 2, 145.35 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:07.024, 3, 153.62 W, 48, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:07.024, 4, 144.41 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:07.025, 5, 150.50 W, 46, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:07.027, 6, 143.20 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:07.029, 7, 147.25 W, 48, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:09.030, 0, 151.65 W, 45, 150 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.033, 1, 149.43 W, 38, 142 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.034, 2, 150.36 W, 37, 817 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.036, 3, 158.92 W, 47, 862 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.037, 4, 149.71 W, 38, 900 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.103, 5, 151.28 W, 46, 675 MHz, 0 %, 4 MiB
2026/03/21 13:15:09.115, 6, 142.83 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:09.117, 7, 146.93 W, 47, 120 MHz, 0 %, 1 MiB
2026/03/21 13:15:11.118, 0, 148.62 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.119, 1, 145.92 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.119, 2, 144.92 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.120, 3, 152.99 W, 47, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.120, 4, 144.05 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.121, 5, 152.05 W, 45, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.121, 6, 147.24 W, 37, 787 MHz, 0 %, 4 MiB
2026/03/21 13:15:11.121, 7, 150.03 W, 47, 757 MHz, 0 %, 4 MiB
2026/03/21 13:15:13.122, 0, 148.12 W, 44, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:13.122, 1, 145.63 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/21 13:15:13.123, 2, 144.87 W, 37, 120 MHz, 0 %, 4 MiB
