timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 09:14:41.642, 0, 146.00 W, 41, 232 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.646, 1, 144.74 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.650, 2, 145.04 W, 36, 277 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.657, 3, 149.95 W, 43, 157 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.661, 4, 143.34 W, 37, 210 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.664, 5, 149.75 W, 42, 367 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.668, 6, 141.89 W, 36, 172 MHz, 0 %, 0 MiB
2026/03/19 09:14:41.672, 7, 143.50 W, 43, 135 MHz, 0 %, 0 MiB
2026/03/19 09:14:43.675, 0, 147.54 W, 41, 810 MHz, 0 %, 4 MiB
2026/03/19 09:14:43.717, 1, 145.56 W, 36, 907 MHz, 0 %, 4 MiB
2026/03/19 09:14:43.718, 2, 144.14 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:43.718, 3, 149.56 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:43.719, 4, 142.72 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:43.721, 5, 147.82 W, 42, 150 MHz, 0 %, 1 MiB
2026/03/19 09:14:43.725, 6, 141.73 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:43.725, 7, 143.58 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:45.726, 0, 147.99 W, 41, 135 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.728, 1, 149.41 W, 36, 165 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.739, 2, 147.62 W, 36, 150 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.741, 3, 153.85 W, 42, 780 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.743, 4, 147.26 W, 36, 802 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.754, 5, 148.91 W, 41, 735 MHz, 0 %, 4 MiB
2026/03/19 09:14:45.766, 6, 141.48 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:45.767, 7, 143.41 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/19 09:14:47.770, 0, 145.47 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/19 09:14:47.829, 1, 144.84 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 09:14:47.841, 2, 144.03 W, 35, 120 MHz, 0 %, 4 MiB
