timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 18:49:39.558, 0, 142.09 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.562, 1, 142.46 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.566, 2, 142.35 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.570, 3, 145.30 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.573, 4, 140.73 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.577, 5, 143.87 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.581, 6, 139.88 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:39.584, 7, 140.03 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/19 18:49:41.588, 0, 142.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:41.640, 1, 143.43 W, 32, 877 MHz, 0 %, 4 MiB
2026/03/19 18:49:41.640, 2, 142.24 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:41.641, 3, 145.37 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:41.641, 4, 140.66 W, 33, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:41.641, 5, 143.87 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:41.642, 6, 139.97 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:41.642, 7, 140.04 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:43.645, 0, 144.49 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.672, 1, 148.22 W, 32, 150 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.700, 2, 149.12 W, 32, 165 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.768, 3, 150.16 W, 35, 600 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.780, 4, 145.51 W, 33, 570 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.781, 5, 149.17 W, 35, 922 MHz, 0 %, 4 MiB
2026/03/19 18:49:43.783, 6, 142.27 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:43.784, 7, 142.50 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 18:49:45.784, 0, 142.11 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.785, 1, 142.41 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.786, 2, 142.24 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.786, 3, 145.22 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.787, 4, 140.60 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.787, 5, 146.23 W, 35, 142 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.787, 6, 144.52 W, 32, 787 MHz, 0 %, 4 MiB
2026/03/19 18:49:45.788, 7, 142.98 W, 36, 690 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.788, 0, 142.23 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.789, 1, 142.37 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.789, 2, 142.08 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.790, 3, 145.16 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.790, 4, 140.54 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.790, 5, 143.87 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.791, 6, 139.80 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:47.791, 7, 140.17 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.792, 0, 142.04 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.792, 1, 142.48 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.793, 2, 142.27 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.793, 3, 145.13 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.794, 4, 140.57 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.794, 5, 143.77 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.794, 6, 139.75 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:49.795, 7, 139.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.795, 0, 149.71 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:49:51.796, 1, 142.38 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.796, 2, 142.07 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.797, 3, 145.08 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.797, 4, 140.50 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.797, 5, 143.65 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.798, 6, 139.79 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:51.798, 7, 139.84 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.799, 0, 191.89 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:49:53.812, 1, 142.24 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.825, 2, 142.12 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.841, 3, 145.08 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.841, 4, 140.66 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.867, 5, 144.16 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.879, 6, 139.80 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:53.894, 7, 139.88 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.894, 0, 191.80 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:49:55.895, 1, 142.19 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.895, 2, 142.06 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.896, 3, 144.94 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.896, 4, 140.46 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.896, 5, 144.11 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.897, 6, 139.76 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:55.897, 7, 139.91 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.897, 0, 191.64 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:49:57.898, 1, 142.22 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.899, 2, 142.05 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.899, 3, 145.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.899, 4, 140.60 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.900, 5, 144.20 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.900, 6, 139.69 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:57.901, 7, 139.90 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.901, 0, 191.68 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:49:59.902, 1, 142.29 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.902, 2, 142.05 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.903, 3, 145.00 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.903, 4, 140.44 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.904, 5, 144.07 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.904, 6, 139.77 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:49:59.905, 7, 139.76 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.905, 0, 191.75 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:50:01.907, 1, 142.26 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.914, 2, 142.02 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.921, 3, 144.91 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.927, 4, 140.37 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.934, 5, 144.04 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.939, 6, 139.74 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:01.948, 7, 139.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.955, 0, 191.91 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 18:50:03.956, 1, 142.17 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.957, 2, 141.97 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.958, 3, 144.90 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.959, 4, 140.41 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.960, 5, 144.01 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.960, 6, 139.68 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:03.961, 7, 139.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 18:50:05.961, 0, 191.98 W, 36, 1965 MHz, 0 %, 1326 MiB
2026/03/19 18:50:05.962, 1, 191.96 W, 33, 1965 MHz, 0 %, 630 MiB
2026/03/19 18:50:05.962, 2, 190.48 W, 33, 1965 MHz, 1 %, 630 MiB
2026/03/19 18:50:05.963, 3, 196.97 W, 36, 1965 MHz, 0 %, 630 MiB
2026/03/19 18:50:05.963, 4, 190.37 W, 33, 1965 MHz, 0 %, 630 MiB
2026/03/19 18:50:05.963, 5, 193.93 W, 36, 1965 MHz, 0 %, 630 MiB
2026/03/19 18:50:05.964, 6, 188.83 W, 33, 1965 MHz, 1 %, 630 MiB
2026/03/19 18:50:05.964, 7, 189.82 W, 36, 1965 MHz, 0 %, 630 MiB
2026/03/19 18:50:07.964, 0, 191.84 W, 36, 1965 MHz, 0 %, 3370 MiB
2026/03/19 18:50:07.969, 1, 192.04 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:07.980, 2, 190.47 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:07.992, 3, 197.27 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:08.003, 4, 190.57 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:08.014, 5, 194.05 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:08.026, 6, 188.93 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:08.026, 7, 189.72 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.037, 0, 191.78 W, 36, 1965 MHz, 0 %, 3370 MiB
2026/03/19 18:50:10.057, 1, 192.12 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.102, 2, 190.64 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.113, 3, 197.16 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.180, 4, 190.46 W, 34, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.193, 5, 193.97 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.204, 6, 189.01 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:10.216, 7, 189.65 W, 37, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:12.227, 0, 191.78 W, 36, 1965 MHz, 0 %, 3370 MiB
2026/03/19 18:50:12.290, 1, 192.03 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:12.313, 2, 190.59 W, 33, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:12.368, 3, 197.16 W, 36, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:12.391, 4, 190.56 W, 34, 1965 MHz, 0 %, 2674 MiB
2026/03/19 18:50:12.425, 5, 194.06 W, 36, 1965 MHz, 0 %, 2674 MiB
