timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 03:54:37.335, 0, 141.85 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.339, 1, 142.31 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.342, 2, 142.22 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.346, 3, 144.89 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.349, 4, 140.50 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.353, 5, 144.00 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.357, 6, 139.86 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:37.360, 7, 139.89 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/22 03:54:39.364, 0, 141.76 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:39.419, 1, 143.04 W, 32, 750 MHz, 0 %, 4 MiB
2026/03/22 03:54:39.419, 2, 141.96 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:39.420, 3, 144.76 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:39.420, 4, 140.40 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:39.421, 5, 143.86 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:39.423, 6, 139.56 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:39.423, 7, 139.73 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:41.427, 0, 141.49 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.429, 1, 145.16 W, 32, 142 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.430, 2, 145.56 W, 32, 682 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.431, 3, 150.39 W, 34, 877 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.443, 4, 142.92 W, 32, 607 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.455, 5, 145.60 W, 34, 832 MHz, 0 %, 4 MiB
2026/03/22 03:54:41.458, 6, 139.73 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:41.459, 7, 139.65 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 03:54:43.461, 0, 141.45 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.461, 1, 142.14 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.462, 2, 141.84 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.462, 3, 144.62 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.463, 4, 140.27 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.463, 5, 145.80 W, 34, 127 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.463, 6, 144.12 W, 31, 795 MHz, 0 %, 4 MiB
2026/03/22 03:54:43.464, 7, 142.56 W, 35, 622 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.464, 0, 141.58 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.465, 1, 142.01 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.465, 2, 141.81 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.466, 3, 144.56 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.466, 4, 140.36 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.466, 5, 143.72 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 03:54:45.467, 6, 139.61 W, 31, 120 MHz, 0 %, 4 MiB
