timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 20:15:55.730, 0, 142.10 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.734, 1, 142.67 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.738, 2, 142.23 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.741, 3, 145.41 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.745, 4, 140.88 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.749, 5, 144.43 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.753, 6, 139.95 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:55.756, 7, 139.96 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/19 20:15:57.760, 0, 142.09 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:15:57.766, 1, 142.77 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:15:57.767, 2, 142.18 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:57.769, 3, 145.25 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:57.770, 4, 140.68 W, 33, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:57.771, 5, 144.39 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:57.842, 6, 140.04 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:57.853, 7, 140.15 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:59.855, 0, 142.16 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.863, 1, 146.98 W, 32, 172 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.874, 2, 146.43 W, 32, 720 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.886, 3, 149.98 W, 35, 780 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.888, 4, 145.60 W, 33, 870 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.889, 5, 145.15 W, 35, 735 MHz, 0 %, 4 MiB
2026/03/19 20:15:59.901, 6, 139.82 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:15:59.912, 7, 140.18 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 20:16:01.914, 0, 144.38 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.915, 1, 144.86 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.915, 2, 144.84 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.915, 3, 147.73 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.916, 4, 143.14 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.916, 5, 149.51 W, 35, 135 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.917, 6, 145.21 W, 32, 667 MHz, 0 %, 4 MiB
2026/03/19 20:16:01.917, 7, 146.11 W, 36, 787 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.917, 0, 141.83 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.918, 1, 142.55 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.918, 2, 142.15 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.919, 3, 145.13 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.919, 4, 140.61 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.920, 5, 144.25 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.920, 6, 139.75 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:03.920, 7, 140.31 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.921, 0, 141.86 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.922, 1, 142.45 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.923, 2, 142.08 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.924, 3, 145.07 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.925, 4, 140.67 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.925, 5, 144.26 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.925, 6, 139.73 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:05.926, 7, 140.03 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.926, 0, 145.04 W, 35, 1965 MHz, 0 %, 28 MiB
2026/03/19 20:16:07.933, 1, 142.44 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.934, 2, 142.04 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.934, 3, 145.05 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.935, 4, 140.52 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.936, 5, 144.20 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.937, 6, 139.86 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:07.937, 7, 139.97 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:09.938, 0, 191.89 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 20:16:09.966, 1, 142.16 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:09.991, 2, 142.01 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:10.004, 3, 145.09 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:10.028, 4, 140.56 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:10.041, 5, 144.34 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:10.053, 6, 139.74 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:10.053, 7, 140.11 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.065, 0, 191.97 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 20:16:12.066, 1, 142.17 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.067, 2, 142.18 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.067, 3, 145.03 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.067, 4, 140.54 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.068, 5, 144.23 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:16:12.068, 6, 139.72 W, 32, 120 MHz, 0 %, 4 MiB
