timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/18 09:19:13.732, 0, 144.40 W, 38, 120 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.736, 1, 144.79 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.740, 2, 144.54 W, 35, 225 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.743, 3, 149.10 W, 39, 262 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.747, 4, 142.71 W, 35, 172 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.751, 5, 146.84 W, 39, 202 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.754, 6, 141.92 W, 34, 225 MHz, 0 %, 0 MiB
2026/03/18 09:19:13.758, 7, 144.34 W, 39, 300 MHz, 0 %, 0 MiB
2026/03/18 09:19:15.761, 0, 144.68 W, 38, 577 MHz, 0 %, 4 MiB
2026/03/18 09:19:15.772, 1, 144.78 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:15.784, 2, 144.09 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:15.785, 3, 148.02 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:15.789, 4, 142.44 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:15.789, 5, 146.32 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:15.793, 6, 141.50 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:15.794, 7, 142.68 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:17.794, 0, 145.53 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.798, 1, 147.60 W, 34, 142 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.799, 2, 147.07 W, 34, 630 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.800, 3, 151.47 W, 38, 697 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.869, 4, 145.88 W, 34, 802 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.880, 5, 146.71 W, 38, 742 MHz, 0 %, 4 MiB
2026/03/18 09:19:17.882, 6, 141.13 W, 33, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:17.883, 7, 142.31 W, 38, 120 MHz, 0 %, 1 MiB
2026/03/18 09:19:19.895, 0, 143.62 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.896, 1, 144.15 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.896, 2, 143.62 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.897, 3, 147.30 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.897, 4, 142.01 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.898, 5, 148.44 W, 37, 127 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.898, 6, 145.55 W, 33, 757 MHz, 0 %, 4 MiB
2026/03/18 09:19:19.898, 7, 145.97 W, 38, 915 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.899, 0, 145.69 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.899, 1, 146.03 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.900, 2, 144.85 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.900, 3, 147.09 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.900, 4, 141.74 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.901, 5, 145.14 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.901, 6, 141.10 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:21.901, 7, 144.98 W, 38, 127 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.902, 0, 143.11 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.902, 1, 143.57 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.903, 2, 143.12 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.903, 3, 146.71 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.904, 4, 141.46 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.904, 5, 144.92 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.904, 6, 140.58 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:23.905, 7, 141.54 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.905, 0, 142.85 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.906, 1, 143.43 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.906, 2, 142.90 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.906, 3, 146.48 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.907, 4, 141.24 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.907, 5, 144.77 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.907, 6, 140.63 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:25.908, 7, 141.28 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.908, 0, 193.21 W, 37, 1965 MHz, 0 %, 700 MiB
2026/03/18 09:19:27.922, 1, 143.40 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.923, 2, 142.94 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.936, 3, 146.38 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.949, 4, 141.34 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.963, 5, 144.95 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.979, 6, 140.40 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:27.992, 7, 141.26 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.008, 0, 193.53 W, 37, 1965 MHz, 0 %, 700 MiB
2026/03/18 09:19:30.008, 1, 143.29 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.009, 2, 142.88 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.009, 3, 146.24 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.010, 4, 141.24 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.010, 5, 144.74 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.010, 6, 140.40 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:30.011, 7, 141.10 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.011, 0, 193.12 W, 37, 1965 MHz, 0 %, 700 MiB
2026/03/18 09:19:32.012, 1, 143.45 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.013, 2, 142.70 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.013, 3, 146.26 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.013, 4, 141.15 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.014, 5, 144.66 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 09:19:32.014, 6, 140.32 W, 32, 120 MHz, 0 %, 4 MiB
