timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/18 10:04:05.150, 0, 147.34 W, 42, 172 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.153, 1, 145.82 W, 37, 120 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.157, 2, 148.17 W, 37, 345 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.161, 3, 152.00 W, 44, 187 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.165, 4, 143.98 W, 37, 187 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.168, 5, 149.18 W, 43, 217 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.172, 6, 143.65 W, 37, 285 MHz, 0 %, 0 MiB
2026/03/18 10:04:05.176, 7, 144.84 W, 44, 157 MHz, 0 %, 0 MiB
2026/03/18 10:04:07.179, 0, 148.24 W, 42, 742 MHz, 0 %, 4 MiB
2026/03/18 10:04:07.180, 1, 146.82 W, 37, 682 MHz, 0 %, 4 MiB
2026/03/18 10:04:07.180, 2, 145.54 W, 37, 135 MHz, 0 %, 1 MiB
2026/03/18 10:04:07.181, 3, 151.21 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:07.182, 4, 143.64 W, 37, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:07.184, 5, 148.54 W, 42, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:07.184, 6, 142.77 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:07.187, 7, 144.59 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:09.188, 0, 148.19 W, 41, 127 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.190, 1, 147.61 W, 36, 127 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.202, 2, 150.71 W, 36, 180 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.203, 3, 155.55 W, 43, 780 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.204, 4, 148.35 W, 36, 847 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.205, 5, 150.01 W, 42, 832 MHz, 0 %, 4 MiB
2026/03/18 10:04:09.206, 6, 142.29 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:09.272, 7, 144.32 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/18 10:04:11.284, 0, 145.99 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.291, 1, 145.13 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.293, 2, 144.44 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.305, 3, 150.30 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.307, 4, 143.18 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.320, 5, 150.24 W, 41, 142 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.332, 6, 146.16 W, 35, 720 MHz, 0 %, 4 MiB
2026/03/18 10:04:11.343, 7, 146.25 W, 42, 757 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.344, 0, 145.83 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.345, 1, 144.90 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.345, 2, 144.10 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.345, 3, 149.81 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.346, 4, 142.90 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.346, 5, 147.71 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.347, 6, 141.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:13.347, 7, 144.74 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.347, 0, 145.65 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.348, 1, 144.66 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.348, 2, 144.18 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.349, 3, 149.83 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.349, 4, 142.71 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.349, 5, 147.53 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.350, 6, 141.85 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:15.350, 7, 143.34 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.351, 0, 145.41 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.351, 1, 144.89 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.352, 2, 144.35 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.352, 3, 149.54 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.352, 4, 142.56 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.353, 5, 147.30 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.353, 6, 141.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:17.353, 7, 143.12 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.354, 0, 196.97 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/18 10:04:19.437, 1, 144.56 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.450, 2, 144.15 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.465, 3, 149.43 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.481, 4, 142.60 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.494, 5, 147.20 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.495, 6, 141.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:19.509, 7, 143.05 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.509, 0, 196.85 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/18 10:04:21.517, 1, 144.49 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.520, 2, 144.02 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.528, 3, 149.09 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.541, 4, 142.36 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.552, 5, 146.92 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.554, 6, 141.40 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:21.561, 7, 142.72 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:23.567, 0, 198.98 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/18 10:04:23.570, 1, 146.73 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:23.576, 2, 146.19 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:23.578, 3, 151.24 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:23.580, 4, 144.63 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 10:04:23.581, 5, 149.09 W, 39, 120 MHz, 0 %, 4 MiB
