timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/18 13:36:27.817, 0, 147.11 W, 40, 315 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.821, 1, 145.35 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.828, 2, 144.17 W, 35, 150 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.831, 3, 149.10 W, 41, 165 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.835, 4, 143.00 W, 36, 217 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.839, 5, 147.75 W, 40, 217 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.842, 6, 142.42 W, 35, 240 MHz, 0 %, 0 MiB
2026/03/18 13:36:27.846, 7, 143.10 W, 41, 165 MHz, 0 %, 0 MiB
2026/03/18 13:36:29.851, 0, 146.28 W, 39, 607 MHz, 0 %, 4 MiB
2026/03/18 13:36:29.890, 1, 145.70 W, 35, 907 MHz, 0 %, 4 MiB
2026/03/18 13:36:29.890, 2, 144.62 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:29.890, 3, 149.09 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:29.891, 4, 142.83 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:29.891, 5, 147.21 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:29.894, 6, 141.99 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:29.897, 7, 142.92 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:31.898, 0, 148.62 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.942, 1, 151.12 W, 35, 157 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.954, 2, 150.47 W, 35, 142 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.955, 3, 155.76 W, 40, 765 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.958, 4, 147.68 W, 35, 607 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.970, 5, 150.38 W, 39, 637 MHz, 0 %, 4 MiB
2026/03/18 13:36:31.982, 6, 144.20 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:31.983, 7, 145.32 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/18 13:36:33.984, 0, 144.64 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.985, 1, 144.66 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.986, 2, 144.13 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.986, 3, 148.61 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.986, 4, 142.52 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.987, 5, 148.35 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.987, 6, 146.13 W, 34, 787 MHz, 0 %, 4 MiB
2026/03/18 13:36:33.987, 7, 147.46 W, 40, 847 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.988, 0, 144.31 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.989, 1, 144.43 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.989, 2, 143.85 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.989, 3, 148.17 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.990, 4, 142.24 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.990, 5, 146.22 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.991, 6, 141.20 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:35.991, 7, 142.77 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.991, 0, 144.13 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.992, 1, 144.14 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.992, 2, 143.72 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.993, 3, 147.79 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.993, 4, 142.00 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.994, 5, 145.98 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.994, 6, 141.10 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:37.995, 7, 142.35 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.996, 0, 143.99 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.996, 1, 143.90 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.997, 2, 143.73 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.997, 3, 147.67 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.997, 4, 141.87 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.998, 5, 145.87 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.998, 6, 140.97 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:39.998, 7, 142.17 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:41.999, 0, 194.85 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/18 13:36:42.009, 1, 143.98 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:42.022, 2, 143.49 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:42.034, 3, 147.55 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:42.047, 4, 141.80 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/18 13:36:42.075, 5, 145.76 W, 38, 120 MHz, 0 %, 4 MiB
