timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 13:13:16.083, 0, 144.52 W, 39, 127 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.087, 1, 147.43 W, 35, 382 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.090, 2, 144.83 W, 35, 195 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.094, 3, 149.36 W, 40, 255 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.098, 4, 143.16 W, 35, 142 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.101, 5, 147.39 W, 40, 195 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.105, 6, 142.77 W, 35, 300 MHz, 0 %, 0 MiB
2026/03/19 13:13:16.109, 7, 142.56 W, 40, 180 MHz, 0 %, 0 MiB
2026/03/19 13:13:18.115, 0, 145.26 W, 38, 742 MHz, 0 %, 4 MiB
2026/03/19 13:13:18.122, 1, 145.34 W, 35, 907 MHz, 0 %, 4 MiB
2026/03/19 13:13:18.134, 2, 144.09 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:18.136, 3, 148.49 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:18.137, 4, 142.74 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:18.138, 5, 146.95 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:18.138, 6, 141.85 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:18.150, 7, 142.79 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:20.152, 0, 146.97 W, 38, 135 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.178, 1, 149.53 W, 34, 165 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.189, 2, 151.09 W, 34, 195 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.191, 3, 152.35 W, 39, 727 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.193, 4, 147.47 W, 35, 885 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.205, 5, 146.97 W, 39, 735 MHz, 0 %, 4 MiB
2026/03/19 13:13:20.216, 6, 141.37 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:20.217, 7, 142.63 W, 39, 120 MHz, 0 %, 1 MiB
2026/03/19 13:13:22.221, 0, 143.57 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.259, 1, 144.23 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.277, 2, 143.75 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.302, 3, 147.70 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.303, 4, 142.47 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.304, 5, 149.23 W, 38, 135 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.305, 6, 143.98 W, 34, 592 MHz, 0 %, 4 MiB
2026/03/19 13:13:22.370, 7, 144.78 W, 39, 757 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.381, 0, 143.16 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.382, 1, 143.99 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.382, 2, 143.43 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.383, 3, 147.25 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.383, 4, 141.95 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.383, 5, 145.99 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.384, 6, 140.84 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:24.384, 7, 143.10 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.384, 0, 143.02 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.385, 1, 143.75 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.385, 2, 143.17 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.386, 3, 146.91 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.386, 4, 141.91 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.387, 5, 145.75 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.387, 6, 140.67 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:26.387, 7, 141.80 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.388, 0, 142.98 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.388, 1, 143.74 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.389, 2, 143.12 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.389, 3, 146.81 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.389, 4, 141.71 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.390, 5, 145.60 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.390, 6, 140.60 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:28.390, 7, 141.67 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.391, 0, 193.91 W, 38, 1965 MHz, 0 %, 700 MiB
2026/03/19 13:13:30.397, 1, 143.56 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.398, 2, 143.04 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.403, 3, 146.76 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.407, 4, 141.73 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.488, 5, 145.69 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.488, 6, 140.61 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:30.647, 7, 141.53 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.658, 0, 193.99 W, 38, 1965 MHz, 0 %, 700 MiB
2026/03/19 13:13:32.658, 1, 143.46 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.659, 2, 143.01 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.659, 3, 146.51 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.660, 4, 141.53 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.660, 5, 145.41 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.660, 6, 140.69 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:32.661, 7, 141.46 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.661, 0, 193.64 W, 38, 1965 MHz, 0 %, 700 MiB
2026/03/19 13:13:34.662, 1, 143.32 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.662, 2, 142.81 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.663, 3, 146.45 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.663, 4, 141.46 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.663, 5, 145.41 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.664, 6, 140.46 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:34.664, 7, 141.51 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.665, 0, 193.55 W, 38, 1965 MHz, 0 %, 700 MiB
2026/03/19 13:13:36.666, 1, 143.18 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.667, 2, 142.86 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.667, 3, 146.26 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.667, 4, 141.39 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.668, 5, 145.23 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.668, 6, 140.32 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:36.668, 7, 141.29 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.669, 0, 193.57 W, 38, 1965 MHz, 0 %, 700 MiB
2026/03/19 13:13:38.670, 1, 143.30 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.671, 2, 142.74 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.673, 3, 146.21 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.674, 4, 141.37 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.675, 5, 145.11 W, 37, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.677, 6, 140.36 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/19 13:13:38.678, 7, 141.23 W, 38, 120 MHz, 0 %, 4 MiB
