timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/21 22:25:13.865, 0, 146.40 W, 43, 120 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.868, 1, 145.55 W, 37, 232 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.872, 2, 144.15 W, 36, 150 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.876, 3, 151.09 W, 44, 150 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.879, 4, 143.28 W, 37, 210 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.883, 5, 151.38 W, 43, 442 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.887, 6, 142.62 W, 36, 217 MHz, 0 %, 0 MiB
2026/03/21 22:25:13.890, 7, 144.68 W, 44, 135 MHz, 0 %, 0 MiB
2026/03/21 22:25:15.895, 0, 148.32 W, 42, 810 MHz, 0 %, 4 MiB
2026/03/21 22:25:15.904, 1, 145.70 W, 36, 585 MHz, 0 %, 4 MiB
2026/03/21 22:25:15.904, 2, 144.24 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:15.905, 3, 150.90 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:15.905, 4, 143.02 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:15.905, 5, 149.11 W, 43, 165 MHz, 0 %, 1 MiB
2026/03/21 22:25:15.906, 6, 142.11 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:15.907, 7, 144.68 W, 44, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:17.910, 0, 148.86 W, 42, 135 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.928, 1, 146.59 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.939, 2, 150.13 W, 36, 187 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.944, 3, 154.09 W, 43, 652 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.945, 4, 147.92 W, 36, 847 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.957, 5, 149.66 W, 43, 735 MHz, 0 %, 4 MiB
2026/03/21 22:25:17.968, 6, 141.95 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:17.970, 7, 144.24 W, 43, 120 MHz, 0 %, 1 MiB
2026/03/21 22:25:19.971, 0, 146.12 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.971, 1, 145.01 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.972, 2, 144.53 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.972, 3, 150.16 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.973, 4, 142.77 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.973, 5, 149.98 W, 42, 127 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.973, 6, 145.02 W, 35, 667 MHz, 0 %, 4 MiB
2026/03/21 22:25:19.974, 7, 148.48 W, 43, 847 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.974, 0, 145.83 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.975, 1, 144.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.975, 2, 144.07 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.976, 3, 149.79 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.976, 4, 142.44 W, 36, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.976, 5, 147.68 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.977, 6, 141.73 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:21.977, 7, 144.14 W, 43, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.977, 0, 145.67 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.979, 1, 144.64 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.979, 2, 144.01 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.979, 3, 149.63 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.980, 4, 142.35 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.980, 5, 147.45 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.980, 6, 141.69 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:23.981, 7, 143.54 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.981, 0, 147.96 W, 41, 120 MHz, 0 %, 26 MiB
2026/03/21 22:25:25.992, 1, 146.75 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.993, 2, 146.45 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.993, 3, 151.99 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.994, 4, 144.96 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.995, 5, 149.99 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.995, 6, 143.78 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:25.996, 7, 146.00 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:27.997, 0, 197.49 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:28.011, 1, 144.22 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.026, 2, 143.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.038, 3, 149.10 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.064, 4, 142.35 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.077, 5, 147.04 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.079, 6, 141.39 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:28.093, 7, 143.19 W, 42, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.105, 0, 197.32 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:30.110, 1, 144.10 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.116, 2, 143.63 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.116, 3, 148.89 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.117, 4, 142.10 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.118, 5, 147.28 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.118, 6, 141.36 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:30.118, 7, 143.07 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.119, 0, 197.51 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:32.124, 1, 143.97 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.129, 2, 143.41 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.136, 3, 149.07 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.137, 4, 141.99 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.137, 5, 147.09 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.138, 6, 141.20 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:32.139, 7, 142.85 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.140, 0, 197.12 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:34.140, 1, 144.03 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.141, 2, 143.36 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.141, 3, 148.80 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.141, 4, 141.92 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.142, 5, 146.84 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.142, 6, 141.08 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:34.142, 7, 142.62 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.143, 0, 196.91 W, 41, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:36.151, 1, 143.79 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.159, 2, 143.21 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.161, 3, 148.56 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.162, 4, 141.76 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.164, 5, 146.81 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.165, 6, 140.99 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:36.166, 7, 142.63 W, 41, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.176, 0, 196.67 W, 40, 1965 MHz, 0 %, 700 MiB
2026/03/21 22:25:38.176, 1, 143.70 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.178, 2, 143.18 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.184, 3, 148.27 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.185, 4, 141.88 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.186, 5, 146.54 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.186, 6, 140.99 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:38.186, 7, 142.82 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/21 22:25:40.187, 0, 196.52 W, 40, 1965 MHz, 0 %, 724 MiB
2026/03/21 22:25:40.193, 1, 172.24 W, 35, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:40.198, 2, 171.88 W, 35, 1965 MHz, 0 %, 27 MiB
2026/03/21 22:25:40.205, 3, 178.10 W, 41, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:40.212, 4, 172.03 W, 35, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:40.218, 5, 177.99 W, 40, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:40.225, 6, 168.56 W, 34, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:40.232, 7, 174.09 W, 41, 1965 MHz, 0 %, 28 MiB
2026/03/21 22:25:42.241, 0, 196.90 W, 40, 1965 MHz, 0 %, 26704 MiB
2026/03/21 22:25:42.242, 1, 194.32 W, 35, 1965 MHz, 0 %, 87964 MiB
