timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/22 01:35:43.769, 0, 145.52 W, 40, 165 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.773, 1, 145.57 W, 36, 172 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.777, 2, 144.79 W, 35, 127 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.780, 3, 151.16 W, 41, 300 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.784, 4, 143.21 W, 36, 135 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.789, 5, 148.34 W, 41, 270 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.793, 6, 142.36 W, 35, 195 MHz, 0 %, 0 MiB
2026/03/22 01:35:43.796, 7, 143.48 W, 41, 180 MHz, 0 %, 0 MiB
2026/03/22 01:35:45.800, 0, 146.34 W, 39, 742 MHz, 0 %, 4 MiB
2026/03/22 01:35:45.845, 1, 145.87 W, 35, 720 MHz, 0 %, 4 MiB
2026/03/22 01:35:45.846, 2, 144.59 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:45.846, 3, 149.46 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:45.847, 4, 142.85 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:45.847, 5, 147.63 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:45.848, 6, 141.97 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:45.848, 7, 143.14 W, 41, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:47.850, 0, 146.99 W, 39, 127 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.856, 1, 147.42 W, 35, 135 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.858, 2, 148.87 W, 35, 157 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.859, 3, 153.99 W, 40, 825 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.871, 4, 145.39 W, 35, 607 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.883, 5, 148.91 W, 39, 765 MHz, 0 %, 4 MiB
2026/03/22 01:35:47.884, 6, 141.82 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:47.886, 7, 143.18 W, 40, 120 MHz, 0 %, 1 MiB
2026/03/22 01:35:49.888, 0, 144.39 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.889, 1, 144.49 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.889, 2, 144.01 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.890, 3, 148.40 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.890, 4, 142.44 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.890, 5, 149.01 W, 39, 127 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.891, 6, 146.15 W, 34, 795 MHz, 0 %, 4 MiB
2026/03/22 01:35:49.891, 7, 145.89 W, 40, 690 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.892, 0, 144.40 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.892, 1, 144.35 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.893, 2, 143.68 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.893, 3, 148.24 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.894, 4, 142.39 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.894, 5, 146.52 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.894, 6, 141.24 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:51.895, 7, 143.07 W, 40, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.895, 0, 144.13 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.896, 1, 144.39 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.896, 2, 143.76 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.897, 3, 147.93 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.897, 4, 142.17 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.897, 5, 146.44 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.898, 6, 141.16 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:53.898, 7, 142.58 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.899, 0, 144.01 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.899, 1, 144.11 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.900, 2, 143.46 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.900, 3, 147.71 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.900, 4, 142.05 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.901, 5, 146.26 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.901, 6, 141.05 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:55.901, 7, 142.44 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:57.902, 0, 195.07 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:35:57.983, 1, 144.05 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.003, 2, 143.49 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.019, 3, 147.58 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.099, 4, 142.05 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.111, 5, 146.12 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.136, 6, 141.12 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:35:58.230, 7, 142.28 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.231, 0, 194.90 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:36:00.241, 1, 143.84 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.245, 2, 143.37 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.263, 3, 147.42 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.271, 4, 141.90 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.279, 5, 146.10 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.283, 6, 140.93 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:00.290, 7, 142.34 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.291, 0, 194.67 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:36:02.293, 1, 143.78 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.297, 2, 143.21 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.301, 3, 147.25 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.302, 4, 141.96 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.302, 5, 145.80 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.303, 6, 140.85 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:02.303, 7, 142.02 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.303, 0, 197.42 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:36:04.304, 1, 145.95 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.304, 2, 145.74 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.305, 3, 149.67 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.305, 4, 144.27 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.306, 5, 148.21 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.306, 6, 143.18 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:04.306, 7, 144.34 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.307, 0, 194.95 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:36:06.307, 1, 143.57 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.308, 2, 143.02 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.308, 3, 146.98 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.309, 4, 141.61 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.309, 5, 145.53 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.310, 6, 140.62 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:06.310, 7, 141.82 W, 39, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.311, 0, 194.87 W, 39, 1965 MHz, 0 %, 700 MiB
2026/03/22 01:36:08.311, 1, 143.66 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.312, 2, 142.99 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.312, 3, 146.79 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.312, 4, 141.61 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.313, 5, 145.51 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.313, 6, 140.75 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:08.314, 7, 141.82 W, 38, 120 MHz, 0 %, 4 MiB
2026/03/22 01:36:10.314, 0, 194.65 W, 38, 1965 MHz, 0 %, 723 MiB
2026/03/22 01:36:10.317, 1, 165.95 W, 34, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:10.324, 2, 164.28 W, 34, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:10.332, 3, 168.85 W, 39, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:10.337, 4, 163.81 W, 34, 1965 MHz, 0 %, 28 MiB
2026/03/22 01:36:10.345, 5, 168.96 W, 38, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:10.352, 6, 165.74 W, 34, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:10.359, 7, 163.59 W, 39, 1965 MHz, 0 %, 27 MiB
2026/03/22 01:36:12.367, 0, 195.03 W, 38, 1965 MHz, 0 %, 26704 MiB
2026/03/22 01:36:12.368, 1, 194.32 W, 35, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:12.368, 2, 192.63 W, 34, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:12.369, 3, 201.57 W, 39, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:12.369, 4, 192.42 W, 35, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:12.369, 5, 197.02 W, 39, 1965 MHz, 0 %, 45694 MiB
2026/03/22 01:36:12.370, 6, 190.68 W, 34, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:12.370, 7, 193.28 W, 39, 1965 MHz, 0 %, 26008 MiB
2026/03/22 01:36:14.371, 0, 194.07 W, 38, 1965 MHz, 0 %, 88660 MiB
2026/03/22 01:36:14.377, 1, 193.65 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.383, 2, 191.90 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.391, 3, 200.53 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.396, 4, 191.83 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.405, 5, 196.44 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.413, 6, 190.02 W, 34, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:14.419, 7, 192.29 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.424, 0, 194.02 W, 38, 1965 MHz, 0 %, 88660 MiB
2026/03/22 01:36:16.434, 1, 193.54 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.438, 2, 191.80 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.443, 3, 200.55 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.447, 4, 191.85 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.453, 5, 196.27 W, 38, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.462, 6, 189.94 W, 34, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:16.467, 7, 192.14 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.472, 0, 193.97 W, 38, 1965 MHz, 0 %, 88660 MiB
2026/03/22 01:36:18.493, 1, 193.55 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.520, 2, 191.65 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.551, 3, 200.29 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.566, 4, 191.82 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.584, 5, 196.12 W, 38, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.598, 6, 190.83 W, 34, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:18.616, 7, 194.10 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.639, 0, 193.77 W, 38, 1965 MHz, 0 %, 88660 MiB
2026/03/22 01:36:20.672, 1, 193.40 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.695, 2, 191.67 W, 34, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.856, 3, 200.24 W, 39, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.903, 4, 191.72 W, 35, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.924, 5, 196.12 W, 38, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:20.990, 6, 189.99 W, 34, 1965 MHz, 0 %, 87964 MiB
2026/03/22 01:36:21.109, 7, 192.10 W, 39, 1965 MHz, 0 %, 87964 MiB
