timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/19 20:40:50.388, 0, 142.05 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.392, 1, 142.60 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.395, 2, 142.15 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.399, 3, 145.12 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.403, 4, 140.34 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.406, 5, 144.44 W, 35, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.410, 6, 139.80 W, 32, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:50.414, 7, 140.02 W, 36, 120 MHz, 0 %, 0 MiB
2026/03/19 20:40:52.417, 0, 142.86 W, 35, 675 MHz, 0 %, 4 MiB
2026/03/19 20:40:52.474, 1, 142.45 W, 32, 577 MHz, 0 %, 4 MiB
2026/03/19 20:40:52.476, 2, 142.33 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:52.476, 3, 145.13 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:52.477, 4, 140.59 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:52.477, 5, 144.21 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:52.479, 6, 139.84 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:52.479, 7, 139.84 W, 36, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:54.482, 0, 143.79 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.500, 1, 144.21 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.511, 2, 147.66 W, 32, 180 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.513, 3, 148.73 W, 35, 697 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.515, 4, 144.10 W, 33, 705 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.527, 5, 145.81 W, 35, 742 MHz, 0 %, 4 MiB
2026/03/19 20:40:54.539, 6, 139.72 W, 32, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:54.543, 7, 139.82 W, 35, 120 MHz, 0 %, 1 MiB
2026/03/19 20:40:56.543, 0, 141.99 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.544, 1, 142.43 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.544, 2, 142.13 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.545, 3, 145.16 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.545, 4, 140.70 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.545, 5, 146.18 W, 35, 127 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.546, 6, 145.00 W, 32, 832 MHz, 0 %, 4 MiB
2026/03/19 20:40:56.546, 7, 143.88 W, 36, 817 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.546, 0, 142.00 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.547, 1, 142.53 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.548, 2, 142.01 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.548, 3, 145.12 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.549, 4, 140.41 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.549, 5, 144.17 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.550, 6, 139.92 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:40:58.550, 7, 139.96 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.550, 0, 142.04 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.554, 1, 142.24 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.556, 2, 142.01 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.557, 3, 145.19 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.559, 4, 140.43 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.560, 5, 144.24 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.562, 6, 139.72 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:00.563, 7, 139.80 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.565, 0, 143.93 W, 34, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.566, 1, 144.29 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.566, 2, 143.21 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.567, 3, 146.68 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.567, 4, 142.08 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.567, 5, 146.50 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.568, 6, 140.92 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:02.568, 7, 142.14 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.569, 0, 191.35 W, 35, 1965 MHz, 0 %, 700 MiB
2026/03/19 20:41:04.638, 1, 142.24 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.643, 2, 142.04 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.657, 3, 144.93 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.672, 4, 140.42 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.686, 5, 144.08 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.701, 6, 139.67 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:04.704, 7, 139.74 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.716, 0, 191.29 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 20:41:06.717, 1, 142.23 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.718, 2, 142.01 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.718, 3, 144.91 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.718, 4, 140.48 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.719, 5, 144.04 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.719, 6, 139.60 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:06.720, 7, 139.99 W, 35, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:08.720, 0, 191.22 W, 36, 1965 MHz, 0 %, 700 MiB
2026/03/19 20:41:08.721, 1, 142.40 W, 32, 120 MHz, 0 %, 4 MiB
2026/03/19 20:41:08.721, 2, 141.95 W, 32, 120 MHz, 0 %, 4 MiB
