timestamp, index, power.draw [W], temperature.gpu, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
2026/03/17 06:23:31.066, 0, 140.04 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.070, 1, 140.96 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.074, 2, 140.50 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.078, 3, 143.03 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.082, 4, 138.85 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.085, 5, 142.14 W, 33, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.089, 6, 138.82 W, 31, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:31.092, 7, 138.04 W, 34, 120 MHz, 0 %, 0 MiB
2026/03/17 06:23:33.100, 0, 141.75 W, 33, 675 MHz, 0 %, 4 MiB
2026/03/17 06:23:33.113, 1, 141.85 W, 31, 780 MHz, 0 %, 4 MiB
2026/03/17 06:23:33.114, 2, 141.11 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:33.114, 3, 143.61 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:33.115, 4, 139.52 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:33.115, 5, 142.89 W, 33, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:33.119, 6, 139.27 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:33.122, 7, 138.85 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:35.123, 0, 142.47 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.125, 1, 144.73 W, 31, 142 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.127, 2, 144.85 W, 31, 150 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.128, 3, 148.98 W, 34, 847 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.129, 4, 143.01 W, 31, 675 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.130, 5, 143.86 W, 33, 637 MHz, 0 %, 4 MiB
2026/03/17 06:23:35.195, 6, 139.24 W, 31, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:35.207, 7, 138.66 W, 34, 120 MHz, 0 %, 1 MiB
2026/03/17 06:23:37.209, 0, 140.68 W, 33, 120 MHz, 0 %, 4 MiB
2026/03/17 06:23:37.210, 1, 141.59 W, 31, 120 MHz, 0 %, 4 MiB
