bs,count,avg_ms,min_ms,max_ms,p50_ms,p99_ms
1,1022,11.18,10.62,43.11,11.13,11.47
2,6,11.42,11.32,11.47,11.44,11.47
3,5,12.04,11.99,12.11,12.03,12.11
5,9,12.24,12.14,12.4,12.21,12.4
6,27,12.36,12.13,12.51,12.36,12.51
7,4,12.49,12.36,12.58,12.55,12.58
8,6,12.11,12.0,12.21,12.13,12.21
9,18,12.74,12.44,13.03,12.76,13.03
10,6,12.82,12.54,13.01,12.88,13.01
11,2,13.03,13.02,13.04,13.04,13.04
12,8,13.05,12.82,13.22,13.14,13.22
13,23,13.17,12.86,13.44,13.21,13.44
15,9,13.36,12.98,13.54,13.4,13.54
16,2,13.08,13.05,13.11,13.11,13.11
17,5,15.3,15.13,15.51,15.29,15.51
18,6,15.34,15.2,15.5,15.4,15.5
19,1,15.34,15.34,15.34,15.34,15.34
20,4,15.27,15.23,15.35,15.25,15.35
21,5,15.26,15.13,15.33,15.28,15.33
23,4,15.08,15.01,15.2,15.1,15.2
24,2,15.04,14.85,15.22,15.22,15.22
25,2,14.88,14.8,14.96,14.96,14.96
26,3,15.1,15.02,15.16,15.14,15.16
27,5,15.0,14.9,15.14,14.94,15.14
28,2,14.7,14.59,14.81,14.81,14.81
29,8,14.88,14.49,15.1,14.92,15.1
30,2,14.78,14.69,14.88,14.88,14.88
31,2,14.95,14.86,15.03,15.03,15.03
33,8,16.91,16.79,17.1,16.91,17.1
34,3,16.84,16.72,16.95,16.85,16.95
35,5,16.93,16.85,17.09,16.91,17.09
36,6,16.83,16.62,17.07,16.86,17.07
37,1,17.14,17.14,17.14,17.14,17.14
38,3,16.93,16.87,16.96,16.95,16.96
39,5,16.84,16.75,16.94,16.8,16.94
40,1,16.73,16.73,16.73,16.73,16.73
41,3,16.88,16.84,16.92,16.86,16.92
42,1,16.84,16.84,16.84,16.84,16.84
44,5,16.68,16.43,16.89,16.69,16.89
45,2,117.34,89.75,144.93,144.93,144.93
46,1,16.76,16.76,16.76,16.76,16.76
47,2,16.71,16.63,16.8,16.8,16.8
48,2,16.77,16.73,16.81,16.81,16.81
49,4,17.55,17.36,17.66,17.64,17.66
50,1,17.61,17.61,17.61,17.61,17.61
51,12,17.51,17.18,17.68,17.51,17.68
52,4,17.51,17.36,17.63,17.52,17.63
53,1,17.39,17.39,17.39,17.39,17.39
54,13,17.44,17.17,17.58,17.48,17.58
55,12,17.36,17.1,17.6,17.42,17.6
56,2,17.4,17.31,17.5,17.5,17.5
58,2,17.47,17.41,17.53,17.53,17.53
59,29,17.31,17.04,17.58,17.31,17.58
60,4,17.29,16.99,17.5,17.35,17.5
61,15,17.28,17.01,17.46,17.32,17.46
62,47,17.32,17.01,17.97,17.35,17.97
63,66,17.32,16.78,18.14,17.31,18.14
64,1573,17.22,16.06,86.78,17.16,18.16
