bs,count,avg_ms,min_ms,max_ms,p50_ms,p99_ms
1,990,10.21,9.56,16.77,10.27,10.48
8,18,12.73,12.41,13.1,12.73,13.1
9,11,14.67,14.37,15.01,14.59,15.01
10,3,14.61,14.51,14.71,14.62,14.71
11,33,14.58,14.33,15.21,14.55,15.21
12,3,14.44,14.31,14.6,14.4,14.6
13,1,14.73,14.73,14.73,14.73,14.73
14,2,14.59,14.49,14.69,14.69,14.69
15,50,14.86,14.49,15.4,14.82,15.4
16,13,15.09,14.65,15.32,15.11,15.32
17,9,18.03,17.71,18.21,18.11,18.21
19,9,17.81,17.54,18.12,17.84,18.12
20,1,17.79,17.79,17.79,17.79,17.79
21,22,17.62,17.22,17.95,17.66,17.95
22,9,17.56,17.19,18.01,17.5,18.01
23,1,17.86,17.86,17.86,17.86,17.86
24,1,17.36,17.36,17.36,17.36,17.36
25,2,17.31,17.17,17.45,17.45,17.45
26,12,17.15,16.73,17.62,17.16,17.62
27,15,17.31,16.96,17.79,17.3,17.79
28,1,17.5,17.5,17.5,17.5,17.5
29,8,17.41,17.07,17.76,17.47,17.76
30,1,17.51,17.51,17.51,17.51,17.51
31,1,17.73,17.73,17.73,17.73,17.73
32,14,17.59,17.14,17.97,17.69,17.97
33,3,19.88,19.68,20.1,19.85,20.1
34,8,19.96,19.66,20.09,20.03,20.09
35,6,20.0,19.67,20.24,20.12,20.24
38,7,19.8,19.51,20.12,19.8,20.12
39,1,20.0,20.0,20.0,20.0,20.0
40,23,20.01,19.71,20.25,20.04,20.25
41,8,20.19,19.84,20.5,20.21,20.5
42,1,20.4,20.4,20.4,20.4,20.4
43,4,20.29,19.63,20.62,20.53,20.62
44,5,20.24,20.01,20.44,20.26,20.44
45,2,20.27,20.24,20.31,20.31,20.31
46,20,20.07,19.71,20.45,20.09,20.45
47,3,19.74,19.59,19.9,19.73,19.9
48,3,19.65,19.44,19.86,19.65,19.86
49,4,21.06,20.96,21.2,21.11,21.2
50,34,21.09,20.81,21.56,21.05,21.56
51,3,21.14,21.11,21.18,21.13,21.18
52,8,21.28,20.86,21.47,21.39,21.47
54,9,21.3,20.89,21.66,21.27,21.66
55,1,21.01,21.01,21.01,21.01,21.01
56,14,21.23,20.99,21.71,21.18,21.71
57,5,21.28,21.01,21.7,21.19,21.7
58,12,21.15,20.91,21.49,21.14,21.49
59,26,21.34,20.95,21.89,21.33,21.89
60,17,21.47,21.11,21.96,21.5,21.96
61,11,21.39,20.89,22.41,21.16,22.41
62,98,21.72,20.94,22.88,21.69,22.88
63,461,21.81,20.88,22.8,21.8,22.64
64,8407,21.53,18.65,101.7,21.5,22.44
