req_id,output_len,ttft_ms,tpot_ms,decode_time_ms,e2e_latency_ms
0,990,357.24,26.82,26549.20,26906.44
1,901,356.98,25.05,22570.56,22927.54
2,954,1032.29,25.40,24229.18,25261.47
3,884,1031.93,23.79,21032.89,22064.82
4,988,1031.45,26.10,25786.49,26817.94
5,885,1031.16,23.80,21062.43,22093.59
6,933,1030.84,24.99,23315.20,24346.04
7,911,1030.80,24.56,22370.35,23401.14
8,897,1030.17,24.13,21646.44,22676.61
9,919,1029.79,24.70,22697.35,23727.14
10,978,1029.54,25.89,25322.98,26352.52
11,997,1029.63,26.33,26253.94,27283.57
12,993,1028.57,26.27,26088.60,27117.17
13,912,1028.61,24.55,22392.09,23420.70
14,933,1028.70,24.99,23315.44,24344.14
15,980,1726.39,25.21,24710.04,26436.43
16,831,1027.54,23.51,19538.76,20566.29
17,899,1725.17,23.48,21109.04,22834.22
18,885,1724.65,23.01,20365.32,22089.97
19,1019,1026.50,26.65,27157.21,28183.71
20,944,1724.51,24.60,23222.99,24947.49
21,957,1724.42,24.87,23803.47,25527.89
22,931,1723.56,24.20,22531.45,24255.01
23,974,1723.55,25.11,24455.49,26179.05
24,1003,1722.56,25.71,25787.00,27509.56
25,939,1722.59,24.44,22950.55,24673.14
26,884,1024.39,23.79,21033.62,22058.01
27,1011,1722.61,25.82,26102.82,27825.43
28,1016,2541.43,25.05,25452.14,27993.57
29,907,2541.03,22.76,20646.30,23187.33
30,853,2539.50,21.96,18733.36,21272.86
31,822,2539.38,21.62,17769.54,20308.92
32,1007,1719.58,25.77,25953.81,27673.39
33,984,1021.18,26.06,25639.30,26660.47
34,990,1719.25,25.43,25174.67,26893.92
35,907,2538.21,22.76,20646.62,23184.83
36,889,2537.82,22.31,19836.41,22374.24
37,967,1718.20,24.96,24140.71,25858.91
38,953,2537.12,23.80,22684.81,25221.93
39,847,2536.82,21.89,18544.08,21080.90
40,934,1717.36,24.30,22699.08,24416.44
41,953,1717.42,24.66,23503.63,25221.05
42,885,1716.77,23.01,20366.27,22083.05
43,911,2535.90,22.89,20854.64,23390.55
44,921,1716.13,23.99,22090.38,23806.52
45,920,2535.35,23.05,21210.11,23745.47
46,942,2535.14,23.69,22318.38,24853.52
47,1016,2534.78,25.05,25452.47,27987.25
48,928,2534.89,23.26,21588.15,24123.04
49,892,2534.30,22.37,19958.42,22492.72
50,919,2534.19,23.05,21181.18,23715.37
51,1001,2534.05,24.86,24883.17,27417.22
52,896,2533.95,22.44,20107.57,22641.53
53,968,2887.43,23.75,22989.77,25877.20
54,978,2887.36,23.98,23451.79,26339.15
55,900,2887.33,22.18,19958.08,22845.41
56,854,2886.73,21.55,18400.40,21287.13
57,955,2886.69,23.47,22415.31,25301.99
58,844,2886.46,21.41,18068.85,20955.30
59,840,2886.06,21.33,17920.00,20806.05
60,992,2885.94,24.30,24105.95,26991.89
61,963,2885.90,23.70,22820.86,25706.76
62,972,2885.27,23.86,23195.02,26080.29
63,938,2885.20,23.19,21754.51,24639.71
64,984,95.64,26.14,25721.84,25817.48
65,946,95.92,25.87,24477.18,24573.10
66,948,99.98,26.05,24693.32,24793.30
67,952,94.30,26.04,24787.21,24881.51
68,1017,97.91,26.74,27192.10,27290.01
69,959,139.82,25.97,24907.55,25047.37
70,909,130.73,25.41,23096.93,23227.66
71,893,153.20,25.67,22926.78,23079.98
72,1001,249.12,26.79,26813.25,27062.38
73,897,221.59,25.67,23026.37,23247.96
74,881,218.88,25.49,22457.52,22676.39
75,891,218.59,25.52,22740.59,22959.18
76,1018,95.12,27.01,27498.11,27593.22
77,864,100.18,25.15,21729.16,21829.35
78,952,139.12,26.19,24934.70,25073.82
79,866,134.14,25.08,21719.70,21853.85
80,1006,141.76,26.73,26894.63,27036.38
81,989,177.42,26.52,26232.15,26409.56
82,1014,131.47,26.81,27189.90,27321.36
83,957,141.51,26.17,25046.57,25188.08
84,876,155.26,25.20,22075.58,22230.84
85,908,145.40,25.41,23076.18,23221.57
86,950,187.73,25.97,24666.84,24854.57
87,944,168.67,25.86,24410.54,24579.21
88,901,211.35,25.20,22706.39,22917.73
89,1016,151.16,26.96,27393.01,27544.18
90,1005,180.84,26.54,26674.97,26855.82
91,951,158.09,25.93,24656.33,24814.42
92,836,96.53,24.38,20381.55,20478.08
93,1016,101.47,27.04,27473.27,27574.74
94,1010,137.93,26.86,27124.32,27262.25
95,913,194.13,25.19,23001.72,23195.84
96,971,135.07,25.97,25220.67,25355.74
97,950,143.79,25.76,24469.43,24613.22
98,888,137.28,24.91,22116.82,22254.11
99,987,99.90,26.36,26017.94,26117.84
100,983,96.74,26.10,25653.42,25750.16
101,877,205.31,24.68,21644.42,21849.74
102,996,144.73,26.65,26545.49,26690.22
103,1002,177.66,26.69,26747.84,26925.50
104,971,164.43,25.88,25132.94,25297.38
105,980,97.36,26.26,25734.40,25831.76
106,965,96.89,26.01,25099.12,25196.01
107,916,154.66,25.13,23019.70,23174.36
108,954,134.04,25.64,24461.77,24595.81
109,1000,106.05,26.54,26540.28,26646.33
110,865,97.06,24.33,21042.39,21139.45
111,946,140.36,25.50,24122.27,24262.63
112,980,196.91,26.28,25758.99,25955.90
113,900,138.10,24.77,22295.26,22433.36
114,976,98.01,26.26,25627.10,25725.11
115,831,103.35,23.71,19704.19,19807.54
116,937,147.90,25.45,23844.15,23992.05
117,865,145.60,24.22,20952.67,21098.27
118,937,127.19,25.38,23784.05,23911.24
119,851,116.82,23.84,20285.85,20402.68
120,853,97.89,23.96,20437.57,20535.46
121,934,100.12,25.42,23743.48,23843.60
122,906,97.45,24.78,22452.29,22549.74
123,943,100.39,25.64,24176.00,24276.38
124,972,97.78,25.85,25123.01,25220.80
125,993,142.15,25.73,25552.90,25695.06
126,926,159.13,25.32,23446.89,23606.03
127,871,100.56,24.19,21069.97,21170.52
128,929,99.74,26.89,24979.87,25079.61
129,883,139.12,26.49,23386.28,23525.40
130,895,199.34,26.56,23772.66,23972.00
131,937,128.82,26.87,25177.52,25306.34
132,892,97.75,26.50,23634.81,23732.56
133,965,96.63,27.11,26162.63,26259.26
134,823,147.91,26.29,21637.02,21784.93
135,826,145.32,26.35,21762.23,21907.55
136,950,95.72,26.96,25613.14,25708.86
137,867,116.32,26.16,22684.58,22800.91
138,895,98.47,26.39,23615.17,23713.65
139,856,99.09,26.13,22363.55,22462.64
140,935,97.69,26.88,25135.39,25233.08
141,867,96.84,26.24,22753.83,22850.68
142,928,144.40,26.87,24937.55,25081.96
143,998,191.18,26.90,26848.52,27039.71
144,868,169.90,26.16,22707.77,22877.67
145,890,97.27,26.35,23450.48,23547.75
146,909,100.51,26.52,24103.50,24204.01
147,996,99.14,27.08,26975.68,27074.82
148,848,150.06,25.99,22038.67,22188.73
149,822,135.50,25.73,21146.90,21282.40
150,893,94.70,26.37,23545.03,23639.74
151,903,107.34,26.55,23970.47,24077.81
152,884,145.18,26.18,23140.37,23285.55
153,938,157.01,26.56,24909.17,25066.18
154,839,96.02,25.73,21590.36,21686.38
155,861,143.76,25.87,22271.14,22414.90
156,847,151.53,25.71,21774.06,21925.59
157,973,96.59,26.80,26074.30,26170.88
158,906,97.78,26.32,23842.44,23940.21
159,999,102.11,27.07,27040.18,27142.29
160,867,113.51,26.11,22634.57,22748.07
161,1013,205.06,26.83,27183.65,27388.72
162,921,141.88,26.33,24252.43,24394.31
163,828,123.50,25.36,21000.60,21124.10
164,821,108.62,25.43,20881.93,20990.55
165,935,121.17,26.40,24684.46,24805.62
166,927,92.11,26.22,24306.08,24398.19
167,908,107.62,25.88,23496.80,23604.42
168,943,101.09,26.51,24999.36,25100.45
169,936,97.20,26.48,24788.40,24885.60
170,919,147.45,26.16,24042.86,24190.31
171,909,205.36,25.91,23554.33,23759.69
172,887,205.02,25.76,22848.43,23053.45
173,924,164.15,26.15,24164.91,24329.06
174,829,150.33,25.38,21036.51,21186.83
175,831,184.48,25.34,21061.16,21245.63
176,923,181.61,26.02,24014.49,24196.10
177,984,149.04,26.22,25800.24,25949.28
178,986,143.11,26.28,25916.09,26059.20
179,979,201.64,26.13,25579.45,25781.09
180,941,124.25,26.05,24509.82,24634.07
181,852,146.22,25.71,21905.63,22051.85
182,973,150.43,26.02,25318.40,25468.82
183,918,96.89,25.89,23763.06,23859.96
184,869,154.63,24.88,21618.90,21773.53
185,907,132.23,25.64,23256.36,23388.60
186,839,97.75,25.48,21376.29,21474.04
187,975,101.93,25.89,25241.91,25343.84
188,891,97.59,25.39,22626.72,22724.32
189,837,101.70,24.89,20832.01,20933.70
190,972,100.84,25.76,25039.08,25139.92
191,971,97.04,25.75,25002.66,25099.70
192,858,96.48,25.78,22118.61,22215.08
193,942,95.38,25.60,24115.55,24210.94
194,847,98.27,25.72,21784.16,21882.43
195,971,95.48,25.82,25066.45,25161.93
196,965,115.22,25.66,24757.85,24873.07
197,1014,141.47,26.06,26425.16,26566.62
198,991,155.12,25.91,25672.71,25827.83
199,864,101.12,25.41,21952.80,22053.92
200,873,99.05,25.42,22195.91,22294.96
201,819,104.59,25.37,20777.41,20882.00
202,957,115.05,25.53,24432.29,24547.34
203,1014,113.92,26.26,26626.26,26740.17
204,953,94.34,25.48,24281.23,24375.57
205,918,144.87,25.19,23122.97,23267.85
206,1004,136.91,26.16,26269.21,26406.12
207,1017,98.69,26.23,26678.37,26777.06
208,966,153.68,25.79,24917.45,25071.13
209,981,141.90,25.99,25493.42,25635.32
210,869,140.51,24.90,21637.60,21778.12
211,921,136.57,25.14,23152.10,23288.67
212,839,97.97,24.77,20781.46,20879.44
213,990,140.74,25.99,25726.54,25867.28
214,937,202.35,25.41,23806.49,24008.83
215,947,176.25,25.61,24252.77,24429.02
216,928,196.78,25.17,23361.00,23557.78
217,924,194.00,25.12,23213.78,23407.78
218,1013,99.54,26.12,26464.40,26563.94
219,959,142.47,25.63,24583.30,24725.77
220,834,134.26,24.35,20307.10,20441.36
221,937,98.36,25.39,23792.84,23891.20
222,852,89.36,24.30,20704.01,20793.38
223,970,96.64,25.94,25164.02,25260.66
224,959,624.55,25.25,24212.75,24837.30
225,952,448.06,25.82,24583.98,25032.05
226,857,446.07,24.73,21190.52,21636.59
227,820,441.44,24.06,19732.88,20174.32
228,829,439.45,24.40,20229.25,20668.70
229,825,436.18,24.18,19946.02,20382.20
230,944,202.23,25.97,24516.32,24718.56
231,825,428.23,24.18,19945.74,20373.97
232,921,410.03,25.42,23415.30,23825.34
233,985,146.39,25.94,25547.38,25693.77
234,894,185.07,25.17,22502.08,22687.15
235,933,164.54,25.68,23957.29,24121.83
236,904,96.80,25.33,22897.62,22994.42
237,945,154.46,25.70,24284.56,24439.02
238,933,141.16,25.63,23915.51,24056.67
239,997,93.68,25.91,25827.93,25921.61
240,870,134.37,24.83,21603.96,21738.33
241,821,132.30,24.14,19819.89,19952.19
242,895,142.33,25.02,22397.17,22539.50
243,976,186.86,25.57,24958.68,25145.55
244,828,161.59,24.28,20107.69,20269.28
245,934,100.34,25.42,23743.74,23844.08
246,1019,94.99,25.64,26126.51,26221.50
247,952,95.21,25.52,24297.16,24392.37
248,935,94.89,25.60,23932.01,24026.90
249,1000,96.81,25.60,25599.10,25695.92
250,1012,136.09,25.51,25817.58,25953.67
251,862,138.22,25.11,21645.93,21784.16
252,898,98.32,25.23,22660.26,22758.58
253,881,96.73,25.17,22174.10,22270.83
254,895,97.90,25.57,22888.74,22986.64
255,866,96.13,25.50,22083.26,22179.38
256,895,93.72,25.77,23060.41,23154.13
257,968,94.08,25.73,24911.02,25005.10
258,939,98.86,25.67,24102.74,24201.59
259,837,95.12,25.87,21650.16,21745.28
260,908,95.90,25.74,23371.75,23467.66
261,832,99.56,25.82,21482.81,21582.37
262,911,98.77,25.79,23493.68,23592.45
263,924,99.22,25.86,23895.21,23994.43
264,825,94.34,25.71,21208.08,21302.41
265,919,94.39,25.96,23853.69,23948.08
266,867,139.01,25.74,22316.27,22455.28
267,859,149.09,25.63,22012.37,22161.46
268,973,97.08,26.40,25684.20,25781.29
269,977,95.05,26.60,25990.57,26085.62
270,952,95.30,26.38,25112.46,25207.76
271,962,155.69,26.38,25378.52,25534.21
272,1010,154.51,26.60,26864.55,27019.06
273,856,199.47,25.43,21770.33,21969.79
274,878,197.28,25.55,22431.03,22628.31
275,932,152.37,25.95,24189.19,24341.57
276,914,137.19,25.85,23624.89,23762.09
277,915,95.54,25.90,23699.58,23795.12
278,851,92.90,25.32,21549.03,21641.93
279,881,154.59,25.28,22274.77,22429.36
280,957,132.34,26.18,25050.17,25182.50
281,959,144.53,26.10,25029.30,25173.83
282,912,159.40,25.79,23519.05,23678.45
283,883,101.40,25.56,22572.93,22674.33
284,976,118.25,26.25,25623.81,25742.06
285,909,113.34,25.67,23336.55,23449.88
286,969,96.35,26.29,25478.58,25574.93
287,966,95.26,26.25,25356.34,25451.60
288,952,95.18,25.94,24692.72,24787.90
289,855,113.32,25.11,21469.50,21582.82
290,902,96.38,25.61,23103.00,23199.37
291,946,93.95,26.28,24862.42,24956.36
292,824,141.42,24.60,20270.63,20412.05
293,911,178.46,25.61,23334.91,23513.37
294,1023,121.51,26.51,27118.49,27240.00
295,973,101.05,26.24,25535.34,25636.39
296,902,95.21,25.57,23068.08,23163.29
297,959,140.76,26.01,24942.45,25083.20
298,954,138.61,25.94,24751.30,24889.91
299,999,100.67,26.37,26347.79,26448.46
300,899,96.81,25.58,22997.78,23094.59
